ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
CELLCOM,CELL,2021-06-17,4.65,4.78,4.65,4.78,1156
CELLCOM,CELL,2021-06-22,4.64,4.78,4.64,4.78,15
CELLCOM,CELL,2021-06-24,4.79,4.79,4.64,4.78,5027
CELLCOM,CELL,2021-06-25,4.77,4.77,4.77,4.77,3000
CELLCOM,CELL,2021-06-28,4.77,4.77,4.77,4.77,741
CELLCOM,CELL,2021-06-29,4.7,4.7,4.7,4.7,30
CELLCOM,CELL,2021-06-30,4.63,4.7,4.62,4.7,2330
CELLCOM,CELL,2021-07-05,4.6,4.6,4.6,4.6,750
CELLCOM,CELL,2021-07-06,4.73,4.73,4.73,4.73,590
CELLCOM,CELL,2021-07-07,4.85,4.85,4.85,4.85,200
CELLCOM,CELL,2021-07-12,4.82,4.82,4.82,4.82,500
CELLCOM,CELL,2021-07-15,4.8,4.8,4.8,4.8,250
CELLCOM,CELL,2021-07-16,4.72,4.72,4.72,4.72,200
CELLCOM,CELL,2021-07-19,4.8,4.8,4.8,4.8,1000
CELLCOM,CELL,2021-07-22,4.8,4.8,4.8,4.8,1200
CELLCOM,CELL,2021-07-23,4.8,4.8,4.8,4.8,3634
CELLCOM,CELL,2021-07-26,4.79,4.79,4.79,4.79,175
CELLCOM,CELL,2021-07-27,4.82,4.82,4.82,4.82,2000
CELLCOM,CELL,2021-07-28,4.82,4.82,4.82,4.82,3299
CELLCOM,CELL,2021-07-29,4.84,4.84,4.84,4.84,1
CELLCOM,CELL,2021-08-03,4.8,4.8,4.8,4.8,9
CELLCOM,CELL,2021-08-04,4.8,4.8,4.8,4.8,5
CELLCOM,CELL,2021-08-05,4.8,4.8,4.8,4.8,4
CELLCOM,CELL,2021-08-12,4.75,4.75,4.75,4.75,9
CELLCOM,CELL,2021-08-17,4.75,4.75,4.75,4.75,3
CELLCOM,CELL,2021-08-25,4.75,4.75,4.75,4.75,1368
CELLCOM,CELL,2021-08-31,4.81,4.81,4.61,4.81,1
CELLCOM,CELL,2021-09-02,4.79,4.79,4.79,4.79,5300
CELLCOM,CELL,2021-09-06,4.79,4.79,4.79,4.79,1505
