ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
CITY CARS,CITY,2021-06-17,11.04,11.04,10.88,11.03,3782
CITY CARS,CITY,2021-06-18,11.04,11.25,11.04,11.15,1615
CITY CARS,CITY,2021-06-21,11.15,11.15,11.0,11.1,675
CITY CARS,CITY,2021-06-22,11.15,11.34,11.1,11.34,8921
CITY CARS,CITY,2021-06-23,11.34,11.34,11.0,11.32,1496
CITY CARS,CITY,2021-06-24,11.33,11.4,11.3,11.4,1853
CITY CARS,CITY,2021-06-25,11.39,11.4,11.3,11.39,418
CITY CARS,CITY,2021-06-28,11.3,11.4,11.15,11.39,2143
CITY CARS,CITY,2021-06-29,11.3,11.37,11.3,11.37,3888
CITY CARS,CITY,2021-06-30,11.37,11.39,11.37,11.37,737
CITY CARS,CITY,2021-07-02,11.36,11.36,11.36,11.36,1
CITY CARS,CITY,2021-07-05,11.36,11.43,11.36,11.43,112
CITY CARS,CITY,2021-07-06,11.42,11.42,11.42,11.42,1
CITY CARS,CITY,2021-07-07,11.6,11.6,11.6,11.6,1398
CITY CARS,CITY,2021-07-08,10.8,10.8,10.8,10.8,26
CITY CARS,CITY,2021-07-09,10.8,10.8,10.48,10.65,2833
CITY CARS,CITY,2021-07-12,10.6,10.6,10.3,10.3,9756
CITY CARS,CITY,2021-07-13,10.48,10.5,10.3,10.5,3316
CITY CARS,CITY,2021-07-14,10.5,10.6,10.5,10.6,1342
CITY CARS,CITY,2021-07-15,10.59,10.59,10.49,10.59,99
CITY CARS,CITY,2021-07-16,10.6,10.7,10.59,10.69,885
CITY CARS,CITY,2021-07-19,10.8,11.28,10.7,11.2,9507
CITY CARS,CITY,2021-07-22,11.2,11.2,11.0,11.0,711
CITY CARS,CITY,2021-07-23,11.0,11.2,11.0,11.2,30639
CITY CARS,CITY,2021-07-26,11.0,11.11,10.87,11.0,417
CITY CARS,CITY,2021-07-27,11.0,11.0,11.0,11.0,3
CITY CARS,CITY,2021-07-28,11.0,11.0,11.0,11.0,610
CITY CARS,CITY,2021-07-29,11.15,11.19,10.87,11.18,1255
CITY CARS,CITY,2021-07-30,11.15,11.16,11.15,11.16,32
CITY CARS,CITY,2021-08-02,11.15,11.19,11.14,11.19,318
CITY CARS,CITY,2021-08-03,11.19,11.19,11.0,11.0,203
CITY CARS,CITY,2021-08-04,11.16,11.19,11.16,11.19,11
CITY CARS,CITY,2021-08-05,11.19,11.2,11.01,11.01,836
CITY CARS,CITY,2021-08-06,11.0,11.2,11.0,11.19,35372
CITY CARS,CITY,2021-08-09,11.18,11.19,11.0,11.19,180
CITY CARS,CITY,2021-08-11,11.19,11.19,11.1,11.1,103
CITY CARS,CITY,2021-08-12,11.19,11.19,11.0,11.19,139
CITY CARS,CITY,2021-08-16,11.18,11.19,11.18,11.19,923
CITY CARS,CITY,2021-08-17,11.0,11.19,11.0,11.0,25721
CITY CARS,CITY,2021-08-18,11.18,11.18,10.85,11.0,5326
CITY CARS,CITY,2021-08-19,11.15,11.17,11.15,11.16,260
CITY CARS,CITY,2021-08-20,11.18,11.18,11.15,11.17,35
CITY CARS,CITY,2021-08-23,11.17,11.19,11.14,11.15,220
CITY CARS,CITY,2021-08-24,11.14,11.14,11.14,11.14,187
CITY CARS,CITY,2021-08-25,11.15,11.15,11.15,11.15,17
CITY CARS,CITY,2021-08-26,11.14,11.14,10.91,10.91,440
CITY CARS,CITY,2021-08-27,10.91,11.0,10.9,11.0,1269
CITY CARS,CITY,2021-08-30,11.0,11.0,11.0,11.0,100
CITY CARS,CITY,2021-08-31,11.3,11.3,11.0,11.3,2385
CITY CARS,CITY,2021-09-01,11.5,11.5,11.3,11.5,80
CITY CARS,CITY,2021-09-02,11.49,11.49,10.9,10.9,1290
CITY CARS,CITY,2021-09-03,11.33,11.49,11.19,11.45,16164
CITY CARS,CITY,2021-09-06,11.46,11.46,11.2,11.42,2712
CITY CARS,CITY,2021-09-07,11.4,11.5,11.4,11.4,4216
CITY CARS,CITY,2021-09-08,11.4,11.4,11.4,11.4,678
CITY CARS,CITY,2021-09-09,11.5,11.5,11.3,11.44,31081
CITY CARS,CITY,2021-09-10,11.4,11.49,11.3,11.35,3892
CITY CARS,CITY,2021-09-13,11.5,11.5,11.35,11.47,449
CITY CARS,CITY,2021-09-14,11.49,11.49,11.05,11.2,6258
CITY CARS,CITY,2021-09-15,11.2,11.48,11.2,11.2,89
CITY CARS,CITY,2021-09-16,11.39,11.39,11.04,11.04,12128
CITY CARS,CITY,2021-09-17,11.39,11.39,11.01,11.2,112
CITY CARS,CITY,2021-09-20,11.2,11.39,11.2,11.2,5044
CITY CARS,CITY,2021-09-22,11.2,11.2,11.0,11.0,2744
CITY CARS,CITY,2021-09-23,11.2,11.2,11.2,11.2,1
CITY CARS,CITY,2021-09-24,11.0,11.2,11.0,11.0,2457
CITY CARS,CITY,2021-09-27,11.2,11.2,11.0,11.0,3208
CITY CARS,CITY,2021-09-28,11.0,11.0,11.0,11.0,3564
CITY CARS,CITY,2021-09-29,11.0,11.19,11.0,11.18,6295
CITY CARS,CITY,2021-09-30,11.18,11.19,11.0,11.18,80
CITY CARS,CITY,2021-10-01,11.18,11.37,11.0,11.18,3904
CITY CARS,CITY,2021-10-04,11.18,11.35,11.18,11.18,4422
CITY CARS,CITY,2021-10-05,11.18,11.33,11.18,11.18,4414
CITY CARS,CITY,2021-10-06,11.23,11.23,11.18,11.23,150
CITY CARS,CITY,2021-10-07,11.23,11.24,11.15,11.23,2769
CITY CARS,CITY,2021-10-08,11.23,11.24,11.23,11.23,2404
CITY CARS,CITY,2021-10-11,11.23,11.24,11.05,11.23,6603
CITY CARS,CITY,2021-10-12,11.22,11.24,11.17,11.22,459
CITY CARS,CITY,2021-10-13,11.22,11.24,11.22,11.22,2401
CITY CARS,CITY,2021-10-14,11.17,11.24,11.17,11.17,403
CITY CARS,CITY,2021-10-19,11.2,11.24,11.1,11.2,6295
CITY CARS,CITY,2021-10-20,11.22,11.22,11.15,11.22,8653
CITY CARS,CITY,2021-10-21,11.15,11.24,11.1,11.15,19473
CITY CARS,CITY,2021-10-22,11.0,11.2,10.9,11.0,15271
CITY CARS,CITY,2021-10-25,11.09,11.1,10.9,11.09,703
CITY CARS,CITY,2021-10-26,11.4,11.4,11.09,11.4,17
CITY CARS,CITY,2021-10-27,11.18,11.4,11.0,11.18,851
CITY CARS,CITY,2021-10-28,11.18,11.2,11.0,11.18,720
CITY CARS,CITY,2021-10-29,11.17,11.18,11.17,11.17,221
CITY CARS,CITY,2021-11-01,11.38,11.48,11.14,11.38,60
