ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
CEREALIS,CREAL,2021-06-17,8.29,8.29,8.29,8.29,16
CEREALIS,CREAL,2021-06-18,8.29,8.29,8.05,8.05,2372
CEREALIS,CREAL,2021-06-21,8.29,8.29,8.29,8.29,3840
CEREALIS,CREAL,2021-06-22,8.29,8.53,8.29,8.53,650
CEREALIS,CREAL,2021-06-23,8.78,8.78,8.53,8.53,130
CEREALIS,CREAL,2021-06-24,8.61,8.61,8.61,8.61,20
CEREALIS,CREAL,2021-06-25,8.61,8.61,8.61,8.61,20
CEREALIS,CREAL,2021-06-28,8.86,8.86,8.86,8.86,1
CEREALIS,CREAL,2021-06-29,9.12,9.12,9.12,9.12,1
CEREALIS,CREAL,2021-07-01,9.0,9.0,9.0,9.0,1
CEREALIS,CREAL,2021-07-05,9.0,9.0,9.0,9.0,127
CEREALIS,CREAL,2021-07-07,9.2,9.2,9.2,9.2,1
CEREALIS,CREAL,2021-07-23,8.93,8.93,8.93,8.93,1200
CEREALIS,CREAL,2021-07-27,8.82,8.82,8.82,8.82,33
CEREALIS,CREAL,2021-07-30,8.61,8.61,8.6,8.6,33
CEREALIS,CREAL,2021-08-02,8.6,8.6,8.6,8.6,50
CEREALIS,CREAL,2021-08-11,8.85,8.85,8.51,8.51,181
CEREALIS,CREAL,2021-08-12,8.55,8.55,8.51,8.51,220
CEREALIS,CREAL,2021-08-16,8.73,8.93,8.73,8.93,2
CEREALIS,CREAL,2021-08-18,8.9,8.9,8.9,8.9,50
CEREALIS,CREAL,2021-08-19,8.64,8.64,8.64,8.64,22
CEREALIS,CREAL,2021-08-26,8.64,8.64,8.51,8.51,189
CEREALIS,CREAL,2021-08-31,8.51,8.51,8.51,8.51,176
CEREALIS,CREAL,2021-09-01,8.51,8.51,8.51,8.51,574
CEREALIS,CREAL,2021-09-03,8.51,8.51,8.51,8.51,250
CEREALIS,CREAL,2021-09-06,8.51,8.51,8.51,8.51,1337
CEREALIS,CREAL,2021-09-08,8.4,8.5,8.4,8.5,228
CEREALIS,CREAL,2021-09-09,8.51,8.51,8.51,8.51,50
CEREALIS,CREAL,2021-09-13,8.52,8.52,8.51,8.51,210
CEREALIS,CREAL,2021-09-14,8.51,8.51,8.51,8.51,889
CEREALIS,CREAL,2021-09-15,8.41,8.41,8.4,8.4,1300
CEREALIS,CREAL,2021-09-16,8.4,8.4,8.4,8.4,1700
CEREALIS,CREAL,2021-09-17,8.4,8.4,8.4,8.4,100
CEREALIS,CREAL,2021-09-20,8.4,8.4,8.4,8.4,2258
CEREALIS,CREAL,2021-09-21,8.45,8.45,8.45,8.45,2000
CEREALIS,CREAL,2021-09-22,8.34,8.34,8.34,8.45,292
CEREALIS,CREAL,2021-09-23,8.6,8.6,8.6,8.6,2000
CEREALIS,CREAL,2021-09-24,8.55,8.55,8.55,8.55,2000
CEREALIS,CREAL,2021-09-27,8.7,8.7,8.7,8.7,2000
CEREALIS,CREAL,2021-09-28,8.99,8.99,8.88,8.99,16
CEREALIS,CREAL,2021-10-04,8.79,8.99,8.79,8.79,2000
CEREALIS,CREAL,2021-10-07,8.96,8.96,8.79,8.96,1
CEREALIS,CREAL,2021-10-12,8.95,8.96,8.95,8.95,415
CEREALIS,CREAL,2021-10-13,8.8,8.95,8.8,8.8,483
CEREALIS,CREAL,2021-10-21,8.79,8.8,8.79,8.79,32
CEREALIS,CREAL,2021-10-22,8.99,8.99,8.79,8.99,16
CEREALIS,CREAL,2021-10-27,8.65,8.99,8.65,8.65,398
CEREALIS,CREAL,2021-10-28,8.98,8.98,8.65,8.98,100
CEREALIS,CREAL,2021-11-05,8.95,8.98,8.95,8.95,589
CEREALIS,CREAL,2021-11-09,9.12,9.12,8.95,9.12,1238
CEREALIS,CREAL,2021-11-12,9.0,9.12,9.0,9.0,450
CEREALIS,CREAL,2021-11-19,9.0,9.0,9.0,9.0,250
CEREALIS,CREAL,2021-11-22,9.0,9.0,9.0,9.0,2
CEREALIS,CREAL,2021-11-30,8.6,9.0,8.6,8.6,10100
CEREALIS,CREAL,2021-12-01,8.62,8.62,8.6,8.62,1150
CEREALIS,CREAL,2021-12-02,8.5,8.62,8.5,8.5,335
CEREALIS,CREAL,2021-12-03,8.49,8.5,8.49,8.49,1170
CEREALIS,CREAL,2021-12-06,8.49,8.49,8.49,8.49,1175
CEREALIS,CREAL,2021-12-07,8.49,8.49,8.49,8.49,1170
CEREALIS,CREAL,2021-12-08,8.5,8.5,8.49,8.5,1224
CEREALIS,CREAL,2021-12-09,8.3,8.5,8.14,8.3,1130
CEREALIS,CREAL,2021-12-10,7.99,8.3,7.99,7.99,1
CEREALIS,CREAL,2022-03-14,11.5,11.5,11.48,11.5,1003
CEREALIS,CREAL,2022-03-15,12.0,12.0,11.5,12.0,50
CEREALIS,CREAL,2022-03-16,11.7,12.0,11.7,11.7,3234
CEREALIS,CREAL,2022-03-17,12.0,12.0,11.7,12.0,1705
CEREALIS,CREAL,2022-03-18,11.99,12.0,11.99,11.99,10
CEREALIS,CREAL,2022-04-04,11.89,11.99,11.89,11.89,3
CEREALIS,CREAL,2022-04-05,11.89,11.9,11.89,11.89,1700
CEREALIS,CREAL,2022-04-06,11.87,11.89,11.87,11.87,450
CEREALIS,CREAL,2022-04-07,11.86,11.87,11.34,11.86,510
CEREALIS,CREAL,2022-04-19,11.7,11.7,11.33,11.7,5100
CEREALIS,CREAL,2022-04-20,11.7,11.7,11.7,11.7,1000
CEREALIS,CREAL,2022-04-21,11.7,11.7,11.7,11.7,500
CEREALIS,CREAL,2022-04-26,11.51,11.51,11.1,11.51,6
CEREALIS,CREAL,2022-04-29,11.18,11.51,11.18,11.18,2890
CEREALIS,CREAL,2022-05-10,11.51,11.51,11.2,11.51,6
CEREALIS,CREAL,2022-05-11,11.51,11.51,11.51,11.51,210
CEREALIS,CREAL,2022-05-17,11.0,11.51,11.0,11.0,10000
CEREALIS,CREAL,2022-05-27,11.0,11.51,11.0,11.0,10
CEREALIS,CREAL,2022-05-31,11.48,11.49,11.48,11.48,10
CEREALIS,CREAL,2022-06-08,11.5,11.5,11.5,11.5,3096
CEREALIS,CREAL,2022-06-09,11.6,11.6,11.5,11.6,7500
CEREALIS,CREAL,2022-06-15,12.4,12.4,12.12,12.4,21
CEREALIS,CREAL,2022-06-17,12.12,12.12,12.12,12.12,3845
CEREALIS,CREAL,2022-06-24,12.84,12.9,12.84,12.84,1508
CEREALIS,CREAL,2022-06-30,12.5,12.5,12.49,12.5,42
CEREALIS,CREAL,2022-07-04,12.5,12.5,12.5,12.5,200
CEREALIS,CREAL,2022-07-06,12.48,12.5,12.48,12.48,1000
CEREALIS,CREAL,2022-07-07,11.95,12.48,11.95,11.95,1227
CEREALIS,CREAL,2022-07-08,12.01,12.01,11.95,12.01,493
CEREALIS,CREAL,2022-07-11,12.01,12.01,12.01,12.01,315
CEREALIS,CREAL,2022-07-12,12.01,12.01,12.01,12.01,104
CEREALIS,CREAL,2022-07-14,12.5,12.5,12.01,12.5,200
CEREALIS,CREAL,2022-07-19,12.1,12.9,12.1,12.1,395
CEREALIS,CREAL,2022-07-20,12.49,12.49,12.1,12.49,650
CEREALIS,CREAL,2022-07-28,12.27,12.28,12.27,12.27,135
CEREALIS,CREAL,2022-07-29,12.5,12.5,12.27,12.5,120
CEREALIS,CREAL,2022-08-01,12.9,12.9,12.5,12.9,10
CEREALIS,CREAL,2022-08-08,12.9,12.9,12.9,12.9,1614
CEREALIS,CREAL,2022-08-09,12.9,12.9,12.9,12.9,1190
CEREALIS,CREAL,2022-08-11,12.9,12.9,12.9,12.9,4970
CEREALIS,CREAL,2022-08-12,12.9,12.9,12.9,12.9,1705
CEREALIS,CREAL,2022-08-15,12.9,12.9,12.9,12.9,600
CEREALIS,CREAL,2022-08-18,12.8,12.9,12.8,12.8,2250
CEREALIS,CREAL,2022-08-19,12.8,12.8,12.8,12.8,2020
CEREALIS,CREAL,2022-08-24,12.79,12.8,12.79,12.79,5
CEREALIS,CREAL,2022-08-25,12.78,12.79,12.78,12.78,13678
CEREALIS,CREAL,2022-08-30,12.78,12.78,12.78,12.78,525
CEREALIS,CREAL,2022-09-02,12.7,12.78,12.7,12.7,5
CEREALIS,CREAL,2022-09-05,12.7,12.7,12.7,12.7,482
CEREALIS,CREAL,2022-09-06,12.7,12.7,12.7,12.7,103
CEREALIS,CREAL,2022-09-07,12.7,12.7,12.7,12.7,32
CEREALIS,CREAL,2022-09-08,12.7,12.7,12.7,12.7,48
CEREALIS,CREAL,2022-09-09,12.78,12.78,12.7,12.78,1
CEREALIS,CREAL,2022-09-12,12.85,12.85,12.78,12.85,5
CEREALIS,CREAL,2022-09-16,12.7,12.85,12.7,12.7,1581
CEREALIS,CREAL,2022-09-20,12.69,12.7,12.69,12.69,2016
CEREALIS,CREAL,2022-09-23,12.7,12.7,12.69,12.7,1666
CEREALIS,CREAL,2022-09-27,12.85,12.85,12.7,12.85,2
CEREALIS,CREAL,2022-09-28,12.7,12.85,12.7,12.7,225
CEREALIS,CREAL,2022-09-29,12.68,12.7,12.68,12.68,1020
CEREALIS,CREAL,2022-09-30,12.68,12.68,12.68,12.68,635
CEREALIS,CREAL,2022-10-03,12.68,12.68,12.68,12.68,1009
CEREALIS,CREAL,2022-10-04,12.7,12.7,12.68,12.7,688
CEREALIS,CREAL,2022-10-07,12.4,12.7,12.4,12.4,300
