ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
EURO-CYCLES,ECYCL,2021-06-17,29.65,29.7,29.51,29.7,2023
EURO-CYCLES,ECYCL,2021-06-18,29.7,29.7,29.54,29.68,1789
EURO-CYCLES,ECYCL,2021-06-21,29.52,29.66,29.5,29.52,3747
EURO-CYCLES,ECYCL,2021-06-22,29.68,29.68,29.5,29.66,3621
EURO-CYCLES,ECYCL,2021-06-23,29.7,29.7,29.5,29.5,3724
EURO-CYCLES,ECYCL,2021-06-24,29.45,29.67,29.45,29.66,1226
EURO-CYCLES,ECYCL,2021-06-25,29.65,29.65,29.4,29.4,3672
EURO-CYCLES,ECYCL,2021-06-28,29.5,29.5,29.4,29.4,935
EURO-CYCLES,ECYCL,2021-06-29,29.4,29.5,29.2,29.35,4066
EURO-CYCLES,ECYCL,2021-06-30,29.35,29.35,28.5,28.7,8069
EURO-CYCLES,ECYCL,2021-07-01,28.56,29.41,28.56,29.41,21
EURO-CYCLES,ECYCL,2021-07-02,29.35,29.35,28.7,29.3,1027
EURO-CYCLES,ECYCL,2021-07-05,29.4,29.4,28.6,29.0,1269
EURO-CYCLES,ECYCL,2021-07-06,29.0,29.87,29.0,29.87,3326
EURO-CYCLES,ECYCL,2021-07-07,29.79,29.91,29.55,29.8,8670
EURO-CYCLES,ECYCL,2021-07-08,29.8,29.8,29.75,29.75,4401
EURO-CYCLES,ECYCL,2021-07-09,29.7,29.75,29.65,29.7,2253
EURO-CYCLES,ECYCL,2021-07-12,29.74,29.74,29.65,29.7,1058
EURO-CYCLES,ECYCL,2021-07-13,29.7,29.7,29.69,29.69,1218
EURO-CYCLES,ECYCL,2021-07-14,29.7,29.7,29.64,29.68,391
EURO-CYCLES,ECYCL,2021-07-15,29.5,29.7,29.5,29.68,5047
EURO-CYCLES,ECYCL,2021-07-16,29.75,30.03,29.75,30.0,21943
EURO-CYCLES,ECYCL,2021-07-19,30.1,30.1,29.79,29.99,1835
EURO-CYCLES,ECYCL,2021-07-22,30.0,30.08,29.9,30.0,7344
EURO-CYCLES,ECYCL,2021-07-23,30.0,30.05,29.95,30.05,7069
EURO-CYCLES,ECYCL,2021-07-26,29.9,29.99,29.2,29.2,3303
EURO-CYCLES,ECYCL,2021-07-27,29.45,29.9,29.2,29.9,1887
EURO-CYCLES,ECYCL,2021-07-28,29.9,29.95,29.85,29.9,1066
EURO-CYCLES,ECYCL,2021-07-29,29.9,29.9,29.89,29.9,307
EURO-CYCLES,ECYCL,2021-07-30,29.8,30.4,29.8,30.4,7128
EURO-CYCLES,ECYCL,2021-08-02,30.4,30.6,30.4,30.4,1475
EURO-CYCLES,ECYCL,2021-08-03,30.39,30.4,30.1,30.3,143
EURO-CYCLES,ECYCL,2021-08-04,30.3,30.3,30.1,30.29,1367
EURO-CYCLES,ECYCL,2021-08-05,29.82,30.29,29.82,30.27,1507
EURO-CYCLES,ECYCL,2021-08-06,30.27,30.27,30.1,30.2,139
EURO-CYCLES,ECYCL,2021-08-09,30.3,30.3,30.2,30.2,7213
EURO-CYCLES,ECYCL,2021-08-11,30.2,30.2,30.18,30.18,132
EURO-CYCLES,ECYCL,2021-08-12,30.2,30.2,30.0,30.0,3182
EURO-CYCLES,ECYCL,2021-08-16,30.18,30.18,30.0,30.18,2729
EURO-CYCLES,ECYCL,2021-08-17,30.2,30.2,29.95,30.0,2453
EURO-CYCLES,ECYCL,2021-08-18,30.18,30.18,30.0,30.0,1721
EURO-CYCLES,ECYCL,2021-08-19,30.3,30.8,29.9,30.8,9440
EURO-CYCLES,ECYCL,2021-08-20,30.79,31.7,30.79,31.3,15080
