ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
HANNIBAL LEASE,HL,2021-06-25,3.3,3.3,3.3,3.3,20
HANNIBAL LEASE,HL,2021-07-01,3.29,3.38,3.29,3.38,23
HANNIBAL LEASE,HL,2021-07-05,3.3,3.38,3.3,3.38,1001
HANNIBAL LEASE,HL,2021-07-08,3.3,3.3,3.3,3.3,21
HANNIBAL LEASE,HL,2021-07-16,3.29,3.3,3.29,3.3,502
HANNIBAL LEASE,HL,2021-08-04,3.3,3.3,3.3,3.3,21
HANNIBAL LEASE,HL,2021-08-05,3.29,3.29,3.29,3.29,21
HANNIBAL LEASE,HL,2021-08-11,3.29,3.29,3.29,3.29,22
HANNIBAL LEASE,HL,2021-08-19,3.29,3.29,3.29,3.29,43
HANNIBAL LEASE,HL,2021-08-20,3.29,3.29,3.29,3.29,21
HANNIBAL LEASE,HL,2021-08-25,3.28,3.29,3.28,3.29,1001
HANNIBAL LEASE,HL,2021-09-01,3.29,3.29,3.29,3.29,300
HANNIBAL LEASE,HL,2021-09-02,3.29,3.29,3.29,3.29,1000
HANNIBAL LEASE,HL,2021-09-15,3.29,3.29,3.29,3.29,22
HANNIBAL LEASE,HL,2021-09-16,3.28,3.28,3.28,3.28,8
HANNIBAL LEASE,HL,2021-09-17,3.29,3.29,3.29,3.29,10
HANNIBAL LEASE,HL,2021-09-22,3.28,3.29,3.28,3.28,21
HANNIBAL LEASE,HL,2021-09-23,3.27,3.28,3.27,3.28,35
HANNIBAL LEASE,HL,2021-09-28,3.15,3.28,3.15,3.15,87
HANNIBAL LEASE,HL,2021-09-29,3.15,3.15,3.15,3.15,172
HANNIBAL LEASE,HL,2021-10-04,3.03,3.15,3.03,3.03,156
HANNIBAL LEASE,HL,2021-10-05,3.07,3.07,3.03,3.07,82000
HANNIBAL LEASE,HL,2021-10-06,3.07,3.07,3.07,3.07,1000
HANNIBAL LEASE,HL,2021-10-07,3.05,3.07,3.05,3.05,480
HANNIBAL LEASE,HL,2021-10-08,3.06,3.06,3.05,3.06,3
HANNIBAL LEASE,HL,2021-10-11,3.04,3.04,2.7,3.04,834
HANNIBAL LEASE,HL,2021-10-14,2.98,3.04,2.98,2.98,1000
HANNIBAL LEASE,HL,2021-10-21,2.99,2.99,2.98,2.99,1089
HANNIBAL LEASE,HL,2021-10-25,2.98,2.99,2.82,2.98,36692
HANNIBAL LEASE,HL,2021-11-05,2.97,2.98,2.97,2.97,1313
HANNIBAL LEASE,HL,2021-11-11,2.98,2.98,2.96,2.98,1000
HANNIBAL LEASE,HL,2021-11-15,2.95,2.98,2.95,2.95,3020
HANNIBAL LEASE,HL,2021-11-18,2.96,2.96,2.95,2.96,508
HANNIBAL LEASE,HL,2021-11-22,2.81,2.96,2.81,2.81,2000
HANNIBAL LEASE,HL,2021-11-23,2.96,2.96,2.81,2.96,666
HANNIBAL LEASE,HL,2021-11-25,2.97,2.97,2.96,2.97,6
HANNIBAL LEASE,HL,2021-11-30,2.92,2.97,2.92,2.92,73
HANNIBAL LEASE,HL,2021-12-01,2.96,2.96,2.92,2.96,385
HANNIBAL LEASE,HL,2021-12-06,2.95,2.96,2.95,2.95,100
HANNIBAL LEASE,HL,2021-12-07,2.94,2.95,2.94,2.94,24
HANNIBAL LEASE,HL,2022-03-15,2.82,2.95,2.82,2.82,1534
HANNIBAL LEASE,HL,2022-03-16,2.82,2.82,2.82,2.82,25
HANNIBAL LEASE,HL,2022-03-21,2.82,2.82,2.82,2.82,85
HANNIBAL LEASE,HL,2022-03-23,2.82,2.82,2.82,2.82,5000
HANNIBAL LEASE,HL,2022-03-24,2.75,2.82,2.75,2.75,102129
HANNIBAL LEASE,HL,2022-03-25,2.82,2.82,2.75,2.82,4
HANNIBAL LEASE,HL,2022-03-28,2.82,2.82,2.82,2.82,3816
HANNIBAL LEASE,HL,2022-03-29,2.94,2.94,2.82,2.94,5
HANNIBAL LEASE,HL,2022-04-01,3.12,3.12,3.12,3.12,1501
HANNIBAL LEASE,HL,2022-04-04,3.12,3.12,2.98,3.12,5001
HANNIBAL LEASE,HL,2022-04-15,2.98,3.12,2.98,2.98,5036
HANNIBAL LEASE,HL,2022-04-18,2.98,2.98,2.98,2.98,45
HANNIBAL LEASE,HL,2022-04-27,3.1,3.11,3.1,3.1,2000
HANNIBAL LEASE,HL,2022-04-28,3.1,3.1,3.1,3.1,8997
HANNIBAL LEASE,HL,2022-04-29,3.15,3.15,3.1,3.15,8620
HANNIBAL LEASE,HL,2022-05-04,3.19,3.19,3.15,3.19,10805
HANNIBAL LEASE,HL,2022-05-05,3.25,3.25,3.2,3.25,8928
HANNIBAL LEASE,HL,2022-05-06,3.3,3.3,3.3,3.3,2750
HANNIBAL LEASE,HL,2022-05-09,3.58,3.58,3.44,3.58,1290
HANNIBAL LEASE,HL,2022-05-12,3.6,3.6,3.58,3.6,12906
HANNIBAL LEASE,HL,2022-05-16,3.6,3.6,3.6,3.6,750
HANNIBAL LEASE,HL,2022-05-17,3.62,3.62,3.6,3.62,525
HANNIBAL LEASE,HL,2022-05-18,3.6,3.62,3.6,3.6,203
HANNIBAL LEASE,HL,2022-05-24,4.0,4.0,3.92,4.0,221
HANNIBAL LEASE,HL,2022-06-02,3.7,3.7,3.7,3.7,255
HANNIBAL LEASE,HL,2022-06-03,3.7,3.7,3.7,3.7,3042
HANNIBAL LEASE,HL,2022-06-06,3.86,3.86,3.7,3.86,5812
HANNIBAL LEASE,HL,2022-06-08,3.86,3.86,3.86,3.86,912
HANNIBAL LEASE,HL,2022-06-16,3.33,3.33,3.33,3.33,50
HANNIBAL LEASE,HL,2022-06-22,3.94,3.94,3.78,3.94,4830
HANNIBAL LEASE,HL,2022-06-27,4.3,4.3,4.3,4.3,390
HANNIBAL LEASE,HL,2022-06-29,4.36,4.36,4.3,4.36,1489
HANNIBAL LEASE,HL,2022-06-30,4.36,4.36,4.36,4.36,1470
HANNIBAL LEASE,HL,2022-07-01,4.36,4.36,4.36,4.36,2018
HANNIBAL LEASE,HL,2022-07-04,4.36,4.36,4.36,4.36,4601
HANNIBAL LEASE,HL,2022-07-05,4.45,4.45,4.36,4.45,2000
HANNIBAL LEASE,HL,2022-07-06,4.45,4.45,4.45,4.45,1500
HANNIBAL LEASE,HL,2022-07-07,4.45,4.45,4.45,4.45,1025
HANNIBAL LEASE,HL,2022-07-08,4.45,4.45,4.45,4.45,7000
HANNIBAL LEASE,HL,2022-07-12,4.25,4.45,4.25,4.25,1
