ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ICF,ICF,2021-06-17,71.01,72.5,70.63,72.5,1360
ICF,ICF,2021-06-18,70.0,72.7,70.0,70.05,111
ICF,ICF,2021-06-21,72.0,72.05,69.59,72.0,54
ICF,ICF,2021-06-22,70.0,72.0,69.85,72.0,79
ICF,ICF,2021-06-23,72.49,72.5,70.0,72.0,30
ICF,ICF,2021-06-25,69.84,72.39,69.84,72.39,189
ICF,ICF,2021-06-28,72.18,72.18,72.18,72.18,1
ICF,ICF,2021-06-29,71.99,71.99,71.99,71.99,3
ICF,ICF,2021-06-30,72.0,72.5,72.0,72.5,25
ICF,ICF,2021-07-02,72.39,72.39,72.39,72.39,1
ICF,ICF,2021-07-06,72.39,72.39,72.39,72.39,5
ICF,ICF,2021-07-07,72.39,73.0,72.0,72.0,199
ICF,ICF,2021-07-13,71.9,71.9,71.9,71.9,3
ICF,ICF,2021-07-15,70.26,71.9,70.2,70.2,194
ICF,ICF,2021-07-16,70.26,71.9,70.26,71.9,78
ICF,ICF,2021-07-22,71.8,71.9,71.8,71.8,146
ICF,ICF,2021-07-23,71.8,71.8,71.8,71.8,149
ICF,ICF,2021-07-26,70.21,70.21,69.85,69.85,134
ICF,ICF,2021-07-27,71.69,71.7,71.69,71.7,32
ICF,ICF,2021-07-29,71.7,71.7,71.7,71.7,153
ICF,ICF,2021-07-30,71.7,71.7,71.7,71.7,317
ICF,ICF,2021-08-04,71.6,71.6,71.6,71.6,79
ICF,ICF,2021-08-05,70.01,73.0,70.0,73.0,135
ICF,ICF,2021-08-06,72.0,73.0,72.0,73.0,240
ICF,ICF,2021-08-12,72.9,74.95,72.9,74.95,179
ICF,ICF,2021-08-16,74.5,74.95,74.5,74.95,177
ICF,ICF,2021-08-17,74.95,75.0,74.9,74.9,158
ICF,ICF,2021-08-18,74.9,75.2,72.66,75.2,11
ICF,ICF,2021-08-19,75.0,75.84,75.0,75.84,138
ICF,ICF,2021-08-20,75.8,75.8,75.8,75.8,14
ICF,ICF,2021-08-23,75.84,75.84,74.84,75.84,95
ICF,ICF,2021-08-24,74.0,75.8,73.57,75.8,20
ICF,ICF,2021-08-26,75.0,75.0,75.0,75.0,13
ICF,ICF,2021-08-27,73.0,73.0,73.0,73.0,40
ICF,ICF,2021-08-30,74.0,74.0,73.0,74.0,5
ICF,ICF,2021-08-31,74.0,74.0,74.0,74.0,54
ICF,ICF,2021-09-01,73.0,73.0,73.0,73.0,16
ICF,ICF,2021-09-02,72.3,73.98,72.3,73.5,38
ICF,ICF,2021-09-07,72.1,73.5,71.5,73.49,312
ICF,ICF,2021-09-08,73.0,73.49,73.0,73.49,368
ICF,ICF,2021-09-09,73.0,73.97,72.0,73.97,731
ICF,ICF,2021-09-10,73.96,73.96,73.0,73.95,191
ICF,ICF,2021-09-13,73.94,78.38,73.94,78.0,885
ICF,ICF,2021-09-14,78.01,78.38,77.0,78.38,1150
ICF,ICF,2021-09-15,78.39,81.2,78.39,80.88,2858
ICF,ICF,2021-09-16,80.91,85.73,80.91,85.73,7462
ICF,ICF,2021-09-17,90.87,90.87,90.0,90.87,3738
ICF,ICF,2021-09-20,93.98,94.5,91.91,93.99,5667
ICF,ICF,2021-09-21,92.39,92.39,92.39,92.39,1994
ICF,ICF,2021-09-22,92.0,92.45,87.25,89.0,3308
ICF,ICF,2021-09-23,88.0,88.0,86.0,87.8,1096
ICF,ICF,2021-09-24,86.0,87.49,86.0,87.49,4615
ICF,ICF,2021-09-27,87.01,87.98,87.01,87.5,528
ICF,ICF,2021-09-28,90.0,91.5,87.11,90.0,2535
ICF,ICF,2021-09-29,89.11,90.8,88.01,88.01,732
ICF,ICF,2021-09-30,88.02,89.6,87.5,89.5,2752
ICF,ICF,2021-10-01,86.0,89.5,86.0,86.0,802
ICF,ICF,2021-10-04,86.5,87.5,86.0,86.5,1505
ICF,ICF,2021-10-05,87.5,88.0,86.0,87.5,1407
ICF,ICF,2021-10-06,86.0,87.5,85.0,86.0,613
ICF,ICF,2021-10-07,86.5,87.0,86.0,86.5,4822
ICF,ICF,2021-10-08,86.9,87.0,86.0,86.9,560
ICF,ICF,2021-10-11,85.71,86.9,85.7,85.71,302
ICF,ICF,2021-10-12,85.99,86.9,85.51,85.99,439
ICF,ICF,2021-10-13,87.5,88.0,85.99,87.5,28
ICF,ICF,2021-10-14,87.19,87.5,85.75,87.19,52
ICF,ICF,2021-10-19,87.17,87.19,87.09,87.17,901
ICF,ICF,2021-10-20,87.1,87.17,87.1,87.1,41
ICF,ICF,2021-10-21,81.88,87.15,81.88,81.88,1194
ICF,ICF,2021-10-22,80.78,81.88,76.97,80.78,1160
ICF,ICF,2021-10-25,81.48,84.9,80.78,81.48,246
ICF,ICF,2021-10-26,83.85,84.75,80.03,83.85,164
ICF,ICF,2021-10-27,83.8,84.59,81.0,83.8,21
ICF,ICF,2021-10-28,82.9,83.9,81.02,82.9,66
ICF,ICF,2021-10-29,82.21,83.88,81.02,82.21,59
ICF,ICF,2021-11-01,82.95,83.45,82.0,82.95,1329
ICF,ICF,2021-11-02,82.78,82.95,81.6,82.78,416
ICF,ICF,2021-11-03,81.9,82.78,81.51,81.9,217
ICF,ICF,2021-11-04,81.0,81.9,81.0,81.0,886
ICF,ICF,2021-11-05,80.0,81.0,80.0,80.0,87
ICF,ICF,2021-11-08,78.0,80.0,77.99,78.0,1266
ICF,ICF,2021-11-09,79.05,80.0,77.5,79.05,887
ICF,ICF,2021-11-10,77.0,79.97,77.0,77.0,730
ICF,ICF,2021-11-11,77.03,79.44,77.0,77.03,8
ICF,ICF,2021-11-12,78.0,79.95,77.03,78.0,45
ICF,ICF,2021-11-15,78.0,78.0,77.0,78.0,509
ICF,ICF,2021-11-16,78.0,78.0,77.99,78.0,190
ICF,ICF,2021-11-17,77.4,78.0,77.1,77.4,575
ICF,ICF,2021-11-18,78.0,78.0,77.4,78.0,40
ICF,ICF,2021-11-19,78.0,79.98,78.0,78.0,84
ICF,ICF,2021-11-22,79.98,79.99,78.0,79.98,339
ICF,ICF,2021-11-23,84.0,84.65,79.0,84.0,1899
ICF,ICF,2021-11-24,82.0,85.1,82.0,82.0,897
