ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ELECTROSTAR,LSTR,2021-06-17,1.1,1.1,1.1,1.1,5
ELECTROSTAR,LSTR,2021-06-21,1.06,1.06,1.06,1.06,200
ELECTROSTAR,LSTR,2021-06-22,1.05,1.09,1.03,1.09,5182
ELECTROSTAR,LSTR,2021-06-23,1.09,1.09,1.09,1.09,1
ELECTROSTAR,LSTR,2021-06-24,1.05,1.06,1.02,1.06,3793
ELECTROSTAR,LSTR,2021-06-25,1.03,1.06,1.03,1.06,1239
ELECTROSTAR,LSTR,2021-06-28,1.03,1.07,1.03,1.07,642
ELECTROSTAR,LSTR,2021-06-29,1.02,1.02,1.02,1.02,180
ELECTROSTAR,LSTR,2021-06-30,1.05,1.05,1.05,1.05,4
ELECTROSTAR,LSTR,2021-07-01,1.08,1.08,1.08,1.08,6
ELECTROSTAR,LSTR,2021-07-02,1.08,1.08,1.08,1.08,35
ELECTROSTAR,LSTR,2021-07-14,1.05,1.05,1.05,1.05,100
ELECTROSTAR,LSTR,2021-07-15,1.02,1.02,1.02,1.02,220
ELECTROSTAR,LSTR,2021-07-19,1.0,1.0,1.0,1.0,333
ELECTROSTAR,LSTR,2021-07-23,1.0,1.0,1.0,1.0,248
ELECTROSTAR,LSTR,2021-07-26,1.0,1.0,1.0,1.0,73
ELECTROSTAR,LSTR,2021-07-29,1.0,1.0,1.0,1.0,100
ELECTROSTAR,LSTR,2021-07-30,0.97,0.97,0.97,0.97,333
ELECTROSTAR,LSTR,2021-08-02,0.97,0.97,0.97,0.97,10312
ELECTROSTAR,LSTR,2021-08-03,0.99,0.99,0.99,0.99,4
ELECTROSTAR,LSTR,2021-08-05,1.04,1.04,1.04,1.04,10
ELECTROSTAR,LSTR,2021-08-06,1.03,1.03,1.03,1.03,30
ELECTROSTAR,LSTR,2021-08-23,1.0,1.0,1.0,1.0,5
ELECTROSTAR,LSTR,2021-08-24,1.0,1.0,1.0,1.0,20
ELECTROSTAR,LSTR,2021-08-25,0.99,0.99,0.99,0.99,5068
ELECTROSTAR,LSTR,2021-09-10,1.02,1.02,1.02,1.02,6
ELECTROSTAR,LSTR,2021-09-30,1.01,1.01,1.01,1.01,10
ELECTROSTAR,LSTR,2021-10-05,1.0,1.01,1.0,1.0,994
ELECTROSTAR,LSTR,2021-10-06,0.96,1.0,0.96,0.96,374
ELECTROSTAR,LSTR,2021-10-07,1.0,1.0,0.96,1.0,5
ELECTROSTAR,LSTR,2021-10-13,1.0,1.0,1.0,1.0,1
ELECTROSTAR,LSTR,2021-10-20,0.92,0.96,0.92,0.92,200
ELECTROSTAR,LSTR,2021-10-21,0.95,0.95,0.92,0.95,1
ELECTROSTAR,LSTR,2021-10-27,0.94,0.95,0.94,0.94,1
ELECTROSTAR,LSTR,2021-11-01,0.9,0.94,0.9,0.9,150
ELECTROSTAR,LSTR,2021-11-03,0.9,0.9,0.9,0.9,186
ELECTROSTAR,LSTR,2021-11-04,0.89,0.9,0.89,0.89,677
ELECTROSTAR,LSTR,2021-11-08,0.86,0.89,0.86,0.86,484
ELECTROSTAR,LSTR,2021-11-10,0.86,0.86,0.86,0.86,550
ELECTROSTAR,LSTR,2021-11-12,0.86,0.86,0.86,0.86,129
ELECTROSTAR,LSTR,2021-11-30,0.83,0.83,0.83,0.83,100
ELECTROSTAR,LSTR,2021-12-01,0.81,0.83,0.81,0.81,500
ELECTROSTAR,LSTR,2021-12-02,0.8,0.81,0.8,0.8,2000
ELECTROSTAR,LSTR,2021-12-03,0.83,0.83,0.8,0.83,11
ELECTROSTAR,LSTR,2021-12-06,0.8,0.83,0.8,0.8,66
ELECTROSTAR,LSTR,2021-12-09,0.86,0.86,0.86,0.86,100
ELECTROSTAR,LSTR,2022-03-14,0.93,0.93,0.91,0.93,22
ELECTROSTAR,LSTR,2022-03-22,0.89,0.93,0.89,0.89,500
ELECTROSTAR,LSTR,2022-03-24,0.93,0.93,0.89,0.93,1
ELECTROSTAR,LSTR,2022-03-29,0.93,0.93,0.93,0.93,101
ELECTROSTAR,LSTR,2022-04-07,0.94,0.94,0.93,0.94,2
ELECTROSTAR,LSTR,2022-04-11,0.93,0.94,0.93,0.93,300
ELECTROSTAR,LSTR,2022-04-19,0.88,0.89,0.88,0.88,998
ELECTROSTAR,LSTR,2022-04-21,0.88,0.88,0.88,0.88,30
ELECTROSTAR,LSTR,2022-04-22,0.88,0.88,0.88,0.88,2
ELECTROSTAR,LSTR,2022-04-25,0.88,0.88,0.88,0.88,1
ELECTROSTAR,LSTR,2022-04-26,0.88,0.88,0.88,0.88,500
ELECTROSTAR,LSTR,2022-05-11,0.7,0.73,0.7,0.7,7
ELECTROSTAR,LSTR,2022-05-17,0.7,0.7,0.67,0.7,1058
ELECTROSTAR,LSTR,2022-05-18,0.7,0.7,0.7,0.7,2300
ELECTROSTAR,LSTR,2022-05-23,0.68,0.7,0.68,0.68,573
ELECTROSTAR,LSTR,2022-05-24,0.68,0.68,0.68,0.68,151
ELECTROSTAR,LSTR,2022-05-25,0.69,0.69,0.68,0.69,150
ELECTROSTAR,LSTR,2022-05-26,0.69,0.69,0.69,0.69,520
ELECTROSTAR,LSTR,2022-05-27,0.69,0.69,0.69,0.69,200
ELECTROSTAR,LSTR,2022-05-30,0.7,0.7,0.69,0.7,1195
ELECTROSTAR,LSTR,2022-05-31,0.7,0.7,0.7,0.7,1052
ELECTROSTAR,LSTR,2022-06-02,0.73,0.73,0.73,0.73,100
ELECTROSTAR,LSTR,2022-06-03,0.76,0.76,0.73,0.76,109
ELECTROSTAR,LSTR,2022-06-06,0.77,0.77,0.76,0.77,389
ELECTROSTAR,LSTR,2022-06-08,0.8,0.8,0.8,0.8,222
ELECTROSTAR,LSTR,2022-06-10,0.83,0.83,0.83,0.83,33
ELECTROSTAR,LSTR,2022-06-23,0.74,0.77,0.74,0.74,426
ELECTROSTAR,LSTR,2022-06-24,0.74,0.74,0.74,0.74,100
ELECTROSTAR,LSTR,2022-06-29,0.73,0.74,0.73,0.73,400
ELECTROSTAR,LSTR,2022-07-04,0.77,0.77,0.76,0.77,70
ELECTROSTAR,LSTR,2022-07-15,0.76,0.77,0.76,0.76,1089
ELECTROSTAR,LSTR,2022-07-20,0.76,0.76,0.76,0.76,911
ELECTROSTAR,LSTR,2022-07-21,0.78,0.78,0.76,0.78,1
ELECTROSTAR,LSTR,2022-07-22,0.78,0.78,0.78,0.78,27
ELECTROSTAR,LSTR,2022-08-08,0.74,0.75,0.74,0.74,70
ELECTROSTAR,LSTR,2022-08-10,0.74,0.74,0.74,0.74,141
ELECTROSTAR,LSTR,2022-08-15,0.77,0.77,0.74,0.77,100
ELECTROSTAR,LSTR,2022-08-18,0.77,0.77,0.74,0.77,100
ELECTROSTAR,LSTR,2022-08-22,0.75,0.77,0.75,0.75,539
ELECTROSTAR,LSTR,2022-08-23,0.74,0.75,0.74,0.74,500
ELECTROSTAR,LSTR,2022-08-24,0.74,0.74,0.74,0.74,650
ELECTROSTAR,LSTR,2022-08-29,0.71,0.74,0.71,0.71,121
ELECTROSTAR,LSTR,2022-08-30,0.7,0.71,0.7,0.7,111
ELECTROSTAR,LSTR,2022-08-31,0.68,0.7,0.68,0.68,114
ELECTROSTAR,LSTR,2022-09-01,0.66,0.68,0.66,0.66,5362
ELECTROSTAR,LSTR,2022-09-02,0.67,0.67,0.66,0.67,1000
ELECTROSTAR,LSTR,2022-09-05,0.66,0.67,0.66,0.66,2783
ELECTROSTAR,LSTR,2022-09-06,0.66,0.66,0.66,0.66,700
ELECTROSTAR,LSTR,2022-09-07,0.66,0.66,0.66,0.66,1681
ELECTROSTAR,LSTR,2022-09-09,0.62,0.64,0.62,0.62,356
ELECTROSTAR,LSTR,2022-09-12,0.62,0.62,0.62,0.62,2573
ELECTROSTAR,LSTR,2022-09-14,0.62,0.62,0.62,0.62,1000
ELECTROSTAR,LSTR,2022-09-15,0.62,0.62,0.62,0.62,7120
ELECTROSTAR,LSTR,2022-09-16,0.61,0.62,0.61,0.61,4550
ELECTROSTAR,LSTR,2022-09-19,0.61,0.61,0.61,0.61,28
ELECTROSTAR,LSTR,2022-09-20,0.59,0.61,0.59,0.59,3000
ELECTROSTAR,LSTR,2022-09-21,0.58,0.59,0.58,0.58,3000
ELECTROSTAR,LSTR,2022-09-23,0.58,0.58,0.58,0.58,10
ELECTROSTAR,LSTR,2022-09-26,0.56,0.58,0.56,0.56,2000
ELECTROSTAR,LSTR,2022-09-27,0.55,0.56,0.55,0.55,2025
ELECTROSTAR,LSTR,2022-10-03,0.54,0.55,0.54,0.54,600
ELECTROSTAR,LSTR,2022-10-19,0.39,0.4,0.39,0.39,8328
ELECTROSTAR,LSTR,2022-10-20,0.4,0.4,0.39,0.4,6100
ELECTROSTAR,LSTR,2022-11-02,0.31,0.32,0.31,0.31,4204
ELECTROSTAR,LSTR,2022-11-04,0.32,0.32,0.32,0.32,4450
ELECTROSTAR,LSTR,2022-11-08,0.31,0.31,0.31,0.31,7502
ELECTROSTAR,LSTR,2022-11-09,0.31,0.31,0.31,0.31,13455
ELECTROSTAR,LSTR,2022-11-11,0.3,0.3,0.3,0.3,3526
ELECTROSTAR,LSTR,2022-11-14,0.3,0.3,0.3,0.3,588
ELECTROSTAR,LSTR,2022-11-15,0.3,0.3,0.3,0.3,8116
ELECTROSTAR,LSTR,2022-11-21,0.3,0.3,0.3,0.3,1945
ELECTROSTAR,LSTR,2022-11-22,0.3,0.3,0.3,0.3,3000
ELECTROSTAR,LSTR,2022-11-23,0.3,0.3,0.3,0.3,3000
ELECTROSTAR,LSTR,2022-11-30,0.29,0.29,0.29,0.29,1200
ELECTROSTAR,LSTR,2022-12-02,0.28,0.29,0.28,0.28,500
ELECTROSTAR,LSTR,2022-12-06,0.28,0.28,0.28,0.28,10
ELECTROSTAR,LSTR,2023-03-10,0.47,0.47,0.46,0.47,200
ELECTROSTAR,LSTR,2023-03-24,0.43,0.43,0.42,0.43,696
ELECTROSTAR,LSTR,2023-03-27,0.44,0.44,0.43,0.44,111
ELECTROSTAR,LSTR,2023-03-28,0.45,0.45,0.44,0.45,122
ELECTROSTAR,LSTR,2023-03-30,0.46,0.47,0.46,0.46,133
ELECTROSTAR,LSTR,2023-04-05,0.51,0.51,0.5,0.51,1
ELECTROSTAR,LSTR,2023-04-24,0.42,0.42,0.42,0.42,3117
ELECTROSTAR,LSTR,2023-04-27,0.44,0.45,0.44,0.45,40
ELECTROSTAR,LSTR,2023-04-28,0.45,0.45,0.45,0.45,260
ELECTROSTAR,LSTR,2023-05-04,0.47,0.48,0.47,0.48,1
ELECTROSTAR,LSTR,2023-05-05,0.48,0.48,0.48,0.48,110
ELECTROSTAR,LSTR,2023-05-08,0.48,0.49,0.48,0.49,383
ELECTROSTAR,LSTR,2023-05-22,0.43,0.43,0.42,0.42,2260
ELECTROSTAR,LSTR,2023-05-25,0.44,0.45,0.44,0.45,300
ELECTROSTAR,LSTR,2023-05-29,0.43,0.43,0.42,0.42,372
ELECTROSTAR,LSTR,2023-05-30,0.42,0.43,0.42,0.43,129
ELECTROSTAR,LSTR,2023-06-01,0.44,0.44,0.43,0.43,250
ELECTROSTAR,LSTR,2023-06-15,0.41,0.41,0.4,0.4,1486
ELECTROSTAR,LSTR,2023-06-21,0.43,0.44,0.43,0.44,184
ELECTROSTAR,LSTR,2023-06-26,0.45,0.47,0.45,0.47,272
ELECTROSTAR,LSTR,2023-06-27,0.47,0.47,0.47,0.47,100
ELECTROSTAR,LSTR,2023-06-30,0.47,0.49,0.47,0.49,2
ELECTROSTAR,LSTR,2023-09-04,0.43,0.43,0.42,0.42,115
ELECTROSTAR,LSTR,2023-09-19,0.35,0.35,0.34,0.34,24
ELECTROSTAR,LSTR,2023-09-20,0.34,0.34,0.34,0.34,1025
ELECTROSTAR,LSTR,2023-09-22,0.33,0.33,0.32,0.32,275
ELECTROSTAR,LSTR,2023-10-12,0.26,0.26,0.25,0.25,3617
ELECTROSTAR,LSTR,2023-10-13,0.25,0.26,0.25,0.26,22196
