ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
MAGASIN GENERAL,MAG,2021-06-21,17.0,17.0,17.0,17.0,18070
MAGASIN GENERAL,MAG,2021-06-22,17.5,17.51,17.5,17.51,10303
MAGASIN GENERAL,MAG,2021-06-23,17.51,18.0,17.51,18.0,10019
MAGASIN GENERAL,MAG,2021-06-24,18.0,18.0,18.0,18.0,8
MAGASIN GENERAL,MAG,2021-06-25,18.0,18.0,18.0,18.0,1300
MAGASIN GENERAL,MAG,2021-06-28,18.0,18.0,18.0,18.0,55
MAGASIN GENERAL,MAG,2021-06-29,18.0,18.0,18.0,18.0,2209
MAGASIN GENERAL,MAG,2021-06-30,18.0,18.0,18.0,18.0,500
MAGASIN GENERAL,MAG,2021-07-01,18.0,18.0,18.0,18.0,2050
MAGASIN GENERAL,MAG,2021-07-02,18.01,18.01,18.01,18.01,590
MAGASIN GENERAL,MAG,2021-07-06,18.0,18.01,18.0,18.01,7659
MAGASIN GENERAL,MAG,2021-07-07,18.0,18.0,18.0,18.0,11066
MAGASIN GENERAL,MAG,2021-07-08,18.0,18.01,18.0,18.01,1708
MAGASIN GENERAL,MAG,2021-07-09,18.02,18.02,18.02,18.02,997
MAGASIN GENERAL,MAG,2021-07-12,18.0,18.0,18.0,18.0,1580
MAGASIN GENERAL,MAG,2021-07-13,18.5,18.5,18.5,18.5,30
MAGASIN GENERAL,MAG,2021-07-14,18.5,18.5,18.5,18.5,100
MAGASIN GENERAL,MAG,2021-07-27,18.0,18.0,18.0,18.0,4732
MAGASIN GENERAL,MAG,2021-07-28,18.0,18.0,18.0,18.0,473
MAGASIN GENERAL,MAG,2021-08-05,18.0,18.0,18.0,18.0,50
MAGASIN GENERAL,MAG,2021-08-06,18.0,18.0,18.0,18.0,43307
MAGASIN GENERAL,MAG,2021-08-09,18.0,18.0,18.0,18.0,250
MAGASIN GENERAL,MAG,2021-09-09,17.0,17.0,17.0,17.0,25
MAGASIN GENERAL,MAG,2021-09-16,17.5,17.5,17.5,17.5,4830
MAGASIN GENERAL,MAG,2021-09-29,17.0,17.0,17.0,17.0,25
MAGASIN GENERAL,MAG,2021-09-30,17.0,17.0,17.0,17.0,3
MAGASIN GENERAL,MAG,2021-10-01,17.0,17.0,17.0,17.0,1
MAGASIN GENERAL,MAG,2021-10-14,16.52,17.0,16.52,16.52,3
MAGASIN GENERAL,MAG,2021-10-19,16.0,16.52,16.0,16.0,5
MAGASIN GENERAL,MAG,2021-10-20,16.0,16.0,16.0,16.0,25
MAGASIN GENERAL,MAG,2021-10-28,15.9,16.0,15.9,15.9,3
MAGASIN GENERAL,MAG,2021-11-05,15.5,15.9,15.5,15.5,40
MAGASIN GENERAL,MAG,2021-11-15,15.4,15.5,15.4,15.4,10
MAGASIN GENERAL,MAG,2021-11-16,15.4,15.4,15.4,15.4,103
MAGASIN GENERAL,MAG,2021-11-22,16.0,16.0,15.4,16.0,34
MAGASIN GENERAL,MAG,2021-12-03,16.72,16.72,16.0,16.72,810
MAGASIN GENERAL,MAG,2022-03-16,13.0,13.0,13.0,13.0,60
MAGASIN GENERAL,MAG,2022-03-17,13.0,13.0,13.0,13.0,1000
MAGASIN GENERAL,MAG,2022-03-23,12.43,12.97,12.43,12.43,345
MAGASIN GENERAL,MAG,2022-04-06,12.43,12.43,12.43,12.43,305
MAGASIN GENERAL,MAG,2022-04-08,12.43,12.43,12.43,12.43,306
MAGASIN GENERAL,MAG,2022-04-13,12.0,12.43,12.0,12.0,6
MAGASIN GENERAL,MAG,2022-04-14,12.0,12.0,12.0,12.0,3
MAGASIN GENERAL,MAG,2022-04-15,12.0,12.0,12.0,12.0,166
MAGASIN GENERAL,MAG,2022-04-19,11.66,12.0,11.66,11.66,203
MAGASIN GENERAL,MAG,2022-04-20,11.14,11.66,11.14,11.14,8
MAGASIN GENERAL,MAG,2022-04-25,11.14,11.14,11.14,11.14,213
MAGASIN GENERAL,MAG,2022-04-27,11.9,11.9,11.64,11.9,87
MAGASIN GENERAL,MAG,2022-05-10,12.0,12.0,11.9,12.0,100
MAGASIN GENERAL,MAG,2022-05-24,12.54,12.54,12.0,12.54,1
MAGASIN GENERAL,MAG,2022-05-25,13.05,13.05,12.54,13.05,1
MAGASIN GENERAL,MAG,2022-05-27,14.23,14.23,13.62,14.23,9
MAGASIN GENERAL,MAG,2022-06-03,14.22,14.22,14.22,14.22,7
MAGASIN GENERAL,MAG,2022-06-06,14.23,14.23,14.22,14.23,10
MAGASIN GENERAL,MAG,2022-06-24,14.6,15.28,14.6,14.6,200
MAGASIN GENERAL,MAG,2022-06-29,14.0,14.6,14.0,14.0,203
MAGASIN GENERAL,MAG,2022-07-01,13.01,13.5,13.01,13.01,588
MAGASIN GENERAL,MAG,2022-07-04,13.59,13.59,13.01,13.59,1
MAGASIN GENERAL,MAG,2022-07-07,13.03,13.59,13.03,13.03,72
MAGASIN GENERAL,MAG,2022-07-08,13.03,13.03,13.03,13.03,50
MAGASIN GENERAL,MAG,2022-07-11,13.03,13.03,13.03,13.03,3
MAGASIN GENERAL,MAG,2022-07-13,13.03,13.03,13.03,13.03,3
MAGASIN GENERAL,MAG,2022-07-14,13.03,13.03,13.03,13.03,540
MAGASIN GENERAL,MAG,2022-07-19,13.03,13.03,13.03,13.03,103
MAGASIN GENERAL,MAG,2022-07-21,13.5,13.5,13.03,13.5,1
MAGASIN GENERAL,MAG,2022-07-22,13.0,13.5,13.0,13.0,200
MAGASIN GENERAL,MAG,2022-07-26,12.42,13.0,12.42,12.42,2
MAGASIN GENERAL,MAG,2022-07-28,12.49,12.97,12.49,12.49,250
MAGASIN GENERAL,MAG,2022-08-01,12.49,12.49,12.49,12.49,78
MAGASIN GENERAL,MAG,2022-08-03,12.49,12.49,12.49,12.49,18
MAGASIN GENERAL,MAG,2022-08-05,12.49,12.49,12.49,12.49,660
MAGASIN GENERAL,MAG,2022-08-08,12.03,12.49,12.03,12.03,100
MAGASIN GENERAL,MAG,2022-08-10,12.05,12.05,12.03,12.05,100
MAGASIN GENERAL,MAG,2022-08-19,12.59,12.59,12.05,12.59,2
MAGASIN GENERAL,MAG,2022-08-26,12.9,12.9,12.59,12.9,100
MAGASIN GENERAL,MAG,2022-09-01,12.32,12.32,12.32,12.32,700
MAGASIN GENERAL,MAG,2022-09-02,12.35,12.35,12.32,12.35,810
MAGASIN GENERAL,MAG,2022-09-05,12.35,12.35,12.35,12.35,488
MAGASIN GENERAL,MAG,2022-09-07,12.49,12.49,12.35,12.49,217
MAGASIN GENERAL,MAG,2022-09-08,12.5,12.5,12.49,12.5,353
MAGASIN GENERAL,MAG,2022-09-09,12.5,12.5,12.5,12.5,3
MAGASIN GENERAL,MAG,2022-09-20,12.3,12.5,12.3,12.3,220
MAGASIN GENERAL,MAG,2022-09-23,12.3,12.3,12.3,12.3,200
MAGASIN GENERAL,MAG,2022-09-26,12.25,12.3,12.25,12.25,220
MAGASIN GENERAL,MAG,2022-09-28,12.01,12.25,12.01,12.01,33
MAGASIN GENERAL,MAG,2022-09-30,12.01,12.01,12.01,12.01,15
MAGASIN GENERAL,MAG,2022-10-03,12.01,12.01,12.01,12.01,3
MAGASIN GENERAL,MAG,2022-10-07,11.51,12.01,11.51,11.51,103
MAGASIN GENERAL,MAG,2022-10-10,11.51,11.51,11.51,11.51,11
MAGASIN GENERAL,MAG,2022-10-12,11.01,11.51,11.01,11.01,18
MAGASIN GENERAL,MAG,2022-10-13,11.01,11.01,11.01,11.01,2
MAGASIN GENERAL,MAG,2022-10-18,10.1,10.52,10.1,10.1,50
MAGASIN GENERAL,MAG,2022-10-19,10.1,10.1,10.1,10.1,65
MAGASIN GENERAL,MAG,2022-10-20,10.01,10.1,10.01,10.01,10
MAGASIN GENERAL,MAG,2022-10-24,10.01,10.01,10.01,10.01,19
MAGASIN GENERAL,MAG,2022-11-15,10.99,10.99,10.93,10.99,8
MAGASIN GENERAL,MAG,2022-11-16,10.99,10.99,10.99,10.99,3
MAGASIN GENERAL,MAG,2022-11-22,10.99,10.99,10.99,10.99,69
MAGASIN GENERAL,MAG,2022-11-24,10.99,10.99,10.99,10.99,4
MAGASIN GENERAL,MAG,2022-12-06,10.01,10.03,10.01,10.01,14
MAGASIN GENERAL,MAG,2022-12-08,9.99,9.99,9.56,9.99,1
MAGASIN GENERAL,MAG,2023-03-15,13.5,13.5,13.1,13.5,1
MAGASIN GENERAL,MAG,2023-04-03,11.5,11.77,11.5,11.5,50
MAGASIN GENERAL,MAG,2023-04-04,11.0,11.5,11.0,11.0,550
MAGASIN GENERAL,MAG,2023-04-06,11.5,12.0,11.49,11.5,251
MAGASIN GENERAL,MAG,2023-04-19,11.5,11.5,11.5,11.5,210
MAGASIN GENERAL,MAG,2023-04-20,11.5,11.5,11.0,11.0,164
MAGASIN GENERAL,MAG,2023-04-25,11.0,11.0,10.52,10.52,400
MAGASIN GENERAL,MAG,2023-04-27,10.52,10.52,10.52,10.52,15
MAGASIN GENERAL,MAG,2023-05-10,10.05,10.05,10.0,10.0,921
MAGASIN GENERAL,MAG,2023-05-12,10.0,10.0,10.0,10.0,360
MAGASIN GENERAL,MAG,2023-05-19,10.0,10.0,10.0,10.0,20
MAGASIN GENERAL,MAG,2023-05-23,10.0,10.0,10.0,10.0,200
MAGASIN GENERAL,MAG,2023-05-25,10.0,10.0,10.0,10.0,363
MAGASIN GENERAL,MAG,2023-06-02,10.92,10.99,10.92,10.99,4
MAGASIN GENERAL,MAG,2023-06-06,10.99,11.29,10.99,11.29,1
MAGASIN GENERAL,MAG,2023-06-12,11.29,11.3,11.29,11.3,1
MAGASIN GENERAL,MAG,2023-06-16,10.32,10.32,10.0,10.0,310
MAGASIN GENERAL,MAG,2023-06-26,10.45,10.45,10.45,10.45,3
MAGASIN GENERAL,MAG,2023-07-11,10.45,10.45,10.4,10.4,5
MAGASIN GENERAL,MAG,2023-07-13,10.4,10.45,10.4,10.45,7
MAGASIN GENERAL,MAG,2023-07-14,10.45,10.45,10.45,10.45,5
MAGASIN GENERAL,MAG,2023-07-20,10.45,10.45,10.45,10.45,5
MAGASIN GENERAL,MAG,2023-07-21,10.45,10.45,10.45,10.45,5
MAGASIN GENERAL,MAG,2023-07-24,10.45,10.45,10.45,10.45,3
MAGASIN GENERAL,MAG,2023-07-28,10.45,10.45,10.45,10.45,5
MAGASIN GENERAL,MAG,2023-07-31,10.45,10.45,10.45,10.45,3
MAGASIN GENERAL,MAG,2023-08-03,10.45,10.45,10.45,10.45,2
MAGASIN GENERAL,MAG,2023-08-23,10.45,10.45,10.45,10.45,4
MAGASIN GENERAL,MAG,2023-08-24,10.45,10.45,10.45,10.45,10
MAGASIN GENERAL,MAG,2023-08-25,10.45,10.45,10.45,10.45,2
MAGASIN GENERAL,MAG,2023-08-31,10.45,10.92,10.45,10.92,1
MAGASIN GENERAL,MAG,2023-09-12,10.92,10.99,10.92,10.99,1
MAGASIN GENERAL,MAG,2023-09-15,10.99,11.48,10.99,11.48,1
MAGASIN GENERAL,MAG,2023-10-12,11.48,11.48,10.97,10.97,19
MAGASIN GENERAL,MAG,2023-10-20,10.97,10.97,10.49,10.49,8
MAGASIN GENERAL,MAG,2023-10-26,9.57,9.57,9.14,9.15,283
MAGASIN GENERAL,MAG,2023-10-31,9.56,9.56,9.55,9.55,5
MAGASIN GENERAL,MAG,2023-11-07,9.97,9.97,9.53,9.53,5
