ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SOTUMAG,MGR,2021-06-17,3.15,3.16,3.15,3.16,2560
SOTUMAG,MGR,2021-06-21,3.17,3.17,3.17,3.17,100
SOTUMAG,MGR,2021-06-23,3.16,3.16,3.16,3.16,1420
SOTUMAG,MGR,2021-06-24,3.16,3.18,3.1,3.18,8626
SOTUMAG,MGR,2021-06-25,3.18,3.18,3.18,3.18,700
SOTUMAG,MGR,2021-06-28,3.18,3.2,3.15,3.2,22986
SOTUMAG,MGR,2021-06-29,3.2,3.24,3.2,3.2,4102
SOTUMAG,MGR,2021-06-30,3.19,3.29,3.19,3.29,47221
SOTUMAG,MGR,2021-07-01,3.3,3.37,3.27,3.36,3876
SOTUMAG,MGR,2021-07-02,3.37,3.37,3.31,3.37,3066
SOTUMAG,MGR,2021-07-05,3.37,3.4,3.36,3.4,5769
SOTUMAG,MGR,2021-07-06,3.44,3.44,3.4,3.4,3040
SOTUMAG,MGR,2021-07-07,3.36,3.45,3.36,3.45,1611
SOTUMAG,MGR,2021-07-08,3.45,3.45,3.45,3.45,1
SOTUMAG,MGR,2021-07-09,3.43,3.44,3.43,3.44,10871
SOTUMAG,MGR,2021-07-12,3.43,3.45,3.43,3.45,4135
SOTUMAG,MGR,2021-07-13,3.44,3.45,3.44,3.45,4604
SOTUMAG,MGR,2021-07-14,3.44,3.45,3.44,3.45,5056
SOTUMAG,MGR,2021-07-16,3.44,3.44,3.44,3.44,601
SOTUMAG,MGR,2021-07-19,3.45,3.48,3.45,3.48,10694
SOTUMAG,MGR,2021-07-22,3.45,3.48,3.45,3.48,8854
SOTUMAG,MGR,2021-07-23,3.48,3.48,3.48,3.48,3350
SOTUMAG,MGR,2021-07-26,3.41,3.48,3.41,3.48,2543
SOTUMAG,MGR,2021-07-27,3.47,3.48,3.47,3.48,400
SOTUMAG,MGR,2021-07-30,3.4,3.48,3.4,3.48,25470
SOTUMAG,MGR,2021-08-02,3.46,3.47,3.46,3.47,670
SOTUMAG,MGR,2021-08-03,3.41,3.47,3.4,3.47,6391
SOTUMAG,MGR,2021-08-04,3.48,3.48,3.45,3.48,14879
SOTUMAG,MGR,2021-08-05,3.48,3.5,3.48,3.5,18248
SOTUMAG,MGR,2021-08-06,3.55,3.61,3.55,3.56,4404
SOTUMAG,MGR,2021-08-09,3.56,3.62,3.56,3.61,1250
SOTUMAG,MGR,2021-08-11,3.52,3.62,3.51,3.62,10089
SOTUMAG,MGR,2021-08-12,3.62,3.62,3.52,3.52,4164
SOTUMAG,MGR,2021-08-16,3.59,3.62,3.5,3.55,1381
SOTUMAG,MGR,2021-08-17,3.61,3.61,3.51,3.55,7282
SOTUMAG,MGR,2021-08-18,3.58,3.6,3.57,3.6,4092
SOTUMAG,MGR,2021-08-19,3.6,3.6,3.5,3.59,24795
SOTUMAG,MGR,2021-08-20,3.59,3.59,3.5,3.58,525
SOTUMAG,MGR,2021-08-23,3.58,3.6,3.55,3.6,1535
SOTUMAG,MGR,2021-08-24,3.6,3.62,3.59,3.62,2320
SOTUMAG,MGR,2021-08-25,3.6,3.62,3.6,3.6,3585
SOTUMAG,MGR,2021-08-26,3.62,3.62,3.62,3.62,2000
SOTUMAG,MGR,2021-08-27,3.62,3.62,3.62,3.62,300
SOTUMAG,MGR,2021-08-31,3.76,3.76,3.62,3.76,2764
SOTUMAG,MGR,2021-09-01,3.77,3.84,3.72,3.77,2344
SOTUMAG,MGR,2021-09-02,3.77,3.87,3.77,3.8,1239
