ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
MONOPRIX,MNP,2021-06-17,5.43,5.58,5.4,5.5,1967
MONOPRIX,MNP,2021-06-21,5.47,5.47,5.47,5.47,1925
MONOPRIX,MNP,2021-06-22,5.37,5.6,5.35,5.6,5529
MONOPRIX,MNP,2021-06-23,5.5,5.5,5.5,5.5,120
MONOPRIX,MNP,2021-06-24,5.36,5.6,5.35,5.35,2112
MONOPRIX,MNP,2021-06-25,5.5,5.6,5.5,5.5,260
MONOPRIX,MNP,2021-06-28,5.5,5.61,5.5,5.5,410
MONOPRIX,MNP,2021-06-29,5.6,5.6,5.6,5.6,500
MONOPRIX,MNP,2021-06-30,5.6,5.6,5.6,5.6,650
MONOPRIX,MNP,2021-07-01,5.62,5.62,5.62,5.62,5
MONOPRIX,MNP,2021-07-05,5.6,5.6,5.5,5.6,1004
MONOPRIX,MNP,2021-07-08,5.59,5.59,5.59,5.59,2
MONOPRIX,MNP,2021-07-09,5.45,5.58,5.45,5.58,1102
MONOPRIX,MNP,2021-07-13,5.42,5.57,5.42,5.57,310
MONOPRIX,MNP,2021-07-15,5.49,5.49,5.49,5.49,720
MONOPRIX,MNP,2021-07-16,5.47,5.48,5.45,5.48,7935
MONOPRIX,MNP,2021-07-19,5.4,5.48,5.4,5.4,1275
MONOPRIX,MNP,2021-07-22,5.45,5.45,5.45,5.45,2
MONOPRIX,MNP,2021-07-23,5.4,5.4,5.4,5.4,300
MONOPRIX,MNP,2021-07-26,5.35,5.35,5.25,5.25,618
MONOPRIX,MNP,2021-07-27,5.38,5.38,5.25,5.25,190
MONOPRIX,MNP,2021-07-28,5.25,5.38,5.25,5.38,9150
MONOPRIX,MNP,2021-07-29,5.4,5.45,5.22,5.4,8447
MONOPRIX,MNP,2021-07-30,5.48,5.48,5.24,5.48,4423
MONOPRIX,MNP,2021-08-02,5.45,5.45,5.45,5.45,8
MONOPRIX,MNP,2021-08-05,5.3,5.43,5.3,5.3,882
MONOPRIX,MNP,2021-08-06,5.2,5.43,5.2,5.43,175
MONOPRIX,MNP,2021-08-11,5.4,5.4,5.4,5.4,100
MONOPRIX,MNP,2021-08-12,5.4,5.4,5.4,5.4,50
MONOPRIX,MNP,2021-08-16,5.35,5.35,5.35,5.35,420
MONOPRIX,MNP,2021-08-17,5.35,5.35,5.35,5.35,420
MONOPRIX,MNP,2021-08-19,5.34,5.34,5.34,5.34,27
MONOPRIX,MNP,2021-08-20,5.24,5.24,5.18,5.19,1271
MONOPRIX,MNP,2021-08-23,5.19,5.19,5.04,5.19,1528
MONOPRIX,MNP,2021-08-25,5.18,5.19,5.1,5.18,5891
MONOPRIX,MNP,2021-08-26,5.05,5.05,5.04,5.04,65
MONOPRIX,MNP,2021-08-27,5.18,5.18,5.18,5.18,100
MONOPRIX,MNP,2021-08-31,5.15,5.18,5.04,5.15,2001
MONOPRIX,MNP,2021-09-01,5.09,5.1,5.07,5.1,5470
MONOPRIX,MNP,2021-09-02,4.99,5.1,4.98,5.1,3101
MONOPRIX,MNP,2021-09-06,5.08,5.08,5.08,5.08,1500
MONOPRIX,MNP,2021-09-07,4.98,4.98,4.98,4.98,214
MONOPRIX,MNP,2021-09-08,4.9,5.05,4.9,5.05,711
MONOPRIX,MNP,2021-09-13,4.9,5.0,4.9,4.9,3220
MONOPRIX,MNP,2021-09-14,5.0,5.0,4.9,5.0,1592
MONOPRIX,MNP,2021-09-17,4.8,4.98,4.78,4.97,12269
MONOPRIX,MNP,2021-09-20,4.96,4.96,4.9,4.96,2671
MONOPRIX,MNP,2021-09-22,4.77,4.94,4.77,4.94,205
MONOPRIX,MNP,2021-09-23,4.89,4.94,4.89,4.94,9393
MONOPRIX,MNP,2021-09-24,4.9,4.9,4.9,4.9,376
MONOPRIX,MNP,2021-09-29,4.85,4.9,4.82,4.9,20
MONOPRIX,MNP,2021-09-30,4.89,4.89,4.89,4.89,72
MONOPRIX,MNP,2021-10-01,4.85,4.89,4.85,4.85,3225
MONOPRIX,MNP,2021-10-04,4.89,4.9,4.85,4.89,227
MONOPRIX,MNP,2021-10-06,4.89,4.9,4.76,4.89,1181
MONOPRIX,MNP,2021-10-07,4.89,4.89,4.6,4.89,3646
MONOPRIX,MNP,2021-10-08,4.85,4.89,4.7,4.85,556
MONOPRIX,MNP,2021-10-13,4.85,4.85,4.84,4.85,1550
MONOPRIX,MNP,2021-10-14,4.85,4.85,4.75,4.85,9976
MONOPRIX,MNP,2021-10-19,4.84,4.85,4.75,4.84,574
MONOPRIX,MNP,2021-10-20,4.84,4.84,4.75,4.84,2724
MONOPRIX,MNP,2021-10-21,4.82,4.84,4.82,4.82,1662
MONOPRIX,MNP,2021-10-25,4.82,4.84,4.82,4.82,2691
MONOPRIX,MNP,2021-10-26,4.82,4.82,4.82,4.82,2
MONOPRIX,MNP,2021-10-28,4.8,4.82,4.71,4.8,649
MONOPRIX,MNP,2021-10-29,4.8,4.8,4.71,4.8,1824
MONOPRIX,MNP,2021-11-01,4.79,4.8,4.79,4.79,9
MONOPRIX,MNP,2021-11-04,4.79,4.79,4.62,4.79,5
