ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
MPBS,MPBS,2021-06-17,1.595,1.61,1.595,1.6,2184
MPBS,MPBS,2021-06-18,1.595,1.61,1.595,1.61,1442
MPBS,MPBS,2021-06-21,1.575,1.58,1.575,1.575,4218
MPBS,MPBS,2021-06-22,1.61,1.61,1.575,1.61,1998
MPBS,MPBS,2021-06-23,1.61,1.68,1.61,1.68,21718
MPBS,MPBS,2021-06-24,1.7,1.78,1.7,1.78,186038
MPBS,MPBS,2021-06-28,1.81,1.86,1.78,1.86,55056
MPBS,MPBS,2021-06-29,1.885,1.94,1.88,1.9,60372
MPBS,MPBS,2021-06-30,1.9,1.9,1.9,1.9,1480
MPBS,MPBS,2021-07-01,1.9,1.925,1.9,1.905,15154
MPBS,MPBS,2021-07-02,1.91,1.95,1.9,1.91,5550
MPBS,MPBS,2021-07-05,1.965,1.965,1.91,1.91,15398
MPBS,MPBS,2021-07-06,1.9,1.925,1.9,1.91,14338
MPBS,MPBS,2021-07-07,1.91,1.94,1.91,1.94,22098
MPBS,MPBS,2021-07-08,1.9,1.915,1.9,1.91,12586
MPBS,MPBS,2021-07-09,1.905,1.915,1.875,1.915,21944
MPBS,MPBS,2021-07-12,1.945,1.945,1.915,1.94,5228
MPBS,MPBS,2021-07-13,1.94,1.995,1.94,1.995,43886
MPBS,MPBS,2021-07-14,1.99,2.0,1.99,1.995,2620
MPBS,MPBS,2021-07-15,1.99,1.99,1.985,1.985,788
MPBS,MPBS,2021-07-16,1.955,2.015,1.955,2.015,77852
MPBS,MPBS,2021-07-19,2.05,2.135,2.05,2.13,1366
MPBS,MPBS,2021-07-22,2.13,2.19,2.07,2.075,12666
MPBS,MPBS,2021-07-23,2.135,2.135,2.04,2.04,5538
MPBS,MPBS,2021-07-26,2.04,2.04,1.98,1.98,3752
MPBS,MPBS,2021-07-27,1.97,2.035,1.97,2.035,16002
MPBS,MPBS,2021-07-28,2.035,2.035,2.015,2.015,240
MPBS,MPBS,2021-07-29,2.025,2.025,2.025,2.025,20
MPBS,MPBS,2021-07-30,2.025,2.025,2.025,2.025,112
MPBS,MPBS,2021-08-04,2.01,2.01,2.01,2.01,100
MPBS,MPBS,2021-08-05,2.01,2.01,2.0,2.0,490
MPBS,MPBS,2021-08-06,1.975,2.0,1.94,2.0,1916
MPBS,MPBS,2021-08-09,2.005,2.02,2.005,2.02,7600
MPBS,MPBS,2021-08-11,1.96,2.015,1.96,2.015,2800
MPBS,MPBS,2021-08-12,2.015,2.07,2.015,2.02,13230
MPBS,MPBS,2021-08-16,2.02,2.08,2.02,2.08,13292
MPBS,MPBS,2021-08-17,2.1,2.14,2.1,2.13,5744
MPBS,MPBS,2021-08-18,2.135,2.14,2.13,2.14,4826
MPBS,MPBS,2021-08-19,2.14,2.14,2.125,2.14,14850
MPBS,MPBS,2021-08-20,2.135,2.2,2.135,2.2,299004
MPBS,MPBS,2021-08-23,2.25,2.3,2.25,2.3,21426
MPBS,MPBS,2021-08-24,2.325,2.35,2.3,2.3,2746
MPBS,MPBS,2021-08-25,2.3,2.3,2.235,2.285,3524
MPBS,MPBS,2021-08-26,2.22,2.25,2.22,2.25,1726
MPBS,MPBS,2021-08-27,2.315,2.38,2.315,2.37,23050
MPBS,MPBS,2021-08-30,2.35,2.37,2.35,2.35,2000
MPBS,MPBS,2021-08-31,2.345,2.41,2.345,2.345,6400
MPBS,MPBS,2021-09-01,2.39,2.39,2.345,2.345,4202
MPBS,MPBS,2021-09-02,2.37,2.37,2.365,2.37,2138
MPBS,MPBS,2021-09-03,2.385,2.385,2.345,2.35,33138
MPBS,MPBS,2021-09-06,2.325,2.335,2.3,2.335,5004
MPBS,MPBS,2021-09-07,2.275,2.3,2.275,2.3,1668
MPBS,MPBS,2021-09-08,2.345,2.345,2.25,2.25,3692
MPBS,MPBS,2021-09-09,2.295,2.295,2.225,2.275,6018
MPBS,MPBS,2021-09-10,2.325,2.4,2.2,2.4,472692
MPBS,MPBS,2021-09-13,2.4,2.4,2.33,2.37,10728
MPBS,MPBS,2021-09-14,2.355,2.355,2.31,2.31,5908
MPBS,MPBS,2021-09-15,2.31,2.31,2.275,2.31,1950
MPBS,MPBS,2021-09-16,2.31,2.31,2.245,2.305,4906
MPBS,MPBS,2021-09-17,2.31,2.355,2.31,2.35,12504
MPBS,MPBS,2021-09-20,2.35,2.375,2.33,2.33,2334
MPBS,MPBS,2021-09-21,2.33,2.33,2.33,2.33,5000
MPBS,MPBS,2021-09-22,2.305,2.33,2.3,2.33,4084
MPBS,MPBS,2021-09-23,2.35,2.35,2.33,2.33,1132
MPBS,MPBS,2021-09-24,2.35,2.35,2.275,2.345,4944
MPBS,MPBS,2021-09-27,2.3,2.3,2.3,2.3,5696
MPBS,MPBS,2021-09-28,2.33,2.335,2.3,2.33,928
MPBS,MPBS,2021-09-29,2.35,2.35,2.3,2.32,2584
MPBS,MPBS,2021-09-30,2.29,2.32,2.29,2.32,7308
MPBS,MPBS,2021-10-01,2.35,2.35,2.3,2.35,4082
MPBS,MPBS,2021-10-04,2.35,2.375,2.35,2.35,6250
MPBS,MPBS,2021-10-05,2.385,2.385,2.35,2.385,10104
MPBS,MPBS,2021-10-06,2.405,2.42,2.355,2.405,4270
MPBS,MPBS,2021-10-07,2.425,2.425,2.4,2.425,8748
MPBS,MPBS,2021-10-08,2.505,2.55,2.4,2.505,32844
MPBS,MPBS,2021-10-11,2.65,2.65,2.505,2.65,14852
MPBS,MPBS,2021-10-12,2.7,2.7,2.65,2.7,6502
MPBS,MPBS,2021-10-13,2.6,2.7,2.575,2.6,4620
MPBS,MPBS,2021-10-14,2.575,2.6,2.555,2.575,10584
MPBS,MPBS,2021-10-19,2.54,2.575,2.54,2.54,2420
MPBS,MPBS,2021-10-20,2.54,2.555,2.54,2.54,46
MPBS,MPBS,2021-10-21,2.545,2.545,2.475,2.545,29204
MPBS,MPBS,2021-10-22,2.45,2.555,2.45,2.45,2228
MPBS,MPBS,2021-10-25,2.48,2.48,2.45,2.48,2
MPBS,MPBS,2021-10-26,2.45,2.575,2.335,2.45,196
MPBS,MPBS,2021-10-27,2.45,2.45,2.45,2.45,2
MPBS,MPBS,2021-10-28,2.5,2.5,2.45,2.5,2
MPBS,MPBS,2021-10-29,2.575,2.575,2.4,2.575,16378
MPBS,MPBS,2021-11-01,2.675,2.675,2.575,2.675,2
MPBS,MPBS,2021-11-02,2.545,2.675,2.545,2.545,16370
MPBS,MPBS,2021-11-03,2.65,2.67,2.545,2.65,368
MPBS,MPBS,2021-11-04,2.605,2.65,2.6,2.605,21660
MPBS,MPBS,2021-11-05,2.6,2.605,2.55,2.6,372
MPBS,MPBS,2021-11-08,2.525,2.6,2.525,2.525,15338
MPBS,MPBS,2021-11-09,2.62,2.62,2.525,2.62,23010
MPBS,MPBS,2021-11-10,2.625,2.625,2.56,2.625,74
MPBS,MPBS,2021-11-11,2.6,2.625,2.6,2.6,314
MPBS,MPBS,2021-11-12,2.56,2.6,2.56,2.56,544
MPBS,MPBS,2021-11-15,2.56,2.56,2.56,2.56,120
MPBS,MPBS,2021-11-17,2.5,2.56,2.485,2.5,13114
MPBS,MPBS,2021-11-18,2.55,2.55,2.5,2.55,2
MPBS,MPBS,2021-11-19,2.55,2.55,2.5,2.55,420
MPBS,MPBS,2021-11-22,2.5,2.55,2.485,2.5,2262
MPBS,MPBS,2021-11-23,2.5,2.5,2.5,2.5,100
MPBS,MPBS,2021-11-24,2.5,2.55,2.465,2.5,2804
MPBS,MPBS,2021-11-25,2.55,2.55,2.5,2.55,4544
MPBS,MPBS,2021-11-26,2.5,2.55,2.5,2.5,1034
MPBS,MPBS,2021-11-29,2.52,2.55,2.5,2.52,5780
MPBS,MPBS,2021-11-30,2.52,2.52,2.485,2.52,2492
MPBS,MPBS,2021-12-01,2.515,2.535,2.465,2.515,1592
MPBS,MPBS,2021-12-02,2.5,2.515,2.5,2.5,8434
MPBS,MPBS,2021-12-03,2.465,2.5,2.465,2.465,7576
MPBS,MPBS,2021-12-06,2.425,2.5,2.425,2.425,3098
MPBS,MPBS,2021-12-07,2.495,2.495,2.425,2.495,1022
MPBS,MPBS,2021-12-08,2.495,2.495,2.4,2.495,4
MPBS,MPBS,2021-12-09,2.44,2.495,2.365,2.44,8914
MPBS,MPBS,2021-12-13,2.46,2.46,2.395,2.46,1002
MPBS,MPBS,2022-03-14,2.49,2.49,2.425,2.49,710
MPBS,MPBS,2022-03-15,2.495,2.495,2.4,2.495,2340
MPBS,MPBS,2022-03-16,2.475,2.495,2.395,2.475,2008
MPBS,MPBS,2022-03-18,2.47,2.475,2.47,2.47,772
MPBS,MPBS,2022-03-24,2.475,2.475,2.425,2.475,210
MPBS,MPBS,2022-04-04,2.475,2.475,2.45,2.475,10
MPBS,MPBS,2022-04-07,2.375,2.425,2.33,2.375,40
MPBS,MPBS,2022-04-08,2.33,2.375,2.33,2.33,1152
MPBS,MPBS,2022-04-13,2.33,2.33,2.33,2.33,10
MPBS,MPBS,2022-04-14,2.33,2.33,2.275,2.33,1432
MPBS,MPBS,2022-04-15,2.3,2.33,2.3,2.3,2298
MPBS,MPBS,2022-04-18,2.295,2.3,2.295,2.295,11000
MPBS,MPBS,2022-04-19,2.33,2.33,2.245,2.33,4
MPBS,MPBS,2022-04-21,2.3,2.33,2.3,2.3,1060
MPBS,MPBS,2022-04-22,2.295,2.3,2.25,2.295,742
MPBS,MPBS,2022-04-26,2.25,2.295,2.2,2.25,5322
MPBS,MPBS,2022-04-27,2.33,2.33,2.25,2.33,34130
MPBS,MPBS,2022-05-04,2.35,2.35,2.33,2.35,10
MPBS,MPBS,2022-05-05,2.35,2.35,2.35,2.35,100
MPBS,MPBS,2022-05-09,2.225,2.35,2.225,2.225,4694
MPBS,MPBS,2022-05-10,2.25,2.25,2.21,2.25,9970
MPBS,MPBS,2022-05-11,2.21,2.32,2.21,2.21,4352
MPBS,MPBS,2022-05-12,2.3,2.32,2.21,2.3,212
MPBS,MPBS,2022-05-13,2.285,2.3,2.19,2.285,1706
MPBS,MPBS,2022-05-16,2.275,2.295,2.19,2.275,1460
MPBS,MPBS,2022-05-17,2.29,2.29,2.205,2.29,1738
MPBS,MPBS,2022-05-18,2.295,2.295,2.25,2.295,166
MPBS,MPBS,2022-05-20,2.25,2.295,2.25,2.25,120
MPBS,MPBS,2022-05-23,2.25,2.295,2.25,2.25,720
MPBS,MPBS,2022-05-24,2.295,2.295,2.295,2.295,376
MPBS,MPBS,2022-05-26,2.25,2.3,2.25,2.25,12058
MPBS,MPBS,2022-05-31,2.25,2.29,2.25,2.25,8000
MPBS,MPBS,2022-06-06,2.21,2.29,2.21,2.21,28
MPBS,MPBS,2022-06-07,2.19,2.225,2.19,2.19,3346
MPBS,MPBS,2022-06-08,2.225,2.225,2.175,2.225,11688
MPBS,MPBS,2022-06-09,2.225,2.3,2.225,2.225,970
MPBS,MPBS,2022-06-10,2.225,2.225,2.225,2.225,600
MPBS,MPBS,2022-06-13,2.3,2.3,2.155,2.3,441440
MPBS,MPBS,2022-06-15,2.285,2.285,2.16,2.285,10
MPBS,MPBS,2022-06-17,2.25,2.285,2.25,2.25,2760
MPBS,MPBS,2022-06-20,2.205,2.25,2.205,2.205,400
MPBS,MPBS,2022-06-21,2.11,2.205,2.11,2.11,2932
MPBS,MPBS,2022-06-22,2.21,2.21,2.13,2.21,410
MPBS,MPBS,2022-06-23,2.155,2.21,2.155,2.155,1062
MPBS,MPBS,2022-06-24,2.16,2.16,2.155,2.16,80
MPBS,MPBS,2022-06-27,2.15,2.15,2.15,2.15,1022
MPBS,MPBS,2022-06-28,2.1,2.15,2.075,2.1,1574
MPBS,MPBS,2022-06-29,2.17,2.17,2.14,2.17,1800
MPBS,MPBS,2022-06-30,2.17,2.17,2.07,2.17,4
MPBS,MPBS,2022-07-01,2.195,2.195,2.09,2.195,3530
MPBS,MPBS,2022-07-05,2.325,2.325,2.195,2.325,500
MPBS,MPBS,2022-07-06,2.29,2.325,2.29,2.29,4000
MPBS,MPBS,2022-07-07,2.285,2.29,2.155,2.285,328
