ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
NEW BODY LINE,NBL,2021-06-17,4.62,4.62,4.58,4.62,588
NEW BODY LINE,NBL,2021-06-18,4.63,4.63,4.54,4.63,3622
NEW BODY LINE,NBL,2021-06-21,4.5,4.61,4.5,4.61,3762
NEW BODY LINE,NBL,2021-06-22,4.6,4.61,4.6,4.61,17
NEW BODY LINE,NBL,2021-06-23,4.6,4.6,4.6,4.6,1000
NEW BODY LINE,NBL,2021-06-24,4.59,4.6,4.56,4.6,133
NEW BODY LINE,NBL,2021-06-25,4.59,4.6,4.58,4.58,378
NEW BODY LINE,NBL,2021-06-28,4.58,4.58,4.57,4.58,850
NEW BODY LINE,NBL,2021-06-29,4.58,4.58,4.48,4.57,648
NEW BODY LINE,NBL,2021-06-30,4.58,4.67,4.58,4.65,9321
NEW BODY LINE,NBL,2021-07-02,4.67,4.67,4.67,4.67,200
NEW BODY LINE,NBL,2021-07-06,4.67,4.68,4.67,4.68,1521
NEW BODY LINE,NBL,2021-07-07,4.67,4.67,4.67,4.67,834
NEW BODY LINE,NBL,2021-07-08,4.67,4.68,4.67,4.68,1920
NEW BODY LINE,NBL,2021-07-09,4.68,4.68,4.55,4.68,604
NEW BODY LINE,NBL,2021-07-13,4.55,4.66,4.55,4.66,51
NEW BODY LINE,NBL,2021-07-14,4.67,4.68,4.67,4.68,1529
NEW BODY LINE,NBL,2021-07-16,4.55,4.68,4.55,4.68,1072
NEW BODY LINE,NBL,2021-07-19,4.68,4.82,4.68,4.82,6127
NEW BODY LINE,NBL,2021-07-22,4.95,4.95,4.82,4.85,1651
NEW BODY LINE,NBL,2021-07-23,4.85,4.9,4.85,4.85,5045
NEW BODY LINE,NBL,2021-07-26,4.82,4.82,4.71,4.8,13142
NEW BODY LINE,NBL,2021-07-27,4.79,4.8,4.79,4.8,1162
NEW BODY LINE,NBL,2021-07-28,4.8,4.8,4.7,4.79,1373
NEW BODY LINE,NBL,2021-07-29,4.75,4.75,4.75,4.75,500
NEW BODY LINE,NBL,2021-07-30,4.8,4.81,4.79,4.79,2515
NEW BODY LINE,NBL,2021-08-02,4.81,4.93,4.81,4.92,2190
NEW BODY LINE,NBL,2021-08-03,4.93,5.06,4.85,5.06,1886
NEW BODY LINE,NBL,2021-08-04,5.05,5.09,4.99,5.0,3667
NEW BODY LINE,NBL,2021-08-05,5.0,5.02,5.0,5.02,2645
NEW BODY LINE,NBL,2021-08-06,5.09,5.24,5.09,5.24,12884
NEW BODY LINE,NBL,2021-08-09,5.25,5.25,5.25,5.25,6
NEW BODY LINE,NBL,2021-08-16,5.15,5.25,5.1,5.25,5025
NEW BODY LINE,NBL,2021-08-17,5.1,5.23,5.1,5.22,4379
NEW BODY LINE,NBL,2021-08-18,5.22,5.25,5.22,5.24,3163
NEW BODY LINE,NBL,2021-08-19,5.23,5.39,5.23,5.39,20033
NEW BODY LINE,NBL,2021-08-20,5.46,5.62,5.45,5.62,20676
NEW BODY LINE,NBL,2021-08-23,5.4,5.56,5.39,5.56,15292
NEW BODY LINE,NBL,2021-08-24,5.42,5.82,5.42,5.82,29323
NEW BODY LINE,NBL,2021-08-25,5.81,5.96,5.8,5.8,10585
NEW BODY LINE,NBL,2021-08-26,5.9,5.9,5.79,5.88,2171
NEW BODY LINE,NBL,2021-08-27,5.71,5.85,5.71,5.79,230
NEW BODY LINE,NBL,2021-08-30,5.8,5.8,5.79,5.8,200
NEW BODY LINE,NBL,2021-08-31,5.7,5.8,5.7,5.7,43
NEW BODY LINE,NBL,2021-09-01,5.6,5.6,5.44,5.44,1607
NEW BODY LINE,NBL,2021-09-02,5.5,5.5,5.39,5.4,260
NEW BODY LINE,NBL,2021-09-03,5.44,5.44,5.1,5.38,775
NEW BODY LINE,NBL,2021-09-07,5.38,5.38,5.38,5.38,10
NEW BODY LINE,NBL,2021-09-08,5.25,5.25,5.25,5.25,19
NEW BODY LINE,NBL,2021-09-09,5.35,5.35,5.35,5.35,10
NEW BODY LINE,NBL,2021-09-10,5.25,5.25,5.25,5.25,305
NEW BODY LINE,NBL,2021-09-13,5.24,5.24,5.23,5.24,2066
NEW BODY LINE,NBL,2021-09-14,5.34,5.34,5.05,5.2,478
NEW BODY LINE,NBL,2021-09-15,5.2,5.2,5.07,5.1,2357
NEW BODY LINE,NBL,2021-09-16,5.19,5.19,5.09,5.09,860
NEW BODY LINE,NBL,2021-09-17,5.19,5.38,5.1,5.37,2494
NEW BODY LINE,NBL,2021-09-20,5.16,5.2,5.16,5.2,2789
NEW BODY LINE,NBL,2021-09-21,5.39,5.39,5.39,5.39,1
NEW BODY LINE,NBL,2021-09-24,5.36,5.39,5.36,5.39,1548
NEW BODY LINE,NBL,2021-09-27,5.47,5.5,5.47,5.5,541
NEW BODY LINE,NBL,2021-09-28,5.39,5.45,5.15,5.39,4626
NEW BODY LINE,NBL,2021-09-29,5.4,5.4,5.3,5.3,4
NEW BODY LINE,NBL,2021-09-30,5.3,5.4,5.3,5.3,985
NEW BODY LINE,NBL,2021-10-01,5.31,5.4,5.23,5.31,731
NEW BODY LINE,NBL,2021-10-04,5.44,5.49,5.31,5.44,2581
NEW BODY LINE,NBL,2021-10-05,5.4,5.45,5.15,5.4,18375
NEW BODY LINE,NBL,2021-10-06,5.22,5.4,5.22,5.22,125
NEW BODY LINE,NBL,2021-10-07,5.3,5.45,5.22,5.3,3794
NEW BODY LINE,NBL,2021-10-08,5.4,5.45,5.3,5.4,356
NEW BODY LINE,NBL,2021-10-11,5.4,5.45,5.4,5.4,759
NEW BODY LINE,NBL,2021-10-12,5.4,5.45,5.26,5.4,7058
NEW BODY LINE,NBL,2021-10-13,5.42,5.5,5.4,5.42,7373
NEW BODY LINE,NBL,2021-10-14,5.49,5.6,5.42,5.49,1000
NEW BODY LINE,NBL,2021-10-19,5.49,5.59,5.39,5.49,576
NEW BODY LINE,NBL,2021-10-20,5.17,5.59,5.17,5.17,3191
NEW BODY LINE,NBL,2021-10-21,5.44,5.45,5.08,5.44,3064
NEW BODY LINE,NBL,2021-10-22,5.4,5.59,5.4,5.4,2
NEW BODY LINE,NBL,2021-10-25,5.4,5.4,5.3,5.4,1273
NEW BODY LINE,NBL,2021-10-26,5.4,5.4,5.3,5.4,3207
NEW BODY LINE,NBL,2021-10-27,5.39,5.4,5.21,5.39,566
NEW BODY LINE,NBL,2021-10-28,5.39,5.4,5.3,5.39,1582
NEW BODY LINE,NBL,2021-10-29,5.4,5.4,5.3,5.4,228
