ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
POULINA GROUP HOLDING,PGH,2021-06-17,12.4,12.4,12.4,12.4,56
POULINA GROUP HOLDING,PGH,2021-06-18,12.4,12.4,12.4,12.4,20
POULINA GROUP HOLDING,PGH,2021-06-21,12.4,12.4,12.4,12.4,41
POULINA GROUP HOLDING,PGH,2021-06-22,12.12,12.4,12.12,12.4,502
POULINA GROUP HOLDING,PGH,2021-06-23,12.39,12.39,12.39,12.39,1000
POULINA GROUP HOLDING,PGH,2021-06-24,12.12,12.39,12.12,12.39,265
POULINA GROUP HOLDING,PGH,2021-06-25,12.3,12.39,12.3,12.39,530
POULINA GROUP HOLDING,PGH,2021-06-28,12.39,12.39,12.39,12.39,1285
POULINA GROUP HOLDING,PGH,2021-06-29,12.39,12.5,12.3,12.38,17368
POULINA GROUP HOLDING,PGH,2021-06-30,12.38,12.38,12.3,12.3,1205
POULINA GROUP HOLDING,PGH,2021-07-01,12.11,12.25,12.11,12.25,295
POULINA GROUP HOLDING,PGH,2021-07-06,12.25,12.25,12.25,12.25,2
POULINA GROUP HOLDING,PGH,2021-07-07,12.11,12.25,12.11,12.25,965
POULINA GROUP HOLDING,PGH,2021-07-08,12.24,12.24,12.24,12.24,50
POULINA GROUP HOLDING,PGH,2021-07-09,12.19,12.24,12.19,12.24,669
POULINA GROUP HOLDING,PGH,2021-07-14,12.0,12.19,11.9,12.19,3659
POULINA GROUP HOLDING,PGH,2021-07-15,11.65,12.19,11.65,12.19,302
POULINA GROUP HOLDING,PGH,2021-07-16,12.19,12.19,12.19,12.19,100
POULINA GROUP HOLDING,PGH,2021-07-19,12.19,12.19,12.19,12.19,325
POULINA GROUP HOLDING,PGH,2021-07-22,11.85,12.5,11.85,12.5,1089
POULINA GROUP HOLDING,PGH,2021-07-23,12.5,12.5,12.5,12.5,110
POULINA GROUP HOLDING,PGH,2021-07-27,12.4,12.4,12.4,12.4,139
POULINA GROUP HOLDING,PGH,2021-07-30,12.39,12.4,12.39,12.4,100
POULINA GROUP HOLDING,PGH,2021-08-05,12.38,12.38,12.38,12.38,3
POULINA GROUP HOLDING,PGH,2021-08-09,12.2,12.2,12.05,12.2,906
POULINA GROUP HOLDING,PGH,2021-08-11,12.03,12.2,12.01,12.2,35835
POULINA GROUP HOLDING,PGH,2021-08-12,12.01,12.01,12.0,12.0,1278
POULINA GROUP HOLDING,PGH,2021-08-17,12.0,12.0,11.9,12.0,194
POULINA GROUP HOLDING,PGH,2021-08-18,11.95,11.95,11.9,11.9,440
POULINA GROUP HOLDING,PGH,2021-08-19,11.9,11.9,11.9,11.9,450
POULINA GROUP HOLDING,PGH,2021-08-20,12.0,12.2,11.7,12.2,4066
POULINA GROUP HOLDING,PGH,2021-08-23,12.1,12.4,12.0,12.2,2280
POULINA GROUP HOLDING,PGH,2021-08-24,12.39,12.39,11.85,12.39,103
POULINA GROUP HOLDING,PGH,2021-08-25,12.2,12.49,12.2,12.49,1500
POULINA GROUP HOLDING,PGH,2021-08-26,12.49,12.49,12.4,12.49,5295
POULINA GROUP HOLDING,PGH,2021-08-27,12.4,12.4,12.12,12.4,1086
POULINA GROUP HOLDING,PGH,2021-08-30,12.64,12.64,12.4,12.64,10
POULINA GROUP HOLDING,PGH,2021-09-02,12.89,12.89,12.64,12.64,110
POULINA GROUP HOLDING,PGH,2021-09-03,12.85,12.85,12.78,12.79,33730
POULINA GROUP HOLDING,PGH,2021-09-06,12.75,12.75,12.72,12.72,9419
POULINA GROUP HOLDING,PGH,2021-09-14,12.5,12.5,12.25,12.25,68184
POULINA GROUP HOLDING,PGH,2021-09-15,12.2,12.2,11.85,12.18,2015
POULINA GROUP HOLDING,PGH,2021-09-16,12.39,12.39,12.39,12.39,10
POULINA GROUP HOLDING,PGH,2021-09-17,12.25,12.27,12.25,12.27,155
POULINA GROUP HOLDING,PGH,2021-09-20,12.24,12.24,12.24,12.24,30
POULINA GROUP HOLDING,PGH,2021-09-22,12.24,12.24,11.8,12.24,1287
POULINA GROUP HOLDING,PGH,2021-09-23,12.24,12.24,12.24,12.24,200
POULINA GROUP HOLDING,PGH,2021-09-28,12.2,12.24,12.2,12.2,10000
POULINA GROUP HOLDING,PGH,2021-09-29,12.23,12.23,12.18,12.19,1147
POULINA GROUP HOLDING,PGH,2021-09-30,12.19,12.19,12.16,12.16,2012
POULINA GROUP HOLDING,PGH,2021-10-01,12.24,12.24,12.16,12.24,101
POULINA GROUP HOLDING,PGH,2021-10-04,12.2,12.24,12.2,12.2,4
POULINA GROUP HOLDING,PGH,2021-10-05,12.14,12.2,12.0,12.14,5150
POULINA GROUP HOLDING,PGH,2021-10-06,12.11,12.14,12.09,12.11,5759
POULINA GROUP HOLDING,PGH,2021-10-07,12.05,12.11,12.05,12.05,3244
POULINA GROUP HOLDING,PGH,2021-10-08,11.98,12.05,11.98,11.98,2804
POULINA GROUP HOLDING,PGH,2021-10-11,12.23,12.23,11.98,12.23,1900
POULINA GROUP HOLDING,PGH,2021-10-12,11.89,12.23,11.89,11.89,3737
POULINA GROUP HOLDING,PGH,2021-10-13,11.8,11.89,11.7,11.8,18084
POULINA GROUP HOLDING,PGH,2021-10-14,11.88,11.88,11.8,11.88,21
POULINA GROUP HOLDING,PGH,2021-10-19,11.9,11.9,11.88,11.9,1020
POULINA GROUP HOLDING,PGH,2021-10-22,11.9,11.9,11.67,11.9,1255
POULINA GROUP HOLDING,PGH,2021-10-25,11.9,11.9,11.9,11.9,1211
POULINA GROUP HOLDING,PGH,2021-10-26,11.9,11.9,11.9,11.9,51
POULINA GROUP HOLDING,PGH,2021-10-29,11.9,12.0,11.89,11.9,3012
POULINA GROUP HOLDING,PGH,2021-11-01,12.2,12.2,11.9,12.2,311
POULINA GROUP HOLDING,PGH,2021-11-03,12.2,12.2,12.2,12.2,7
POULINA GROUP HOLDING,PGH,2021-11-04,12.2,12.2,12.2,12.2,3
POULINA GROUP HOLDING,PGH,2021-11-09,12.0,12.2,12.0,12.0,20
POULINA GROUP HOLDING,PGH,2021-11-10,12.0,12.0,11.8,12.0,2405
POULINA GROUP HOLDING,PGH,2021-11-11,11.98,12.2,11.98,11.98,5873
POULINA GROUP HOLDING,PGH,2021-11-12,12.2,12.2,11.98,12.2,50
POULINA GROUP HOLDING,PGH,2021-11-17,11.98,12.2,11.98,11.98,600
POULINA GROUP HOLDING,PGH,2021-11-22,11.97,11.98,11.97,11.97,10
POULINA GROUP HOLDING,PGH,2021-11-26,11.99,11.99,11.97,11.99,200
POULINA GROUP HOLDING,PGH,2021-11-30,14.36,14.36,10.42,14.36,5762668
POULINA GROUP HOLDING,PGH,2021-12-01,11.9,11.99,11.9,11.9,1000
POULINA GROUP HOLDING,PGH,2021-12-03,11.7,11.9,11.5,11.7,1296
POULINA GROUP HOLDING,PGH,2021-12-06,11.7,11.7,11.47,11.7,78
POULINA GROUP HOLDING,PGH,2021-12-07,11.66,11.7,11.08,11.66,1205
POULINA GROUP HOLDING,PGH,2021-12-08,11.6,11.66,11.6,11.6,203
POULINA GROUP HOLDING,PGH,2021-12-09,11.6,11.6,11.59,11.6,850
POULINA GROUP HOLDING,PGH,2021-12-10,11.37,11.6,11.37,11.37,560
POULINA GROUP HOLDING,PGH,2021-12-13,11.67,11.7,11.1,11.67,1737
POULINA GROUP HOLDING,PGH,2022-03-14,10.15,10.15,10.0,10.15,3454
POULINA GROUP HOLDING,PGH,2022-03-15,10.0,10.15,10.0,10.0,1727
POULINA GROUP HOLDING,PGH,2022-03-16,10.1,10.1,9.9,10.1,7952
POULINA GROUP HOLDING,PGH,2022-03-17,10.1,10.15,10.0,10.1,4720
POULINA GROUP HOLDING,PGH,2022-03-18,10.1,10.37,10.0,10.1,3991
POULINA GROUP HOLDING,PGH,2022-03-21,10.01,10.36,9.9,10.01,2657
POULINA GROUP HOLDING,PGH,2022-03-22,10.01,10.01,10.01,10.01,1815
POULINA GROUP HOLDING,PGH,2022-03-23,10.01,10.01,10.01,10.01,1300
POULINA GROUP HOLDING,PGH,2022-03-24,10.01,10.01,10.0,10.01,2860
POULINA GROUP HOLDING,PGH,2022-03-25,9.9,10.1,9.9,9.9,1722
POULINA GROUP HOLDING,PGH,2022-03-28,9.5,10.3,9.5,9.5,6752
POULINA GROUP HOLDING,PGH,2022-03-29,10.08,10.1,9.53,10.08,259
POULINA GROUP HOLDING,PGH,2022-03-31,10.08,10.08,10.08,10.08,13
POULINA GROUP HOLDING,PGH,2022-04-04,10.0,10.08,9.53,10.0,1053
POULINA GROUP HOLDING,PGH,2022-04-05,10.07,10.07,10.0,10.07,89
POULINA GROUP HOLDING,PGH,2022-04-08,10.0,10.07,10.0,10.0,911
POULINA GROUP HOLDING,PGH,2022-04-11,10.0,10.0,9.8,10.0,223
POULINA GROUP HOLDING,PGH,2022-04-12,9.99,10.0,9.7,9.99,1687
POULINA GROUP HOLDING,PGH,2022-04-13,9.98,9.99,9.8,9.98,133
POULINA GROUP HOLDING,PGH,2022-04-14,9.98,10.0,9.98,9.98,1243
POULINA GROUP HOLDING,PGH,2022-04-18,10.0,10.0,9.98,10.0,1600
POULINA GROUP HOLDING,PGH,2022-04-19,9.8,10.0,9.7,9.8,4376
POULINA GROUP HOLDING,PGH,2022-04-20,9.8,9.99,9.8,9.8,4279
POULINA GROUP HOLDING,PGH,2022-04-21,10.0,10.0,9.8,10.0,10079
POULINA GROUP HOLDING,PGH,2022-04-22,10.0,10.07,10.0,10.0,1142
POULINA GROUP HOLDING,PGH,2022-04-25,10.0,10.0,9.95,10.0,1080
POULINA GROUP HOLDING,PGH,2022-04-26,10.07,10.07,10.0,10.07,50
POULINA GROUP HOLDING,PGH,2022-04-27,10.0,10.07,10.0,10.0,800
POULINA GROUP HOLDING,PGH,2022-04-28,9.71,10.06,9.71,9.71,2
POULINA GROUP HOLDING,PGH,2022-04-29,10.0,10.06,9.71,10.0,4601
POULINA GROUP HOLDING,PGH,2022-05-04,10.6,10.6,10.0,10.6,1364
POULINA GROUP HOLDING,PGH,2022-05-05,10.7,10.7,10.6,10.7,1
POULINA GROUP HOLDING,PGH,2022-05-06,10.58,10.7,10.5,10.58,198
POULINA GROUP HOLDING,PGH,2022-05-09,10.58,10.58,10.45,10.58,503
POULINA GROUP HOLDING,PGH,2022-05-10,10.58,10.58,10.0,10.58,36492
POULINA GROUP HOLDING,PGH,2022-05-11,10.58,10.58,10.58,10.58,50
POULINA GROUP HOLDING,PGH,2022-05-16,10.54,10.58,10.0,10.54,216
POULINA GROUP HOLDING,PGH,2022-05-17,10.56,10.56,10.53,10.56,350
POULINA GROUP HOLDING,PGH,2022-05-19,10.5,10.69,10.49,10.5,210
POULINA GROUP HOLDING,PGH,2022-05-20,10.1,10.68,10.1,10.1,9
POULINA GROUP HOLDING,PGH,2022-05-23,10.4,10.5,10.4,10.4,100
POULINA GROUP HOLDING,PGH,2022-05-24,10.1,10.5,10.1,10.1,20
