ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
OFFICE PLAST,PLAST,2021-06-21,1.89,1.89,1.89,1.89,62
OFFICE PLAST,PLAST,2021-06-22,1.89,1.89,1.89,1.89,163
OFFICE PLAST,PLAST,2021-06-24,1.85,1.85,1.85,1.85,2299
OFFICE PLAST,PLAST,2021-06-25,1.89,1.89,1.89,1.89,50
OFFICE PLAST,PLAST,2021-06-28,1.89,1.89,1.89,1.89,200
OFFICE PLAST,PLAST,2021-06-29,1.88,1.88,1.88,1.88,170
OFFICE PLAST,PLAST,2021-06-30,1.88,1.88,1.78,1.78,660
OFFICE PLAST,PLAST,2021-07-01,1.78,1.78,1.78,1.78,395
OFFICE PLAST,PLAST,2021-07-02,1.83,1.83,1.83,1.83,293
OFFICE PLAST,PLAST,2021-07-05,1.88,1.88,1.88,1.88,24
OFFICE PLAST,PLAST,2021-07-06,1.88,1.88,1.88,1.88,73
OFFICE PLAST,PLAST,2021-07-08,1.8,1.8,1.8,1.8,1399
OFFICE PLAST,PLAST,2021-07-09,1.8,1.8,1.8,1.8,2000
OFFICE PLAST,PLAST,2021-07-12,1.8,1.8,1.8,1.8,192
OFFICE PLAST,PLAST,2021-07-14,1.8,1.8,1.8,1.8,103
OFFICE PLAST,PLAST,2021-07-16,1.8,1.8,1.8,1.8,2000
OFFICE PLAST,PLAST,2021-07-19,1.73,1.73,1.73,1.73,91
OFFICE PLAST,PLAST,2021-07-23,1.77,1.77,1.77,1.77,100
OFFICE PLAST,PLAST,2021-07-26,1.77,1.77,1.77,1.77,1000
OFFICE PLAST,PLAST,2021-07-27,1.77,1.77,1.77,1.77,440
OFFICE PLAST,PLAST,2021-07-29,1.76,1.76,1.76,1.76,150
OFFICE PLAST,PLAST,2021-07-30,1.76,1.76,1.76,1.76,150
OFFICE PLAST,PLAST,2021-08-03,1.76,1.76,1.76,1.76,19
OFFICE PLAST,PLAST,2021-08-16,1.62,1.62,1.62,1.62,1525
OFFICE PLAST,PLAST,2021-08-17,1.62,1.62,1.62,1.62,1
OFFICE PLAST,PLAST,2021-08-19,1.66,1.66,1.66,1.66,228
OFFICE PLAST,PLAST,2021-08-20,1.62,1.62,1.62,1.62,3280
OFFICE PLAST,PLAST,2021-08-23,1.58,1.58,1.58,1.58,134
