ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
PLTU,PLTU,2021-06-22,42.23,42.23,42.23,42.23,12
PLTU,PLTU,2021-06-23,42.24,42.24,42.24,42.24,2443
PLTU,PLTU,2021-06-25,42.24,42.24,42.24,42.24,75
PLTU,PLTU,2021-11-01,42.24,42.24,42.24,42.24,2000
PLTU,PLTU,2021-11-05,42.24,42.24,42.24,42.24,1418
PLTU,PLTU,2022-04-05,44.16,44.16,44.14,44.16,25
PLTU,PLTU,2022-04-20,46.01,46.01,44.16,46.01,25
PLTU,PLTU,2022-04-27,46.01,46.01,46.01,46.01,26
PLTU,PLTU,2022-05-25,46.01,46.01,46.01,46.01,38
PLTU,PLTU,2022-06-09,42.11,42.11,42.11,42.11,9000
PLTU,PLTU,2022-07-27,42.11,42.11,42.11,42.11,437
PLTU,PLTU,2022-11-16,42.11,42.11,42.11,42.11,750
PLTU,PLTU,2023-03-13,42.1,42.11,42.1,42.1,100
PLTU,PLTU,2023-03-28,42.1,42.1,42.1,42.1,334
PLTU,PLTU,2023-04-10,42.1,42.1,42.1,42.1,437
PLTU,PLTU,2023-05-29,42.1,42.1,42.1,42.1,437
PLTU,PLTU,2023-07-03,42.1,42.1,42.1,42.1,11
PLTU,PLTU,2023-07-18,39.6,39.6,39.6,39.6,600
PLTU,PLTU,2023-08-07,39.6,41.0,39.6,41.0,118
PLTU,PLTU,2023-08-22,41.0,42.5,41.0,42.5,157
PLTU,PLTU,2023-10-02,46.4,47.0,46.4,47.0,250
PLTU,PLTU,2023-11-23,47.0,48.96,47.0,48.96,2
PLTU,PLTU,2023-11-29,48.96,48.96,48.96,48.96,2
PLTU,PLTU,2025-03-19,46.01,46.01,45.0,45.0,12
PLTU,PLTU,2025-08-15,42.0,42.0,42.0,42.0,1
PLTU,PLTU,2025-09-17,42.0,42.0,41.8,41.8,1
PLTU,PLTU,2025-09-22,41.8,41.8,41.8,41.8,12
PLTU,PLTU,2025-09-24,41.8,41.8,41.8,41.8,5
PLTU,PLTU,2025-09-25,41.8,41.8,41.8,41.8,88
PLTU,PLTU,2025-11-14,41.8,41.8,41.8,41.8,16
PLTU,PLTU,2025-11-21,41.8,41.8,41.8,41.8,20010
PLTU,PLTU,2025-11-27,41.8,41.8,41.8,41.8,20000
PLTU,PLTU,2025-12-01,41.8,41.8,41.8,41.8,122
PLTU,PLTU,2025-12-26,41.8,41.8,41.8,41.8,6350
PLTU,PLTU,2026-02-16,41.8,41.8,41.8,41.8,17
PLTU,PLTU,2026-02-17,41.8,41.8,41.8,41.8,23
PLTU,PLTU,2026-02-24,41.8,41.8,41.7,41.7,101
PLTU,PLTU,2026-02-26,41.7,41.8,41.7,41.8,120
PLTU,PLTU,2026-02-27,41.8,41.8,41.8,41.8,10
PLTU,PLTU,2026-03-12,41.8,41.81,41.8,41.81,30
PLTU,PLTU,2026-06-10,38.61,38.61,38.61,38.61,1
