ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
MEUBLES INTERIEURS,SAM,2021-06-17,2.7,2.75,2.64,2.75,7472
MEUBLES INTERIEURS,SAM,2021-06-18,2.67,2.76,2.67,2.75,1220
MEUBLES INTERIEURS,SAM,2021-06-21,2.75,2.76,2.72,2.75,4263
MEUBLES INTERIEURS,SAM,2021-06-22,2.75,2.76,2.71,2.76,1991
MEUBLES INTERIEURS,SAM,2021-06-23,2.7,2.76,2.69,2.75,1307
MEUBLES INTERIEURS,SAM,2021-06-24,2.75,2.75,2.7,2.74,1962
MEUBLES INTERIEURS,SAM,2021-06-25,2.7,2.77,2.7,2.77,1621
MEUBLES INTERIEURS,SAM,2021-06-28,2.77,2.77,2.76,2.77,205
MEUBLES INTERIEURS,SAM,2021-06-29,2.76,2.8,2.75,2.8,10330
MEUBLES INTERIEURS,SAM,2021-06-30,2.8,2.85,2.8,2.85,6947
MEUBLES INTERIEURS,SAM,2021-07-01,2.91,2.99,2.91,2.99,8842
MEUBLES INTERIEURS,SAM,2021-07-02,3.07,3.07,2.98,2.98,3536
MEUBLES INTERIEURS,SAM,2021-07-05,3.04,3.04,2.96,3.0,1115
MEUBLES INTERIEURS,SAM,2021-07-06,2.92,2.95,2.91,2.91,1253
MEUBLES INTERIEURS,SAM,2021-07-07,2.91,2.91,2.89,2.91,7506
MEUBLES INTERIEURS,SAM,2021-07-08,2.91,2.91,2.89,2.9,1956
MEUBLES INTERIEURS,SAM,2021-07-09,2.9,2.91,2.87,2.9,7847
MEUBLES INTERIEURS,SAM,2021-07-12,2.91,2.96,2.9,2.94,5019
MEUBLES INTERIEURS,SAM,2021-07-13,2.95,2.95,2.88,2.95,5777
MEUBLES INTERIEURS,SAM,2021-07-14,2.94,2.95,2.9,2.94,3717
MEUBLES INTERIEURS,SAM,2021-07-15,2.95,2.98,2.95,2.98,2440
MEUBLES INTERIEURS,SAM,2021-07-16,2.98,3.1,2.98,3.08,17406
MEUBLES INTERIEURS,SAM,2021-07-19,3.11,3.2,3.11,3.2,8309
MEUBLES INTERIEURS,SAM,2021-07-22,3.2,3.39,3.19,3.38,31482
MEUBLES INTERIEURS,SAM,2021-07-23,3.39,3.39,3.32,3.37,10247
MEUBLES INTERIEURS,SAM,2021-07-26,3.3,3.38,3.21,3.29,7450
MEUBLES INTERIEURS,SAM,2021-07-27,3.28,3.29,3.28,3.28,2490
MEUBLES INTERIEURS,SAM,2021-07-28,3.27,3.27,3.24,3.25,1493
MEUBLES INTERIEURS,SAM,2021-07-29,3.25,3.26,3.25,3.25,2661
MEUBLES INTERIEURS,SAM,2021-07-30,3.09,3.1,3.0,3.0,935
MEUBLES INTERIEURS,SAM,2021-08-02,2.99,2.99,2.97,2.97,230
MEUBLES INTERIEURS,SAM,2021-08-03,2.91,2.96,2.91,2.91,796
MEUBLES INTERIEURS,SAM,2021-08-04,2.85,2.93,2.85,2.91,1437
MEUBLES INTERIEURS,SAM,2021-08-05,2.91,2.91,2.83,2.87,1941
MEUBLES INTERIEURS,SAM,2021-08-06,2.87,2.95,2.83,2.94,1585
MEUBLES INTERIEURS,SAM,2021-08-09,2.96,2.99,2.96,2.99,2443
MEUBLES INTERIEURS,SAM,2021-08-11,2.99,2.99,2.99,2.99,795
MEUBLES INTERIEURS,SAM,2021-08-12,2.99,2.99,2.99,2.99,149
MEUBLES INTERIEURS,SAM,2021-08-16,2.99,2.99,2.94,2.99,174
MEUBLES INTERIEURS,SAM,2021-08-17,2.98,2.99,2.98,2.99,838
