ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
CIMENTS DE BIZERTE,SCB,2021-06-17,1.44,1.44,1.44,1.44,50
CIMENTS DE BIZERTE,SCB,2021-06-21,1.52,1.56,1.52,1.56,2492
CIMENTS DE BIZERTE,SCB,2021-06-22,1.63,1.63,1.63,1.63,195
CIMENTS DE BIZERTE,SCB,2021-06-23,1.67,1.68,1.67,1.68,246
CIMENTS DE BIZERTE,SCB,2021-06-25,1.68,1.68,1.68,1.68,190
CIMENTS DE BIZERTE,SCB,2021-06-28,1.68,1.7,1.68,1.7,1100
CIMENTS DE BIZERTE,SCB,2021-06-29,1.7,1.71,1.7,1.71,729
CIMENTS DE BIZERTE,SCB,2021-06-30,1.71,1.71,1.71,1.71,2087
CIMENTS DE BIZERTE,SCB,2021-07-05,1.71,1.71,1.71,1.71,364
CIMENTS DE BIZERTE,SCB,2021-07-09,1.66,1.66,1.66,1.66,300
CIMENTS DE BIZERTE,SCB,2021-07-14,1.7,1.7,1.7,1.7,239
CIMENTS DE BIZERTE,SCB,2021-07-16,1.7,1.7,1.7,1.7,959
CIMENTS DE BIZERTE,SCB,2021-07-19,1.7,1.74,1.7,1.74,1541
CIMENTS DE BIZERTE,SCB,2021-07-22,1.7,1.7,1.7,1.7,215
CIMENTS DE BIZERTE,SCB,2021-07-27,1.7,1.7,1.7,1.7,1040
CIMENTS DE BIZERTE,SCB,2021-08-02,1.65,1.65,1.65,1.65,2
CIMENTS DE BIZERTE,SCB,2021-08-06,1.65,1.65,1.65,1.65,450
CIMENTS DE BIZERTE,SCB,2021-08-16,1.66,1.66,1.66,1.66,20
CIMENTS DE BIZERTE,SCB,2021-08-19,1.66,1.66,1.66,1.66,2680
CIMENTS DE BIZERTE,SCB,2021-08-20,1.66,1.66,1.66,1.66,3700
CIMENTS DE BIZERTE,SCB,2021-08-23,1.66,1.66,1.66,1.66,154
CIMENTS DE BIZERTE,SCB,2021-08-25,1.68,1.68,1.68,1.68,100
CIMENTS DE BIZERTE,SCB,2021-08-26,1.7,1.7,1.7,1.7,144
CIMENTS DE BIZERTE,SCB,2021-09-08,1.75,1.75,1.75,1.75,36
CIMENTS DE BIZERTE,SCB,2021-09-30,1.75,1.75,1.75,1.75,10
CIMENTS DE BIZERTE,SCB,2021-10-14,1.7,1.75,1.7,1.7,48
CIMENTS DE BIZERTE,SCB,2021-11-02,1.7,1.7,1.7,1.7,40
CIMENTS DE BIZERTE,SCB,2021-11-03,1.7,1.7,1.7,1.7,200
CIMENTS DE BIZERTE,SCB,2021-11-04,1.7,1.7,1.7,1.7,200
CIMENTS DE BIZERTE,SCB,2021-11-08,1.7,1.7,1.7,1.7,300
CIMENTS DE BIZERTE,SCB,2021-11-11,1.74,1.74,1.7,1.74,5500
CIMENTS DE BIZERTE,SCB,2021-11-12,1.74,1.74,1.74,1.74,500
CIMENTS DE BIZERTE,SCB,2021-11-15,1.74,1.74,1.74,1.74,150
CIMENTS DE BIZERTE,SCB,2021-11-16,1.75,1.75,1.74,1.75,500
CIMENTS DE BIZERTE,SCB,2021-11-17,1.73,1.75,1.73,1.73,8914
CIMENTS DE BIZERTE,SCB,2021-11-19,1.73,1.73,1.72,1.73,1500
CIMENTS DE BIZERTE,SCB,2021-11-22,1.73,1.73,1.73,1.73,1000
CIMENTS DE BIZERTE,SCB,2021-11-23,1.72,1.73,1.72,1.72,500
CIMENTS DE BIZERTE,SCB,2021-11-24,1.7,1.72,1.7,1.7,1965
CIMENTS DE BIZERTE,SCB,2021-11-29,1.75,1.75,1.7,1.75,1183
CIMENTS DE BIZERTE,SCB,2021-11-30,1.82,1.82,1.75,1.82,828
CIMENTS DE BIZERTE,SCB,2021-12-01,1.9,1.9,1.82,1.9,2150
CIMENTS DE BIZERTE,SCB,2021-12-02,1.98,1.98,1.9,1.98,6440
CIMENTS DE BIZERTE,SCB,2021-12-03,2.06,2.06,1.98,2.06,5840
CIMENTS DE BIZERTE,SCB,2021-12-06,2.09,2.09,2.06,2.09,3600
CIMENTS DE BIZERTE,SCB,2021-12-07,2.13,2.13,2.09,2.13,3480
CIMENTS DE BIZERTE,SCB,2021-12-08,2.09,2.09,2.0,2.09,600
CIMENTS DE BIZERTE,SCB,2021-12-13,2.08,2.09,2.08,2.08,54
CIMENTS DE BIZERTE,SCB,2022-03-15,1.84,1.85,1.84,1.84,12200
CIMENTS DE BIZERTE,SCB,2022-03-16,1.84,1.84,1.76,1.84,2950
CIMENTS DE BIZERTE,SCB,2022-03-17,1.85,1.85,1.84,1.85,200
CIMENTS DE BIZERTE,SCB,2022-04-05,1.63,1.69,1.63,1.63,1267
CIMENTS DE BIZERTE,SCB,2022-04-06,1.56,1.63,1.56,1.56,633
CIMENTS DE BIZERTE,SCB,2022-04-07,1.56,1.56,1.56,1.56,928
CIMENTS DE BIZERTE,SCB,2022-04-12,1.7,1.7,1.7,1.7,119
CIMENTS DE BIZERTE,SCB,2022-04-15,1.63,1.63,1.56,1.63,580
CIMENTS DE BIZERTE,SCB,2022-04-18,1.7,1.7,1.63,1.7,7560
CIMENTS DE BIZERTE,SCB,2022-04-22,1.56,1.7,1.56,1.56,109
CIMENTS DE BIZERTE,SCB,2022-04-25,1.53,1.56,1.53,1.53,107
CIMENTS DE BIZERTE,SCB,2022-04-26,1.56,1.56,1.5,1.56,2186
CIMENTS DE BIZERTE,SCB,2022-04-27,1.63,1.63,1.56,1.63,1042
CIMENTS DE BIZERTE,SCB,2022-04-28,1.7,1.7,1.63,1.7,588
CIMENTS DE BIZERTE,SCB,2022-04-29,1.76,1.76,1.7,1.76,129
CIMENTS DE BIZERTE,SCB,2022-05-05,1.8,1.8,1.8,1.8,3042
CIMENTS DE BIZERTE,SCB,2022-05-09,1.72,1.72,1.72,1.72,73
CIMENTS DE BIZERTE,SCB,2022-05-10,1.72,1.72,1.65,1.72,1
CIMENTS DE BIZERTE,SCB,2022-05-11,1.58,1.58,1.58,1.58,30
CIMENTS DE BIZERTE,SCB,2022-05-12,1.51,1.51,1.51,1.51,1890
CIMENTS DE BIZERTE,SCB,2022-05-16,1.66,1.66,1.64,1.66,1
CIMENTS DE BIZERTE,SCB,2022-05-19,1.5,1.5,1.44,1.5,1000
CIMENTS DE BIZERTE,SCB,2022-05-26,1.5,1.5,1.5,1.5,438
CIMENTS DE BIZERTE,SCB,2022-05-30,1.56,1.56,1.5,1.56,2
CIMENTS DE BIZERTE,SCB,2022-06-03,1.56,1.56,1.54,1.56,48
CIMENTS DE BIZERTE,SCB,2022-06-06,1.56,1.56,1.56,1.56,27
CIMENTS DE BIZERTE,SCB,2022-06-07,1.53,1.53,1.49,1.53,2
CIMENTS DE BIZERTE,SCB,2022-06-08,1.58,1.58,1.53,1.58,14
CIMENTS DE BIZERTE,SCB,2022-06-09,1.44,1.47,1.44,1.44,310
CIMENTS DE BIZERTE,SCB,2022-06-10,1.43,1.43,1.41,1.43,340
CIMENTS DE BIZERTE,SCB,2022-06-23,1.7,1.7,1.66,1.7,4
CIMENTS DE BIZERTE,SCB,2022-06-27,1.7,1.7,1.7,1.7,2
CIMENTS DE BIZERTE,SCB,2022-06-28,1.7,1.7,1.7,1.7,1
CIMENTS DE BIZERTE,SCB,2022-06-30,1.63,1.7,1.63,1.63,1
CIMENTS DE BIZERTE,SCB,2022-07-01,1.62,1.63,1.62,1.62,81
CIMENTS DE BIZERTE,SCB,2022-07-04,1.61,1.62,1.61,1.61,10
CIMENTS DE BIZERTE,SCB,2022-07-05,1.62,1.62,1.61,1.62,1
CIMENTS DE BIZERTE,SCB,2022-07-06,1.58,1.68,1.58,1.58,70
CIMENTS DE BIZERTE,SCB,2022-07-07,1.65,1.65,1.58,1.65,2
CIMENTS DE BIZERTE,SCB,2022-07-08,1.72,1.72,1.65,1.72,4
CIMENTS DE BIZERTE,SCB,2022-07-11,1.71,1.72,1.71,1.71,54
CIMENTS DE BIZERTE,SCB,2022-07-14,1.64,1.71,1.64,1.64,1880
CIMENTS DE BIZERTE,SCB,2022-07-15,1.58,1.64,1.58,1.58,450
CIMENTS DE BIZERTE,SCB,2022-07-18,1.53,1.58,1.53,1.53,416
CIMENTS DE BIZERTE,SCB,2022-07-19,1.52,1.53,1.52,1.52,110
CIMENTS DE BIZERTE,SCB,2022-07-20,1.58,1.58,1.52,1.58,1
CIMENTS DE BIZERTE,SCB,2022-07-21,1.64,1.64,1.58,1.64,1
CIMENTS DE BIZERTE,SCB,2022-07-22,1.6,1.64,1.6,1.6,358
CIMENTS DE BIZERTE,SCB,2022-07-26,1.59,1.6,1.59,1.59,3
CIMENTS DE BIZERTE,SCB,2022-07-27,1.52,1.59,1.52,1.52,1
CIMENTS DE BIZERTE,SCB,2022-08-01,1.4,1.46,1.4,1.4,1221
