ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SIAME,SIAME,2021-06-17,4.25,4.3,4.25,4.3,1404
SIAME,SIAME,2021-06-18,4.23,4.27,4.23,4.27,1738
SIAME,SIAME,2021-06-21,4.26,4.27,4.16,4.16,262
SIAME,SIAME,2021-06-22,4.15,4.25,4.15,4.25,606
SIAME,SIAME,2021-06-23,4.19,4.19,4.16,4.19,5365
SIAME,SIAME,2021-06-24,4.29,4.29,4.18,4.19,2038
SIAME,SIAME,2021-06-25,4.19,4.27,4.18,4.27,5324
SIAME,SIAME,2021-06-28,4.2,4.24,4.19,4.24,4877
SIAME,SIAME,2021-06-29,4.24,4.27,4.19,4.27,12075
SIAME,SIAME,2021-06-30,4.26,4.26,4.17,4.25,8897
SIAME,SIAME,2021-07-01,4.2,4.24,4.18,4.23,969
SIAME,SIAME,2021-07-02,4.18,4.3,4.18,4.29,13459
SIAME,SIAME,2021-07-05,4.3,4.3,4.29,4.3,3373
SIAME,SIAME,2021-07-06,4.29,4.29,4.18,4.29,1092
SIAME,SIAME,2021-07-07,4.29,4.29,4.19,4.25,3947
SIAME,SIAME,2021-07-08,4.29,4.3,4.29,4.3,1353
SIAME,SIAME,2021-07-09,4.29,4.29,4.2,4.28,1555
SIAME,SIAME,2021-07-12,4.3,4.3,4.2,4.3,4589
SIAME,SIAME,2021-07-13,4.3,4.3,4.25,4.3,1655
SIAME,SIAME,2021-07-14,4.3,4.39,4.2,4.34,151
SIAME,SIAME,2021-07-15,4.4,4.4,4.34,4.4,19478
SIAME,SIAME,2021-07-16,4.05,4.1,4.05,4.09,8778
SIAME,SIAME,2021-07-19,4.09,4.09,4.05,4.08,5051
SIAME,SIAME,2021-07-22,4.08,4.08,3.99,3.99,6146
SIAME,SIAME,2021-07-23,4.05,4.05,4.0,4.04,2948
SIAME,SIAME,2021-07-26,4.0,4.0,3.92,3.98,21008
SIAME,SIAME,2021-07-27,3.99,3.99,3.91,3.97,885
SIAME,SIAME,2021-07-28,3.91,3.97,3.91,3.96,1856
SIAME,SIAME,2021-07-29,3.98,3.99,3.98,3.99,525
SIAME,SIAME,2021-07-30,3.99,3.99,3.94,3.99,3183
SIAME,SIAME,2021-08-02,3.94,3.99,3.94,3.99,390
SIAME,SIAME,2021-08-03,3.93,3.98,3.93,3.98,544
SIAME,SIAME,2021-08-04,3.97,3.97,3.95,3.95,1070
SIAME,SIAME,2021-08-05,3.95,3.95,3.93,3.94,866
SIAME,SIAME,2021-08-06,3.96,3.96,3.92,3.95,108
SIAME,SIAME,2021-08-09,3.95,3.96,3.94,3.95,3508
SIAME,SIAME,2021-08-11,3.93,3.96,3.93,3.96,928
SIAME,SIAME,2021-08-12,3.95,3.97,3.92,3.96,979
SIAME,SIAME,2021-08-16,3.93,3.96,3.9,3.96,2670
