ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SIPHAT,SIPHA,2021-06-18,3.95,3.95,3.95,3.95,2
SIPHAT,SIPHA,2021-06-24,4.12,4.24,4.12,4.24,7
SIPHAT,SIPHA,2021-06-28,4.62,4.62,4.62,4.62,1
SIPHAT,SIPHA,2021-07-08,5.15,5.15,5.15,5.15,2
SIPHAT,SIPHA,2021-07-09,5.3,5.3,5.3,5.3,1
SIPHAT,SIPHA,2021-07-12,5.45,5.45,5.45,5.45,5
SIPHAT,SIPHA,2021-07-13,5.61,5.61,5.61,5.61,200
SIPHAT,SIPHA,2021-07-14,5.77,5.77,5.77,5.77,2
SIPHAT,SIPHA,2021-07-16,5.94,5.94,5.94,5.94,1
SIPHAT,SIPHA,2021-07-19,6.11,6.11,6.11,6.11,1
SIPHAT,SIPHA,2021-09-14,6.12,6.12,6.12,6.12,32
SIPHAT,SIPHA,2021-09-15,6.12,6.12,6.12,6.12,46
SIPHAT,SIPHA,2021-10-20,6.12,6.12,6.12,6.12,800
SIPHAT,SIPHA,2021-11-09,5.61,5.85,5.61,5.61,22
SIPHAT,SIPHA,2021-11-11,5.61,5.61,5.61,5.61,100
SIPHAT,SIPHA,2021-11-15,5.6,5.61,5.6,5.6,6
SIPHAT,SIPHA,2022-03-21,3.54,3.54,3.54,3.54,100
SIPHAT,SIPHA,2022-04-21,3.53,3.53,3.53,3.53,550
SIPHAT,SIPHA,2022-04-28,3.58,3.58,3.53,3.58,50
SIPHAT,SIPHA,2022-05-04,3.74,3.74,3.58,3.74,2
SIPHAT,SIPHA,2022-05-05,3.9,3.9,3.74,3.9,25
SIPHAT,SIPHA,2022-05-06,3.9,3.9,3.9,3.9,12
SIPHAT,SIPHA,2022-05-09,3.95,3.95,3.9,3.95,150
SIPHAT,SIPHA,2022-05-17,4.0,4.0,3.95,4.0,18
SIPHAT,SIPHA,2022-06-03,3.65,3.65,3.65,3.65,29
SIPHAT,SIPHA,2022-06-07,3.49,3.49,3.49,3.49,6
SIPHAT,SIPHA,2022-06-09,3.62,3.62,3.49,3.62,100
SIPHAT,SIPHA,2022-06-10,3.65,3.65,3.62,3.65,19
SIPHAT,SIPHA,2022-06-13,3.81,3.81,3.65,3.81,57
SIPHAT,SIPHA,2022-06-15,3.81,3.81,3.81,3.81,148
SIPHAT,SIPHA,2022-06-17,3.65,3.81,3.65,3.65,1352
SIPHAT,SIPHA,2022-06-20,3.59,3.65,3.59,3.59,172
SIPHAT,SIPHA,2022-08-26,3.28,3.28,3.28,3.28,55
SIPHAT,SIPHA,2022-08-29,3.23,3.28,3.23,3.23,33
SIPHAT,SIPHA,2022-08-30,3.22,3.23,3.22,3.22,33
SIPHAT,SIPHA,2022-09-01,3.23,3.23,3.22,3.23,5
SIPHAT,SIPHA,2022-09-06,3.59,3.59,3.52,3.59,280
SIPHAT,SIPHA,2022-09-08,3.89,3.89,3.75,3.89,34
SIPHAT,SIPHA,2022-09-09,3.89,3.89,3.89,3.89,5
SIPHAT,SIPHA,2022-09-12,4.06,4.06,3.89,4.06,57
SIPHAT,SIPHA,2022-09-13,4.04,4.06,4.04,4.04,518
SIPHAT,SIPHA,2022-09-14,4.1,4.1,4.04,4.1,77
SIPHAT,SIPHA,2022-09-15,4.11,4.11,4.1,4.11,25
SIPHAT,SIPHA,2022-10-03,3.93,3.93,3.93,3.93,5
SIPHAT,SIPHA,2022-10-06,3.93,3.93,3.93,3.93,7
SIPHAT,SIPHA,2022-10-11,3.93,3.93,3.93,3.93,7
SIPHAT,SIPHA,2022-10-12,4.1,4.1,3.93,4.1,50
SIPHAT,SIPHA,2022-10-14,4.1,4.1,4.1,4.1,10
SIPHAT,SIPHA,2022-10-18,4.1,4.1,4.1,4.1,61
SIPHAT,SIPHA,2022-10-21,4.3,4.3,4.28,4.3,488
SIPHAT,SIPHA,2022-10-24,4.34,4.34,4.3,4.34,60
SIPHAT,SIPHA,2022-10-26,4.3,4.34,4.3,4.3,300
SIPHAT,SIPHA,2022-11-30,4.11,4.3,4.11,4.11,5
SIPHAT,SIPHA,2023-03-10,4.01,4.06,4.01,4.01,100
SIPHAT,SIPHA,2023-03-22,3.5,3.66,3.5,3.5,40
SIPHAT,SIPHA,2023-03-28,3.35,3.5,3.35,3.35,15
SIPHAT,SIPHA,2023-04-26,3.35,3.5,3.35,3.5,25
SIPHAT,SIPHA,2023-05-18,4.15,4.15,4.14,4.14,4
