ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ESSOUKNA,SOKNA,2021-07-01,2.63,2.67,2.63,2.67,95
ESSOUKNA,SOKNA,2021-07-14,2.64,2.64,2.64,2.64,625
ESSOUKNA,SOKNA,2021-08-02,2.67,2.67,2.67,2.67,101
ESSOUKNA,SOKNA,2021-09-02,2.69,2.69,2.69,2.69,55
ESSOUKNA,SOKNA,2021-09-03,2.69,2.69,2.69,2.69,19
ESSOUKNA,SOKNA,2021-09-13,2.29,2.49,2.29,2.52,202
ESSOUKNA,SOKNA,2021-09-14,2.55,2.58,2.55,2.58,83
ESSOUKNA,SOKNA,2021-09-15,2.58,2.58,2.58,2.58,2
ESSOUKNA,SOKNA,2021-09-16,2.58,2.58,2.58,2.58,1
ESSOUKNA,SOKNA,2021-09-17,2.58,2.58,2.58,2.58,1
ESSOUKNA,SOKNA,2021-09-29,2.5,2.5,2.45,2.5,544
ESSOUKNA,SOKNA,2021-09-30,2.5,2.5,2.5,2.5,1
ESSOUKNA,SOKNA,2021-10-01,2.5,2.5,2.41,2.5,13
ESSOUKNA,SOKNA,2021-10-05,2.4,2.5,2.36,2.4,157
ESSOUKNA,SOKNA,2021-10-06,2.26,2.4,2.26,2.26,2811
ESSOUKNA,SOKNA,2021-10-07,2.19,2.26,2.17,2.19,195
ESSOUKNA,SOKNA,2021-10-08,2.2,2.2,2.14,2.2,309
ESSOUKNA,SOKNA,2021-10-11,2.2,2.3,2.2,2.2,183
ESSOUKNA,SOKNA,2021-10-12,2.2,2.24,2.2,2.2,14
ESSOUKNA,SOKNA,2021-10-13,2.23,2.23,2.2,2.23,5
ESSOUKNA,SOKNA,2021-10-14,2.19,2.23,2.19,2.19,511
ESSOUKNA,SOKNA,2021-10-19,2.24,2.24,2.06,2.24,265
ESSOUKNA,SOKNA,2021-10-20,2.16,2.24,2.16,2.16,10
ESSOUKNA,SOKNA,2021-10-21,2.16,2.2,2.12,2.16,17
ESSOUKNA,SOKNA,2021-10-22,2.16,2.16,2.16,2.16,10
ESSOUKNA,SOKNA,2021-10-25,2.16,2.16,2.16,2.16,10
ESSOUKNA,SOKNA,2021-10-26,2.16,2.16,2.16,2.16,8
ESSOUKNA,SOKNA,2021-10-27,2.16,2.16,2.16,2.16,3
ESSOUKNA,SOKNA,2021-10-28,2.16,2.16,2.16,2.16,1
ESSOUKNA,SOKNA,2021-10-29,2.16,2.16,2.16,2.16,1
ESSOUKNA,SOKNA,2021-11-01,2.16,2.21,2.16,2.16,43
ESSOUKNA,SOKNA,2021-11-02,2.21,2.21,2.16,2.21,1
ESSOUKNA,SOKNA,2021-11-05,2.17,2.21,2.17,2.17,12
ESSOUKNA,SOKNA,2021-11-08,2.16,2.2,2.16,2.16,41
ESSOUKNA,SOKNA,2021-11-09,2.16,2.2,2.16,2.16,11
ESSOUKNA,SOKNA,2021-11-10,2.13,2.2,2.13,2.13,745
ESSOUKNA,SOKNA,2021-11-11,2.2,2.2,2.13,2.2,1
ESSOUKNA,SOKNA,2021-11-12,2.09,2.2,2.07,2.09,1416
ESSOUKNA,SOKNA,2021-11-15,2.13,2.13,2.09,2.13,251
ESSOUKNA,SOKNA,2021-11-16,2.13,2.13,2.13,2.13,1
