ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SOTETEL,SOTET,2021-06-17,3.9,4.01,3.8,4.01,24691
SOTETEL,SOTET,2021-06-18,4.13,4.25,4.13,4.25,28026
SOTETEL,SOTET,2021-06-21,4.35,4.48,4.3,4.4,24099
SOTETEL,SOTET,2021-06-22,4.32,4.37,4.2,4.3,3609
SOTETEL,SOTET,2021-06-23,4.27,4.27,4.08,4.08,23262
SOTETEL,SOTET,2021-06-24,4.15,4.15,4.03,4.1,2845
SOTETEL,SOTET,2021-06-25,4.1,4.12,3.99,4.08,11634
SOTETEL,SOTET,2021-06-28,4.15,4.15,4.03,4.08,1427
SOTETEL,SOTET,2021-06-29,4.15,4.15,4.03,4.07,2257
SOTETEL,SOTET,2021-06-30,3.95,4.03,3.86,3.94,8336
SOTETEL,SOTET,2021-07-01,4.01,4.01,3.89,3.94,3603
SOTETEL,SOTET,2021-07-02,3.88,3.93,3.8,3.89,1605
SOTETEL,SOTET,2021-07-05,3.9,3.9,3.8,3.87,2597
SOTETEL,SOTET,2021-07-06,3.86,3.86,3.8,3.8,673
SOTETEL,SOTET,2021-07-07,3.76,3.84,3.71,3.8,1607
SOTETEL,SOTET,2021-07-08,3.72,3.72,3.69,3.69,4519
SOTETEL,SOTET,2021-07-09,3.69,3.69,3.69,3.69,2071
SOTETEL,SOTET,2021-07-12,3.72,3.72,3.61,3.61,965
SOTETEL,SOTET,2021-07-13,3.69,3.69,3.69,3.69,46
SOTETEL,SOTET,2021-07-14,3.69,3.8,3.69,3.75,7577
SOTETEL,SOTET,2021-07-15,3.65,3.86,3.64,3.86,6255
SOTETEL,SOTET,2021-07-16,4.02,4.02,3.8,3.8,24055
SOTETEL,SOTET,2021-07-19,3.86,3.88,3.85,3.87,423
SOTETEL,SOTET,2021-07-22,3.85,3.97,3.85,3.87,3562
SOTETEL,SOTET,2021-07-23,3.94,3.94,3.9,3.93,144
SOTETEL,SOTET,2021-07-26,3.85,3.88,3.85,3.88,6
SOTETEL,SOTET,2021-07-27,3.91,3.92,3.8,3.9,205
SOTETEL,SOTET,2021-07-28,3.89,3.89,3.82,3.85,1363
SOTETEL,SOTET,2021-07-29,3.89,3.89,3.79,3.89,210
SOTETEL,SOTET,2021-07-30,3.88,3.88,3.78,3.88,1280
SOTETEL,SOTET,2021-08-03,3.87,3.87,3.8,3.8,5571
SOTETEL,SOTET,2021-08-04,3.78,3.8,3.7,3.8,1076
SOTETEL,SOTET,2021-08-05,3.7,3.85,3.7,3.82,2063
SOTETEL,SOTET,2021-08-06,3.8,3.85,3.8,3.83,2977
SOTETEL,SOTET,2021-08-09,3.85,3.87,3.85,3.85,525
SOTETEL,SOTET,2021-08-11,3.89,3.9,3.85,3.85,555
SOTETEL,SOTET,2021-08-12,3.87,3.89,3.87,3.88,132
SOTETEL,SOTET,2021-08-16,3.91,3.91,3.91,3.91,4
SOTETEL,SOTET,2021-08-17,3.8,3.9,3.8,3.9,778
SOTETEL,SOTET,2021-08-18,3.8,3.88,3.8,3.88,2504
SOTETEL,SOTET,2021-08-19,3.89,3.99,3.89,3.99,21908
SOTETEL,SOTET,2021-08-20,4.02,4.11,4.0,4.09,19910
SOTETEL,SOTET,2021-08-23,4.1,4.14,4.1,4.13,1078
SOTETEL,SOTET,2021-08-24,4.14,4.14,4.03,4.09,758
SOTETEL,SOTET,2021-08-25,4.1,4.11,4.05,4.1,1880
SOTETEL,SOTET,2021-08-26,4.03,4.1,3.98,4.1,2130
