ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
SPDIT - SICAF,SPDIT,2021-06-17,8.15,8.15,7.91,7.91,1600
SPDIT - SICAF,SPDIT,2021-06-18,7.88,7.88,7.88,7.88,10
SPDIT - SICAF,SPDIT,2021-06-21,7.88,7.88,7.88,7.88,3300
SPDIT - SICAF,SPDIT,2021-06-22,7.82,7.82,7.82,7.82,1000
SPDIT - SICAF,SPDIT,2021-06-23,8.07,8.07,8.07,8.07,21
SPDIT - SICAF,SPDIT,2021-06-28,8.07,8.07,8.07,8.07,155
SPDIT - SICAF,SPDIT,2021-07-01,8.1,8.1,8.1,8.1,10
SPDIT - SICAF,SPDIT,2021-07-12,8.09,8.09,8.09,8.09,9
SPDIT - SICAF,SPDIT,2021-07-13,8.08,8.08,8.08,8.08,15
SPDIT - SICAF,SPDIT,2021-07-14,7.86,8.08,7.86,8.08,801
SPDIT - SICAF,SPDIT,2021-07-15,7.9,7.9,7.9,7.9,1
SPDIT - SICAF,SPDIT,2021-07-16,8.01,8.01,8.01,8.01,1530
SPDIT - SICAF,SPDIT,2021-07-19,8.01,8.01,8.01,8.01,178
SPDIT - SICAF,SPDIT,2021-07-23,8.09,8.09,8.09,8.09,187
SPDIT - SICAF,SPDIT,2021-08-03,8.1,8.1,8.1,8.1,30
SPDIT - SICAF,SPDIT,2021-08-04,8.1,8.1,8.1,8.1,1500
SPDIT - SICAF,SPDIT,2021-08-05,8.1,8.1,8.1,8.1,3186
SPDIT - SICAF,SPDIT,2021-08-06,8.15,8.15,8.15,8.15,207
SPDIT - SICAF,SPDIT,2021-08-09,8.15,8.15,8.15,8.15,154
SPDIT - SICAF,SPDIT,2021-08-11,8.15,8.15,8.15,8.15,358
SPDIT - SICAF,SPDIT,2021-08-16,7.94,7.94,7.94,7.94,90
SPDIT - SICAF,SPDIT,2021-08-17,8.15,8.15,8.15,8.15,28
SPDIT - SICAF,SPDIT,2021-08-20,8.14,8.14,8.14,8.14,13943
SPDIT - SICAF,SPDIT,2021-08-24,8.15,8.15,8.15,8.15,250
SPDIT - SICAF,SPDIT,2021-09-06,8.15,8.15,8.15,8.15,1000
SPDIT - SICAF,SPDIT,2021-09-07,8.15,8.15,8.15,8.15,1147
SPDIT - SICAF,SPDIT,2021-09-15,8.15,8.15,8.15,8.15,200
SPDIT - SICAF,SPDIT,2021-09-17,8.15,8.15,8.15,8.15,17
SPDIT - SICAF,SPDIT,2021-09-29,8.3,8.3,8.3,8.3,305
