ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
STB BANK,STB,2021-06-17,2.98,2.98,2.98,2.98,1
STB BANK,STB,2021-06-18,2.92,2.98,2.9,2.91,5005
STB BANK,STB,2021-06-21,2.96,2.96,2.88,2.88,6348
STB BANK,STB,2021-06-22,2.82,2.89,2.8,2.88,4184
STB BANK,STB,2021-06-23,2.8,2.88,2.76,2.87,7826
STB BANK,STB,2021-06-24,2.86,2.87,2.79,2.79,6032
STB BANK,STB,2021-06-25,2.8,2.85,2.8,2.85,5586
STB BANK,STB,2021-06-28,2.85,2.9,2.85,2.9,5785
STB BANK,STB,2021-06-29,2.86,2.9,2.86,2.89,809
STB BANK,STB,2021-06-30,2.9,2.9,2.82,2.82,2309
STB BANK,STB,2021-07-01,2.9,2.93,2.83,2.93,747
STB BANK,STB,2021-07-02,2.92,2.92,2.85,2.85,2429
STB BANK,STB,2021-07-05,2.82,2.85,2.81,2.85,2351
STB BANK,STB,2021-07-06,2.85,2.85,2.85,2.85,111
STB BANK,STB,2021-07-07,2.85,2.85,2.8,2.85,1299
STB BANK,STB,2021-07-08,2.82,2.85,2.81,2.85,1265
STB BANK,STB,2021-07-09,2.8,2.8,2.77,2.8,4845
STB BANK,STB,2021-07-12,2.8,2.8,2.8,2.8,65
STB BANK,STB,2021-07-13,2.8,2.8,2.72,2.76,5566
STB BANK,STB,2021-07-14,2.72,2.77,2.72,2.77,2063
STB BANK,STB,2021-07-15,2.77,2.77,2.72,2.76,9122
STB BANK,STB,2021-07-16,2.77,2.77,2.69,2.76,339
STB BANK,STB,2021-07-19,2.8,2.8,2.76,2.8,202
STB BANK,STB,2021-07-22,2.8,2.8,2.77,2.8,4257
STB BANK,STB,2021-07-23,2.8,2.8,2.8,2.8,1271
STB BANK,STB,2021-07-26,2.8,2.8,2.79,2.8,5544
STB BANK,STB,2021-07-27,2.8,2.86,2.8,2.86,1079
STB BANK,STB,2021-07-28,2.92,2.92,2.88,2.9,120
STB BANK,STB,2021-07-29,2.9,2.92,2.88,2.92,576
STB BANK,STB,2021-07-30,2.92,2.92,2.8,2.9,5566
STB BANK,STB,2021-08-02,2.82,2.82,2.82,2.82,9174
STB BANK,STB,2021-08-03,2.82,2.82,2.78,2.82,3437
STB BANK,STB,2021-08-04,2.82,2.82,2.78,2.82,1825
STB BANK,STB,2021-08-05,2.82,2.82,2.74,2.8,428
STB BANK,STB,2021-08-06,2.8,2.8,2.72,2.78,6970
STB BANK,STB,2021-08-09,2.8,2.8,2.78,2.8,206
STB BANK,STB,2021-08-11,2.73,2.73,2.72,2.72,4170
STB BANK,STB,2021-08-12,2.75,2.75,2.72,2.75,741
STB BANK,STB,2021-08-16,2.77,2.78,2.75,2.78,4600
STB BANK,STB,2021-08-17,2.79,2.79,2.71,2.74,5631
STB BANK,STB,2021-08-18,2.75,2.79,2.74,2.77,2303
STB BANK,STB,2021-08-19,2.79,2.79,2.78,2.79,1030
STB BANK,STB,2021-08-20,2.75,2.78,2.72,2.78,1620
STB BANK,STB,2021-08-23,2.72,2.78,2.72,2.72,8911
STB BANK,STB,2021-08-24,2.72,2.77,2.7,2.77,4675
STB BANK,STB,2021-08-25,2.77,2.77,2.7,2.7,10621
STB BANK,STB,2021-08-26,2.77,2.77,2.77,2.77,25
STB BANK,STB,2021-08-27,2.77,2.79,2.71,2.76,8180
STB BANK,STB,2021-08-30,2.68,2.76,2.68,2.68,63
