ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TAWASOL,TGH,2021-06-17,0.77,0.77,0.76,0.77,23122
TAWASOL,TGH,2021-06-18,0.77,0.77,0.75,0.77,46203
TAWASOL,TGH,2021-06-21,0.75,0.77,0.75,0.77,17187
TAWASOL,TGH,2021-06-22,0.76,0.77,0.75,0.76,62369
TAWASOL,TGH,2021-06-23,0.76,0.76,0.73,0.74,62781
TAWASOL,TGH,2021-06-24,0.75,0.75,0.73,0.74,27898
TAWASOL,TGH,2021-06-25,0.74,0.76,0.72,0.76,179762
TAWASOL,TGH,2021-06-28,0.76,0.76,0.73,0.73,43598
TAWASOL,TGH,2021-06-29,0.75,0.75,0.73,0.73,12844
TAWASOL,TGH,2021-06-30,0.73,0.73,0.71,0.71,116606
TAWASOL,TGH,2021-07-01,0.7,0.7,0.7,0.7,3406
TAWASOL,TGH,2021-07-05,0.67,0.67,0.67,0.67,6303
TAWASOL,TGH,2021-07-06,0.69,0.69,0.69,0.69,3200
TAWASOL,TGH,2021-07-07,0.69,0.69,0.69,0.69,4550
TAWASOL,TGH,2021-07-08,0.71,0.71,0.71,0.71,154
TAWASOL,TGH,2021-07-09,0.71,0.71,0.71,0.71,200
TAWASOL,TGH,2021-07-12,0.7,0.7,0.7,0.7,327
TAWASOL,TGH,2021-07-13,0.7,0.7,0.7,0.7,1
TAWASOL,TGH,2021-07-14,0.68,0.68,0.68,0.68,18682
TAWASOL,TGH,2021-07-15,0.68,0.68,0.68,0.68,15951
TAWASOL,TGH,2021-07-16,0.68,0.68,0.68,0.68,9930
TAWASOL,TGH,2021-07-19,0.68,0.68,0.68,0.68,7338
TAWASOL,TGH,2021-07-22,0.7,0.7,0.7,0.7,1000
TAWASOL,TGH,2021-07-26,0.71,0.71,0.71,0.71,16864
TAWASOL,TGH,2021-07-27,0.7,0.7,0.7,0.7,11846
TAWASOL,TGH,2021-07-28,0.72,0.72,0.72,0.72,6779
TAWASOL,TGH,2021-07-29,0.74,0.74,0.74,0.74,2189
TAWASOL,TGH,2021-07-30,0.74,0.74,0.74,0.74,15705
TAWASOL,TGH,2021-08-02,0.75,0.75,0.75,0.75,6062
TAWASOL,TGH,2021-08-03,0.75,0.75,0.75,0.75,7398
TAWASOL,TGH,2021-08-04,0.75,0.75,0.75,0.75,2200
TAWASOL,TGH,2021-08-05,0.76,0.76,0.76,0.76,6240
TAWASOL,TGH,2021-08-06,0.75,0.75,0.75,0.75,11250
TAWASOL,TGH,2021-08-11,0.73,0.73,0.73,0.73,22662
TAWASOL,TGH,2021-08-12,0.71,0.71,0.71,0.71,22948
TAWASOL,TGH,2021-08-16,0.71,0.71,0.71,0.71,4000
TAWASOL,TGH,2021-08-17,0.7,0.7,0.7,0.7,19302
TAWASOL,TGH,2021-08-18,0.71,0.71,0.71,0.71,36761
TAWASOL,TGH,2021-08-19,0.7,0.7,0.7,0.7,10939
TAWASOL,TGH,2021-08-20,0.69,0.69,0.69,0.69,5357
TAWASOL,TGH,2021-08-23,0.7,0.7,0.7,0.7,8300
TAWASOL,TGH,2021-08-24,0.7,0.7,0.7,0.7,13005
TAWASOL,TGH,2021-08-25,0.7,0.7,0.7,0.7,12900
TAWASOL,TGH,2021-08-26,0.71,0.71,0.71,0.71,12427
TAWASOL,TGH,2021-08-27,0.71,0.71,0.71,0.71,38687
TAWASOL,TGH,2021-08-30,0.71,0.71,0.71,0.71,4000
TAWASOL,TGH,2021-08-31,0.7,0.71,0.7,0.7,5000
TAWASOL,TGH,2021-09-02,0.71,0.71,0.71,0.71,6670
TAWASOL,TGH,2021-09-03,0.71,0.71,0.71,0.71,5523
TAWASOL,TGH,2021-09-06,0.72,0.72,0.72,0.72,4578
TAWASOL,TGH,2021-09-07,0.72,0.72,0.72,0.72,1000
TAWASOL,TGH,2021-09-08,0.75,0.75,0.75,0.75,11778
TAWASOL,TGH,2021-09-09,0.76,0.76,0.76,0.76,13764
TAWASOL,TGH,2021-09-10,0.78,0.78,0.78,0.78,18521
TAWASOL,TGH,2021-09-13,0.8,0.8,0.8,0.8,22296
TAWASOL,TGH,2021-09-14,0.79,0.79,0.79,0.79,7348
TAWASOL,TGH,2021-09-15,0.8,0.8,0.8,0.8,82220
TAWASOL,TGH,2021-09-16,0.8,0.8,0.8,0.8,54903
TAWASOL,TGH,2021-09-17,0.79,0.79,0.79,0.79,20
TAWASOL,TGH,2021-09-20,0.77,0.77,0.77,0.77,2050
TAWASOL,TGH,2021-09-21,0.77,0.77,0.77,0.77,200
TAWASOL,TGH,2021-09-22,0.75,0.75,0.75,0.75,9729
TAWASOL,TGH,2021-09-23,0.74,0.74,0.74,0.74,500
TAWASOL,TGH,2021-09-24,0.73,0.73,0.73,0.73,21866
TAWASOL,TGH,2021-09-27,0.73,0.73,0.73,0.73,450
TAWASOL,TGH,2021-09-28,0.73,0.73,0.73,0.73,3667
TAWASOL,TGH,2021-09-29,0.73,0.73,0.73,0.73,6200
TAWASOL,TGH,2021-09-30,0.74,0.74,0.74,0.74,3230
TAWASOL,TGH,2021-10-01,0.76,0.76,0.74,0.76,35263
TAWASOL,TGH,2021-10-04,0.76,0.76,0.76,0.76,4250
TAWASOL,TGH,2021-10-05,0.78,0.78,0.76,0.78,7267
TAWASOL,TGH,2021-10-06,0.79,0.79,0.78,0.79,2120
TAWASOL,TGH,2021-10-07,0.76,0.79,0.76,0.76,19850
TAWASOL,TGH,2021-10-08,0.78,0.78,0.76,0.78,2594
TAWASOL,TGH,2021-10-11,0.78,0.78,0.78,0.78,3157
TAWASOL,TGH,2021-10-12,0.76,0.78,0.76,0.76,4870
TAWASOL,TGH,2021-10-13,0.76,0.76,0.76,0.76,20290
TAWASOL,TGH,2021-10-14,0.78,0.78,0.76,0.78,17522
TAWASOL,TGH,2021-10-19,0.8,0.8,0.78,0.8,66000
TAWASOL,TGH,2021-10-20,0.79,0.8,0.79,0.79,37044
TAWASOL,TGH,2021-10-21,0.8,0.8,0.79,0.8,74457
TAWASOL,TGH,2021-10-22,0.81,0.81,0.8,0.81,72855
TAWASOL,TGH,2021-10-25,0.82,0.82,0.81,0.82,104661
TAWASOL,TGH,2021-10-26,0.83,0.83,0.82,0.83,30308
TAWASOL,TGH,2021-10-27,0.83,0.83,0.83,0.83,4350
TAWASOL,TGH,2021-10-29,0.82,0.82,0.8,0.82,9543
TAWASOL,TGH,2021-11-01,0.83,0.83,0.82,0.83,8982
TAWASOL,TGH,2021-11-02,0.82,0.83,0.82,0.82,8377
TAWASOL,TGH,2021-11-03,0.82,0.82,0.82,0.82,30448
TAWASOL,TGH,2021-11-04,0.79,0.82,0.79,0.79,8214
TAWASOL,TGH,2021-11-05,0.79,0.79,0.79,0.79,10450
TAWASOL,TGH,2021-11-08,0.8,0.8,0.79,0.8,20
TAWASOL,TGH,2021-11-09,0.79,0.8,0.79,0.79,10275
TAWASOL,TGH,2021-11-10,0.8,0.8,0.79,0.8,16500
TAWASOL,TGH,2021-11-11,0.79,0.8,0.79,0.79,4100
TAWASOL,TGH,2021-11-12,0.78,0.79,0.78,0.78,7915
TAWASOL,TGH,2021-11-15,0.79,0.79,0.78,0.79,5950
TAWASOL,TGH,2021-11-16,0.78,0.79,0.78,0.78,3691
TAWASOL,TGH,2021-11-17,0.75,0.78,0.75,0.75,19840
TAWASOL,TGH,2021-11-18,0.75,0.75,0.75,0.75,7755
TAWASOL,TGH,2021-11-19,0.75,0.75,0.75,0.75,5000
TAWASOL,TGH,2021-11-22,0.75,0.75,0.75,0.75,80
TAWASOL,TGH,2021-11-23,0.74,0.75,0.74,0.74,6747
TAWASOL,TGH,2021-11-24,0.72,0.74,0.72,0.72,10482
TAWASOL,TGH,2021-11-25,0.74,0.74,0.72,0.74,1130
TAWASOL,TGH,2021-11-26,0.74,0.74,0.74,0.74,22731
