ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ATTIJARI BANK,TJARI,2021-06-17,31.35,31.35,31.2,31.2,7526
ATTIJARI BANK,TJARI,2021-06-18,31.01,31.2,31.0,31.2,2145
ATTIJARI BANK,TJARI,2021-06-21,31.0,31.15,31.0,31.15,551
ATTIJARI BANK,TJARI,2021-06-22,31.1,31.15,31.1,31.1,171
ATTIJARI BANK,TJARI,2021-06-23,31.0,31.1,31.0,31.1,517
ATTIJARI BANK,TJARI,2021-06-24,31.1,31.12,31.0,31.1,6808
ATTIJARI BANK,TJARI,2021-06-25,31.1,31.18,31.0,31.18,2802
ATTIJARI BANK,TJARI,2021-06-28,31.18,31.18,31.0,31.01,1724
ATTIJARI BANK,TJARI,2021-06-29,31.02,31.15,31.02,31.15,311
ATTIJARI BANK,TJARI,2021-06-30,31.15,31.15,31.15,31.15,13
ATTIJARI BANK,TJARI,2021-07-01,31.1,31.15,31.1,31.15,102
ATTIJARI BANK,TJARI,2021-07-02,31.1,31.15,31.1,31.15,220
ATTIJARI BANK,TJARI,2021-07-05,31.15,31.15,31.1,31.15,253
ATTIJARI BANK,TJARI,2021-07-06,31.1,31.15,31.1,31.15,1148
ATTIJARI BANK,TJARI,2021-07-07,31.16,31.16,31.15,31.15,3485
ATTIJARI BANK,TJARI,2021-07-08,31.18,31.3,31.18,31.2,1236
ATTIJARI BANK,TJARI,2021-07-09,31.2,31.2,31.14,31.14,4422
ATTIJARI BANK,TJARI,2021-07-12,31.14,31.14,31.14,31.14,529
ATTIJARI BANK,TJARI,2021-07-13,31.2,31.2,31.2,31.2,37
ATTIJARI BANK,TJARI,2021-07-14,31.15,31.15,31.0,31.0,628
ATTIJARI BANK,TJARI,2021-07-15,31.0,31.19,31.0,31.19,488
ATTIJARI BANK,TJARI,2021-07-16,31.0,31.19,31.0,31.19,294
ATTIJARI BANK,TJARI,2021-07-19,31.19,31.2,31.19,31.19,264
ATTIJARI BANK,TJARI,2021-07-22,31.2,31.2,31.2,31.2,243
ATTIJARI BANK,TJARI,2021-07-23,31.1,31.1,30.85,31.0,107
ATTIJARI BANK,TJARI,2021-07-26,30.8,30.8,30.0,30.5,1492
ATTIJARI BANK,TJARI,2021-07-27,31.1,31.1,30.5,31.1,2292
ATTIJARI BANK,TJARI,2021-07-28,30.8,31.1,30.8,31.1,300
ATTIJARI BANK,TJARI,2021-07-29,31.1,31.19,30.9,31.19,287
ATTIJARI BANK,TJARI,2021-07-30,31.2,31.31,31.15,31.2,1869
ATTIJARI BANK,TJARI,2021-08-02,31.3,31.3,31.3,31.3,54
ATTIJARI BANK,TJARI,2021-08-03,31.2,31.35,31.2,31.35,936
ATTIJARI BANK,TJARI,2021-08-04,31.2,31.3,31.2,31.3,989
ATTIJARI BANK,TJARI,2021-08-06,31.3,31.35,31.2,31.35,1001
ATTIJARI BANK,TJARI,2021-08-09,31.34,31.34,31.2,31.34,203
ATTIJARI BANK,TJARI,2021-08-11,31.35,31.35,31.35,31.35,10
ATTIJARI BANK,TJARI,2021-08-12,31.22,31.22,31.22,31.22,495
ATTIJARI BANK,TJARI,2021-08-16,31.12,31.15,31.12,31.15,170
ATTIJARI BANK,TJARI,2021-08-17,31.11,31.35,31.11,31.3,245
ATTIJARI BANK,TJARI,2021-08-18,31.11,31.3,31.11,31.3,90
ATTIJARI BANK,TJARI,2021-08-19,31.2,31.29,31.2,31.29,1176
ATTIJARI BANK,TJARI,2021-08-20,31.18,31.29,31.18,31.2,363
ATTIJARI BANK,TJARI,2021-08-23,31.2,31.3,31.2,31.3,2154
ATTIJARI BANK,TJARI,2021-08-24,31.25,31.3,31.2,31.3,3213
ATTIJARI BANK,TJARI,2021-08-25,31.3,32.23,31.3,32.23,1070
ATTIJARI BANK,TJARI,2021-08-26,32.23,32.23,32.0,32.22,59
ATTIJARI BANK,TJARI,2021-08-27,32.23,33.18,32.23,33.18,366
ATTIJARI BANK,TJARI,2021-08-30,32.3,33.18,32.3,32.3,6
ATTIJARI BANK,TJARI,2021-08-31,33.0,33.0,32.3,33.0,108
ATTIJARI BANK,TJARI,2021-09-01,33.0,33.0,31.66,31.66,628
ATTIJARI BANK,TJARI,2021-09-02,31.6,31.6,31.6,31.6,611
ATTIJARI BANK,TJARI,2021-09-06,31.6,31.6,31.6,31.6,401
ATTIJARI BANK,TJARI,2021-09-07,31.2,31.5,30.6,30.75,1444
ATTIJARI BANK,TJARI,2021-09-08,30.75,30.76,30.6,30.6,2440
ATTIJARI BANK,TJARI,2021-09-09,30.6,30.75,30.5,30.7,908
ATTIJARI BANK,TJARI,2021-09-10,30.2,31.0,30.2,31.0,3083
ATTIJARI BANK,TJARI,2021-09-13,31.6,31.6,31.0,31.55,644
ATTIJARI BANK,TJARI,2021-09-14,31.8,31.8,31.48,31.48,422
ATTIJARI BANK,TJARI,2021-09-15,31.49,31.49,31.3,31.3,1106
ATTIJARI BANK,TJARI,2021-09-16,30.5,31.11,30.5,31.11,160
ATTIJARI BANK,TJARI,2021-09-17,31.0,31.0,31.0,31.0,975
ATTIJARI BANK,TJARI,2021-09-20,31.0,31.2,30.61,31.1,822
ATTIJARI BANK,TJARI,2021-09-21,31.0,31.0,31.0,31.0,200
ATTIJARI BANK,TJARI,2021-09-22,31.0,31.0,30.21,30.95,345
ATTIJARI BANK,TJARI,2021-09-23,31.0,31.0,30.23,31.0,16800
ATTIJARI BANK,TJARI,2021-09-24,31.1,31.1,31.0,31.1,2552
ATTIJARI BANK,TJARI,2021-09-27,31.12,31.12,31.12,31.12,17
ATTIJARI BANK,TJARI,2021-09-28,31.5,31.5,31.29,31.5,5
ATTIJARI BANK,TJARI,2021-09-29,31.0,31.5,31.0,31.5,785
ATTIJARI BANK,TJARI,2021-09-30,31.9,31.9,31.9,31.9,3
ATTIJARI BANK,TJARI,2021-10-01,31.9,31.9,31.9,31.9,171
ATTIJARI BANK,TJARI,2021-10-04,31.7,31.9,31.2,31.7,433
ATTIJARI BANK,TJARI,2021-10-05,31.3,31.7,31.3,31.3,975
ATTIJARI BANK,TJARI,2021-10-06,31.5,31.5,31.3,31.5,2743
ATTIJARI BANK,TJARI,2021-10-07,31.5,31.5,31.5,31.5,2262
ATTIJARI BANK,TJARI,2021-10-08,31.48,31.5,31.48,31.48,1340
ATTIJARI BANK,TJARI,2021-10-11,31.41,31.48,30.8,31.41,858
ATTIJARI BANK,TJARI,2021-10-12,31.4,31.49,31.3,31.4,2600
ATTIJARI BANK,TJARI,2021-10-13,31.4,31.4,31.4,31.4,800
ATTIJARI BANK,TJARI,2021-10-14,31.4,31.4,31.2,31.4,6950
ATTIJARI BANK,TJARI,2021-10-19,31.39,31.4,30.8,31.39,6616
ATTIJARI BANK,TJARI,2021-10-20,31.0,31.39,30.9,31.0,2469
ATTIJARI BANK,TJARI,2021-10-21,30.9,31.0,30.8,30.9,2583
ATTIJARI BANK,TJARI,2021-10-22,30.9,30.9,30.9,30.9,900
ATTIJARI BANK,TJARI,2021-10-25,30.8,30.9,30.1,30.8,1962
ATTIJARI BANK,TJARI,2021-10-26,30.0,30.8,30.0,30.0,2776
ATTIJARI BANK,TJARI,2021-10-27,30.5,31.0,30.0,30.5,555
ATTIJARI BANK,TJARI,2021-10-28,30.98,30.99,30.5,30.98,511
ATTIJARI BANK,TJARI,2021-10-29,30.98,30.98,30.98,30.98,550
ATTIJARI BANK,TJARI,2021-11-01,30.8,30.98,30.02,30.8,2029
ATTIJARI BANK,TJARI,2021-11-02,30.78,30.8,30.5,30.78,1786
ATTIJARI BANK,TJARI,2021-11-03,30.5,30.78,30.5,30.5,1624
ATTIJARI BANK,TJARI,2021-11-04,30.5,30.79,30.4,30.5,1622
ATTIJARI BANK,TJARI,2021-11-05,30.76,30.77,30.5,30.76,1402
ATTIJARI BANK,TJARI,2021-11-08,30.76,30.76,30.12,30.76,679
ATTIJARI BANK,TJARI,2021-11-09,30.76,30.76,30.76,30.76,740
ATTIJARI BANK,TJARI,2021-11-10,30.74,30.76,30.14,30.74,1267
ATTIJARI BANK,TJARI,2021-11-11,30.74,30.74,30.5,30.74,1440
ATTIJARI BANK,TJARI,2021-11-12,30.7,30.74,30.69,30.7,1821
ATTIJARI BANK,TJARI,2021-11-15,30.68,30.7,30.5,30.68,1464
ATTIJARI BANK,TJARI,2021-11-16,30.67,30.69,30.67,30.67,1076
ATTIJARI BANK,TJARI,2021-11-17,30.67,30.68,30.65,30.67,3700
ATTIJARI BANK,TJARI,2021-11-18,30.6,30.67,30.6,30.6,3515
ATTIJARI BANK,TJARI,2021-11-19,30.59,30.6,30.1,30.59,1555
ATTIJARI BANK,TJARI,2021-11-22,30.59,30.6,30.4,30.59,6648
ATTIJARI BANK,TJARI,2021-11-23,30.59,30.59,30.54,30.59,901
ATTIJARI BANK,TJARI,2021-11-24,30.75,30.75,30.59,30.75,1738
ATTIJARI BANK,TJARI,2021-11-25,30.6,30.9,30.55,30.6,2891
ATTIJARI BANK,TJARI,2021-11-26,30.52,30.6,30.52,30.52,1241
ATTIJARI BANK,TJARI,2021-11-29,30.5,30.79,30.5,30.5,712
ATTIJARI BANK,TJARI,2021-11-30,30.5,30.5,30.5,30.5,650
ATTIJARI BANK,TJARI,2021-12-01,30.49,30.5,30.49,30.49,695
ATTIJARI BANK,TJARI,2021-12-02,30.42,30.49,30.35,30.42,1600
ATTIJARI BANK,TJARI,2021-12-03,30.42,30.48,30.1,30.42,3772
ATTIJARI BANK,TJARI,2021-12-06,33.0,33.0,30.1,33.0,75675
ATTIJARI BANK,TJARI,2021-12-07,30.1,30.1,30.01,30.1,981
ATTIJARI BANK,TJARI,2021-12-08,30.1,30.1,30.0,30.1,563
ATTIJARI BANK,TJARI,2021-12-09,30.0,30.3,30.0,30.0,1610
ATTIJARI BANK,TJARI,2021-12-10,30.0,30.3,30.0,30.0,3998
ATTIJARI BANK,TJARI,2021-12-13,30.3,30.4,30.0,30.3,924
ATTIJARI BANK,TJARI,2022-03-14,30.65,30.75,30.65,30.65,631
ATTIJARI BANK,TJARI,2022-03-15,30.75,30.75,30.65,30.75,1727
ATTIJARI BANK,TJARI,2022-03-16,30.7,30.75,30.6,30.7,181870
ATTIJARI BANK,TJARI,2022-03-17,30.7,30.7,30.5,30.7,1145
ATTIJARI BANK,TJARI,2022-03-18,30.7,30.7,30.7,30.7,100
ATTIJARI BANK,TJARI,2022-03-21,30.5,30.7,30.5,30.5,9717
ATTIJARI BANK,TJARI,2022-03-22,30.5,30.51,30.5,30.5,8489
ATTIJARI BANK,TJARI,2022-03-23,30.5,30.5,30.5,30.5,1528
ATTIJARI BANK,TJARI,2022-03-24,30.4,30.5,30.0,30.4,4348
ATTIJARI BANK,TJARI,2022-03-25,30.7,30.7,30.4,30.7,896
ATTIJARI BANK,TJARI,2022-03-28,30.4,30.7,30.2,30.4,4094
ATTIJARI BANK,TJARI,2022-03-29,30.4,30.4,30.1,30.4,2752
ATTIJARI BANK,TJARI,2022-03-30,30.35,30.4,30.2,30.35,106
ATTIJARI BANK,TJARI,2022-03-31,31.25,32.0,30.35,31.25,3980
ATTIJARI BANK,TJARI,2022-04-01,31.2,31.4,30.51,31.2,969
ATTIJARI BANK,TJARI,2022-04-04,33.07,33.07,31.2,33.07,7911
ATTIJARI BANK,TJARI,2022-04-05,33.0,34.68,33.0,33.0,46076
ATTIJARI BANK,TJARI,2022-04-06,33.3,33.5,33.0,33.3,1915
ATTIJARI BANK,TJARI,2022-04-07,33.25,33.5,33.0,33.25,170854
ATTIJARI BANK,TJARI,2022-04-08,33.0,33.3,33.0,33.0,4540
ATTIJARI BANK,TJARI,2022-04-11,33.0,33.3,32.98,33.0,2613
ATTIJARI BANK,TJARI,2022-04-12,33.0,33.0,32.0,33.0,2487
ATTIJARI BANK,TJARI,2022-04-13,33.19,33.19,33.0,33.19,2077
ATTIJARI BANK,TJARI,2022-04-14,34.3,34.9,33.06,34.3,6911
