ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
ATTIJARI LEASING,TJL,2021-06-29,10.68,10.68,10.68,10.68,153
ATTIJARI LEASING,TJL,2021-07-01,10.33,10.33,10.33,10.33,2
ATTIJARI LEASING,TJL,2021-07-02,10.33,10.63,10.03,10.63,109
ATTIJARI LEASING,TJL,2021-07-09,10.32,10.32,10.32,10.32,10
ATTIJARI LEASING,TJL,2021-07-13,10.03,10.03,10.03,10.03,110
ATTIJARI LEASING,TJL,2021-07-16,9.73,10.0,9.73,10.0,607
ATTIJARI LEASING,TJL,2021-07-22,10.0,10.0,10.0,10.0,20
ATTIJARI LEASING,TJL,2021-07-29,10.0,10.0,10.0,10.0,358
ATTIJARI LEASING,TJL,2021-08-02,10.03,10.3,10.03,10.3,101
ATTIJARI LEASING,TJL,2021-08-03,10.0,10.0,10.0,10.0,1622
ATTIJARI LEASING,TJL,2021-08-04,10.0,10.0,10.0,10.0,400
ATTIJARI LEASING,TJL,2021-08-17,9.74,9.74,9.74,9.74,72
ATTIJARI LEASING,TJL,2021-08-18,9.74,9.74,9.74,9.74,532
ATTIJARI LEASING,TJL,2021-08-23,10.03,10.03,10.03,10.03,700
ATTIJARI LEASING,TJL,2021-08-24,10.3,10.3,10.3,10.3,3
ATTIJARI LEASING,TJL,2021-08-30,10.3,10.3,10.3,10.3,71
ATTIJARI LEASING,TJL,2021-09-08,10.2,10.5,10.2,10.5,150
ATTIJARI LEASING,TJL,2021-09-15,10.5,10.5,10.5,10.5,88
ATTIJARI LEASING,TJL,2021-09-20,10.71,11.1,10.7,11.1,345
ATTIJARI LEASING,TJL,2021-09-21,11.0,11.0,11.0,11.7,1000
ATTIJARI LEASING,TJL,2021-09-22,11.7,11.7,11.7,11.7,50
ATTIJARI LEASING,TJL,2021-09-23,11.75,11.98,11.75,11.98,980
ATTIJARI LEASING,TJL,2021-09-24,11.75,11.75,11.75,11.75,233
ATTIJARI LEASING,TJL,2021-09-28,11.36,11.75,11.36,11.36,190
ATTIJARI LEASING,TJL,2021-09-29,11.36,11.5,11.36,11.5,739
ATTIJARI LEASING,TJL,2021-09-30,11.35,11.35,11.35,11.35,100
ATTIJARI LEASING,TJL,2021-10-04,11.35,11.35,11.35,11.35,600
ATTIJARI LEASING,TJL,2021-10-06,11.75,11.75,11.35,11.75,100
ATTIJARI LEASING,TJL,2021-10-07,11.75,11.75,11.7,11.75,781
ATTIJARI LEASING,TJL,2021-10-14,11.6,11.75,11.6,11.6,463
ATTIJARI LEASING,TJL,2021-10-19,11.5,11.6,11.5,11.5,46
ATTIJARI LEASING,TJL,2021-10-20,11.9,11.9,11.5,11.9,1036
ATTIJARI LEASING,TJL,2021-10-22,11.9,11.9,11.9,11.9,500
ATTIJARI LEASING,TJL,2021-10-28,12.05,12.05,11.9,12.05,1977
ATTIJARI LEASING,TJL,2021-10-29,12.2,12.2,12.05,12.2,1
ATTIJARI LEASING,TJL,2021-11-01,12.0,12.2,12.0,12.0,50
ATTIJARI LEASING,TJL,2021-11-03,11.7,12.0,11.7,11.7,1
ATTIJARI LEASING,TJL,2021-11-08,11.7,11.75,11.7,11.7,289
ATTIJARI LEASING,TJL,2021-11-09,11.4,11.7,11.4,11.4,600
ATTIJARI LEASING,TJL,2021-11-10,11.4,11.4,11.38,11.4,652
ATTIJARI LEASING,TJL,2021-11-15,11.62,11.62,11.4,11.62,162
ATTIJARI LEASING,TJL,2021-11-16,11.62,12.1,11.62,11.62,628
