ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
TPR,TPR,2021-06-18,4.36,4.47,4.36,4.41,6427
TPR,TPR,2021-06-21,4.47,4.47,4.41,4.41,755
TPR,TPR,2021-06-22,4.37,4.45,4.37,4.45,535
TPR,TPR,2021-06-23,4.45,4.45,4.38,4.4,2000
TPR,TPR,2021-06-24,4.45,4.45,4.39,4.44,2948
TPR,TPR,2021-06-25,4.38,4.44,4.35,4.44,16508
TPR,TPR,2021-06-28,4.47,4.47,4.35,4.43,7309
TPR,TPR,2021-06-29,4.47,4.47,4.47,4.47,1787
TPR,TPR,2021-06-30,4.39,4.44,4.36,4.44,267
TPR,TPR,2021-07-01,4.44,4.44,4.44,4.44,60
TPR,TPR,2021-07-02,4.42,4.42,4.42,4.42,10
TPR,TPR,2021-07-05,4.41,4.41,4.41,4.41,2028
TPR,TPR,2021-07-06,4.41,4.41,4.37,4.39,2476
TPR,TPR,2021-07-07,4.0,4.18,4.0,4.18,701
TPR,TPR,2021-07-08,4.19,4.19,4.18,4.18,1590
TPR,TPR,2021-07-09,4.15,4.15,4.15,4.15,1159
TPR,TPR,2021-07-12,4.15,4.15,4.12,4.12,1042
TPR,TPR,2021-07-13,4.12,4.12,4.05,4.06,2199
TPR,TPR,2021-07-14,4.1,4.1,4.06,4.1,602
TPR,TPR,2021-07-15,4.1,4.1,4.07,4.1,2525
TPR,TPR,2021-07-16,4.1,4.1,4.07,4.1,2137
TPR,TPR,2021-07-19,4.1,4.12,4.08,4.1,4511
TPR,TPR,2021-07-22,4.1,4.1,4.09,4.1,1736
TPR,TPR,2021-07-23,4.1,4.22,4.1,4.15,1420
TPR,TPR,2021-07-26,4.15,4.19,4.0,4.19,7995
TPR,TPR,2021-07-27,4.19,4.2,4.11,4.19,1006
TPR,TPR,2021-07-28,4.18,4.18,4.18,4.18,1125
TPR,TPR,2021-07-29,4.17,4.17,4.17,4.17,104
TPR,TPR,2021-07-30,4.19,4.24,4.18,4.2,13427
TPR,TPR,2021-08-02,4.2,4.32,4.2,4.32,5769
TPR,TPR,2021-08-04,4.3,4.3,4.2,4.27,992
TPR,TPR,2021-08-05,4.25,4.25,4.25,4.25,2966
TPR,TPR,2021-08-06,4.23,4.23,4.23,4.23,55
TPR,TPR,2021-08-09,4.24,4.3,4.23,4.29,2447
TPR,TPR,2021-08-11,4.23,4.28,4.23,4.23,4026
TPR,TPR,2021-08-12,4.18,4.25,4.18,4.25,2151
TPR,TPR,2021-08-17,4.25,4.25,4.17,4.25,5410
TPR,TPR,2021-08-18,4.25,4.25,4.24,4.24,545
TPR,TPR,2021-08-19,4.24,4.24,4.14,4.21,7967
TPR,TPR,2021-08-20,4.2,4.21,4.2,4.21,3009
TPR,TPR,2021-08-24,4.16,4.24,4.15,4.24,554
TPR,TPR,2021-08-25,4.17,4.17,4.17,4.17,239
TPR,TPR,2021-08-26,4.23,4.24,4.23,4.23,2649
TPR,TPR,2021-08-27,4.24,4.24,4.23,4.23,750
TPR,TPR,2021-08-30,4.39,4.4,4.23,4.39,425
TPR,TPR,2021-08-31,4.33,4.39,4.33,4.33,2456
TPR,TPR,2021-09-01,4.35,4.35,4.26,4.26,4544
TPR,TPR,2021-09-03,4.18,4.19,4.18,4.19,145
TPR,TPR,2021-09-06,4.15,4.23,4.15,4.19,20655
TPR,TPR,2021-09-08,4.23,4.28,4.23,4.23,3403
TPR,TPR,2021-09-09,4.19,4.2,4.19,4.2,549
TPR,TPR,2021-09-10,4.24,4.24,4.2,4.23,2068
TPR,TPR,2021-09-13,4.24,4.32,4.18,4.25,9988
TPR,TPR,2021-09-14,4.2,4.2,4.2,4.2,7
TPR,TPR,2021-09-15,4.2,4.25,4.2,4.2,39338
TPR,TPR,2021-09-16,4.2,4.2,4.19,4.2,10931
TPR,TPR,2021-09-17,4.26,4.28,4.19,4.2,10305
TPR,TPR,2021-09-20,4.2,4.2,4.19,4.19,4813
