ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
UBCI,UBCI,2021-06-17,21.86,21.86,21.86,21.86,99
UBCI,UBCI,2021-06-18,21.9,21.9,21.9,21.9,1883
UBCI,UBCI,2021-06-21,21.9,21.91,21.9,21.91,84618
UBCI,UBCI,2021-06-23,22.0,22.0,22.0,22.0,514
UBCI,UBCI,2021-06-24,21.8,21.8,21.6,21.6,807
UBCI,UBCI,2021-06-28,21.5,21.5,21.5,21.5,99
UBCI,UBCI,2021-06-29,21.51,21.51,21.51,21.51,159
UBCI,UBCI,2021-06-30,21.51,21.51,21.51,21.51,99
UBCI,UBCI,2021-07-01,21.0,21.0,21.0,21.0,30
UBCI,UBCI,2021-07-08,21.0,21.0,21.0,21.0,500
UBCI,UBCI,2021-07-09,21.0,21.0,21.0,21.0,99
UBCI,UBCI,2021-07-12,21.0,21.0,21.0,21.0,5
UBCI,UBCI,2021-07-15,21.0,21.0,21.0,21.0,99
UBCI,UBCI,2021-07-19,21.0,21.0,21.0,21.0,105
UBCI,UBCI,2021-07-22,21.0,21.0,21.0,21.0,99
UBCI,UBCI,2021-07-23,21.0,21.0,21.0,21.0,99
UBCI,UBCI,2021-07-26,21.0,21.0,21.0,21.0,98
UBCI,UBCI,2021-07-30,21.0,21.0,21.0,21.0,97
UBCI,UBCI,2021-08-18,20.41,20.41,20.41,20.41,21
UBCI,UBCI,2021-08-20,20.0,20.0,20.0,20.0,80
UBCI,UBCI,2021-08-23,20.0,20.0,20.0,20.0,575
UBCI,UBCI,2021-08-24,20.0,20.1,20.0,20.1,1524
UBCI,UBCI,2021-08-25,20.1,20.1,20.1,20.1,99
UBCI,UBCI,2021-08-26,20.0,20.0,20.0,20.0,98
UBCI,UBCI,2021-08-27,20.01,20.01,20.01,20.01,200
UBCI,UBCI,2021-09-02,20.0,20.0,20.0,20.0,99
UBCI,UBCI,2021-09-03,20.0,20.0,20.0,20.0,99
UBCI,UBCI,2021-09-06,20.0,20.0,20.0,20.0,99
UBCI,UBCI,2021-09-07,20.0,20.0,20.0,20.0,337
UBCI,UBCI,2021-09-08,20.0,20.0,20.0,20.0,99
UBCI,UBCI,2021-09-09,20.0,20.0,20.0,20.0,198
UBCI,UBCI,2021-09-10,20.5,20.5,20.5,20.5,2200
UBCI,UBCI,2021-09-13,20.5,20.51,20.5,20.51,998
UBCI,UBCI,2021-09-14,20.0,20.0,20.0,20.0,149
UBCI,UBCI,2021-09-15,20.01,20.01,20.01,20.01,472
UBCI,UBCI,2021-09-16,20.02,20.02,20.02,20.02,178
UBCI,UBCI,2021-09-22,20.02,20.02,20.02,20.02,50
UBCI,UBCI,2021-10-05,20.03,20.03,20.02,20.03,99
UBCI,UBCI,2021-10-06,20.0,20.03,20.0,20.0,98
UBCI,UBCI,2021-10-07,20.0,20.0,20.0,20.0,99
UBCI,UBCI,2021-10-08,20.0,20.0,20.0,20.0,99
UBCI,UBCI,2021-10-11,19.57,20.0,19.51,19.57,104
