date_str,time_str,headline,url
20/05/24,10:52,Le Tribunal prolonge le délai de réception des offres d'achat de la société Les AMS à fin mai,https://www.ilboursa.com/marches/le-tribunal-prolonge-le-delai-de-reception-des-offres-d-achat-de-la-societe-les-ams-a-fin-mai_46319
15/04/24,09:31,"Montassar Dridi et Taoufik Laaribi rachètent les AMS pour 7,6 millions de dinars",https://www.ilboursa.com/marches/montassar-dridi-et-taoufik-laaribi-rachetent-les-ams-pour-7-6-millions-de-dinars_45713
22/11/23,14:22,"Les AMS ne trouvent pas preneur, lancement d’un nouvel appel d’offres",https://www.ilboursa.com/marches/les-ams-ne-trouvent-pas-preneur-lancement-dun-nouvel-appel-doffres_43673
14/09/23,15:46,La société AMS sera radiée du Marché Principal de la Cote de la Bourse à partir de demain,https://www.ilboursa.com/marches/la-societe-ams-sera-radiee-du-marche-principal-de-la-cote-de-la-bourse-a-partir-de-demain_42589
27/08/23,13:10,Vente judiciaire des AMS : Le tribunal baisse le prix d'ouverture à 58 millions de dinars,https://www.ilboursa.com/marches/vente-judiciaire-des-ams-le-tribunal-baisse-le-prix-d-ouverture-a-58-millions-de-dinars_42267
13/07/23,13:42,Mise en vente judiciaire des AMS avec une mise à prix de 65 millions de dinars,https://www.ilboursa.com/marches/mise-en-vente-judiciaire-des-ams-avec-une-mise-a-prix-de-65-millions-de-dinars_41643
19/08/22,19:14,"Après deux ans et demi de fermeture, la société Les AMS reprend ses activités",https://www.ilboursa.com/marches/apres-deux-ans-et-demi-de-fermeture-la-societe-les-ams-reprend-ses-activites_36154
08/04/22,09:47,La société Les Ateliers Mécaniques du Sahel se prépare à la reprise après 2 ans de fermeture,https://www.ilboursa.com/marches/la-societe-les-ateliers-mecaniques-du-sahel-se-prepare-a-la-reprise-apres-2-ans-de-fermeture_33879
02/04/21,18:47,Le Tribunal ordonne l'admission de la société Les AMS sous la procédure du règlement judiciaire,https://www.ilboursa.com/marches/le-tribunal-ordonne-l-admission-de-la-societe-les-ams-sous-la-procedure-du-reglement-judiciaire_27442
29/01/21,08:25,Les AMS : Trois banques accusées de refus de soutenir la société,https://www.ilboursa.com/marches/les-ams-trois-banques-accusees-de-refus-de-soutenir-la-societe_26283
19/12/20,19:56,Le Ministère de l’Industrie veut faire bénéficier Les AMS de la protection de la justice,https://www.ilboursa.com/marches/le-ministere-de-lindustrie-veut-faire-beneficier-les-ams-de-la-protection-de-la-justice_25708
25/11/20,13:37,La société Les AMS nie toute éventuelle transaction financière sur le capital,https://www.ilboursa.com/marches/la-societe-les-ams-nie-toute-eventuelle-transaction-financiere-sur-le-capital_25310
02/11/20,09:35,"A l'arrêt depuis mars, la société Les AMS accuse une chute de 80% de ses revenus à fin septembre",https://www.ilboursa.com/marches/a-l-arret-depuis-mars-la-societe-les-ams-accuse-une-chute-de-80-de-ses-revenus-a-fin-septembre_24906
12/09/20,13:08,La société Les AMS reporte à nouveau la reprise de son activité,https://www.ilboursa.com/marches/la-societe-les-ams-reporte-a-nouveau-la-reprise-de-son-activite_24103
24/08/20,13:30,La société Les AMS reporte la reprise de son activité au 14 septembre 2020,https://www.ilboursa.com/marches/la-societe-les-ams-reporte-la-reprise-de-son-activite-au-14-septembre-2020_23778
12/08/20,11:43,La société Les Ateliers Mécaniques du Sahel reprend son activité,https://www.ilboursa.com/marches/la-societe-les-ateliers-mecaniques-du-sahel-reprend-son-activite_23637
07/07/20,09:53,Hatem Chabchoub : Groupe Loukil déterminé à préserver le patrimoine industriel des AMS,https://www.ilboursa.com/marches/hatem-chabchoub-groupe-loukil-determine-a-preserver-le-patrimoine-industriel-des-ams_23126
17/06/20,17:03,La société Les AMS va mettre ses salariés au chômage technique de six mois,https://www.ilboursa.com/marches/la-societe-les-ams-va-mettre-ses-salaries-au-chomage-technique-de-six-mois_22883
28/04/20,08:02,"La société Les AMS voit son chiffre d'affaires trimestriel baisser de 61% à 2,6 millions de dinars",https://www.ilboursa.com/marches/la-societe-les-ams-voit-son-chiffre-d-affaires-trimestriel-baisser-de-61-a-2-6-millions-de-dinars_22087
02/12/19,15:18,"En quête d'investisseurs, la société Les AMS augmentera son capital de 15 millions de dinars",https://www.ilboursa.com/marches/en-quete-d-investisseurs-la-societe-les-ams-augmentera-son-capital-de-15-millions-de-dinars_19874
28/10/19,07:58,La société Les AMS réalise un chiffre d'affaires de plus de 14 millions de dinars à fin septembre,https://www.ilboursa.com/marches/la-societe-les-ams-realise-un-chiffre-d-affaires-de-plus-de-14-millions-de-dinars-a-fin-septembre_19388
11/10/19,12:46,La société Les AMS annonce une perte nette de plus de 19 millions de dinars en 2018,https://www.ilboursa.com/marches/la-societe-les-ams-annonce-une-perte-nette-de-plus-de-19-millions-de-dinars-en-2018_19161
05/08/19,10:18,AMS : Croissance de 2% du chiffre d'affaires au premier semestre,https://www.ilboursa.com/marches/ams-croissance-de-2-du-chiffre-d-affaires-au-premier-semestre_18325
22/04/19,12:06,La société Les AMS améliore de 37% son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/la-societe-les-ams-ameliore-de-37-son-chiffre-d-affaires-au-premier-trimestre_17078
31/01/19,08:59,La société Les AMS réalise un chiffre d'affaires de 22 millions de dinars en 2018,https://www.ilboursa.com/marches/la-societe-les-ams-realise-un-chiffre-d-affaires-de-22-millions-de-dinars-en-2018_15993
17/12/18,12:51,AMS : Décision imminente sur l'avenir du Plan de restructuration,https://www.ilboursa.com/marches/ams-decision-imminente-sur-l-avenir-du-plan-de-restructuration_15473
24/10/18,14:36,La société AMS confirme la reprise de ses activités au troisième trimestre de 2018,https://www.ilboursa.com/marches/la-societe-ams-confirme-la-reprise-de-ses-activites-au-troisieme-trimestre-de-2018_15163
30/07/18,09:44,AMS : Croissance de 125% des revenus au deuxième trimestre à plus de 5 millions de dinars,https://www.ilboursa.com/marches/ams-croissance-de-125-des-revenus-au-deuxieme-trimestre-a-plus-de-5-millions-de-dinars_14570
24/04/18,13:36,AMS : Baisse de 41% des revenus au premier trimestre,https://www.ilboursa.com/marches/ams-baisse-de-41-des-revenus-au-premier-trimestre_14060
24/01/18,11:15,AMS : Des revenus en hausse de 6% et un endettement en baisse de 14%,https://www.ilboursa.com/marches/ams-des-revenus-en-hausse-de-6-et-un-endettement-en-baisse-de-14_13434
26/10/17,09:10,"AMS : Légère croissance du chiffre d'affaires à fin septembre à 16,6 millions de dinars",https://www.ilboursa.com/marches/ams-legere-croissance-du-chiffre-d-affaires-a-fin-septembre-a-16-6-millions-de-dinars_12735
26/07/17,10:00,AMS : Baisse de 4% du chiffre d'affaires au premier semestre,https://www.ilboursa.com/marches/ams-baisse-de-4-du-chiffre-d-affaires-au-premier-semestre_12159
15/06/17,10:34,"AMS : Résultat net déficitaire de 9,8 millions de dinars en 2016",https://www.ilboursa.com/marches/ams-resultat-net-deficitaire-de-9-8-millions-de-dinars-en-2016_11915
22/05/17,09:38,L’AMS Challenge couronne les jeunes créateurs,https://www.ilboursa.com/marches/lams-challenge-couronne-les-jeunes-createurs_11751
05/05/17,17:55,La contrefaçon au coeur d'une réunion entre le Directeur Général des AMS et Zied Laâdhari,https://www.ilboursa.com/marches/la-contrefacon-au-coeur-d-une-reunion-entre-le-directeur-general-des-ams-et-zied-laadhari_11619
15/02/17,11:31,Les AMS lancent le concours design produit ''AMS Challenge 2017'',https://www.ilboursa.com/marches/les-ams-lancent-le-concours-design-produit--ams-challenge-2017-_11001
25/01/17,13:20,AMS triple ses exportations en dépit d'une baisse de 12% des revenus en 2016,https://www.ilboursa.com/marches/ams-triple-ses-exportations-en-depit-d-une-baisse-de-12-des-revenus-en-2016_10865
25/10/16,15:30,Les AMS : Partenaire privilégié de l’Ordre des Architectes de Tunisie,https://www.ilboursa.com/marches/les-ams-partenaire-privilegie-de-lordre-des-architectes-de-tunisie_10269
19/10/16,10:45,AMS : Chiffre d'affaires en baisse de 7% à fin septembre,https://www.ilboursa.com/marches/ams-chiffre-d-affaires-en-baisse-de-7-a-fin-septembre_10210
13/10/16,09:09,AMS : Le résultat net semestriel reste dans le négatif,https://www.ilboursa.com/marches/ams-le-resultat-net-semestriel-reste-dans-le-negatif_10156
20/07/16,13:31,AMS : Chiffre d'affaires en baisse de 13% au premier semestre,https://www.ilboursa.com/marches/ams-chiffre-d-affaires-en-baisse-de-13-au-premier-semestre_9722
29/06/16,10:21,AMS : Le management propose un plan de restructuration de la société,https://www.ilboursa.com/marches/ams-le-management-propose-un-plan-de-restructuration-de-la-societe_9596
28/06/16,10:10,AMS remporte des appels d'offres pour une valeur dépassant les 7 MDT,https://www.ilboursa.com/marches/ams-remporte-des-appels-d-offres-pour-une-valeur-depassant-les-7-mdt_9587
27/06/16,10:15,"AMS : Déficit net consolidé de 6,6 millions de dinars en 2015",https://www.ilboursa.com/marches/ams-deficit-net-consolide-de-6-6-millions-de-dinars-en-2015_9583
20/06/16,08:02,"AMS : Résultat net déficitaire de 9,3 millions de dinars en 2015",https://www.ilboursa.com/marches/ams-resultat-net-deficitaire-de-9-3-millions-de-dinars-en-2015_9543
21/04/16,09:29,"AMS : Croissance à deux chiffres au premier trimestre, endettement en baisse",https://www.ilboursa.com/marches/ams-croissance-a-deux-chiffres-au-premier-trimestre-endettement-en-baisse_9058
17/03/16,18:58,AMS : Augmentation de capital réalisée,https://www.ilboursa.com/marches/ams-augmentation-de-capital-realisee_8767
22/01/16,08:52,AMS : Forte reprise des ventes au 4eme trimestre de 2015,https://www.ilboursa.com/marches/ams-forte-reprise-des-ventes-au-4eme-trimestre-de-2015_8417
22/01/16,08:06,AMS : Prorogation de la période de souscription à l'augmentation de capital au 15 février,https://www.ilboursa.com/marches/ams-prorogation-de-la-periode-de-souscription-a-l-augmentation-de-capital-au-15-fevrier_8400
03/12/15,09:46,La société Les AMS obtient le visa du CMF pour augmenter son capital,https://www.ilboursa.com/marches/la-societe-les-ams-obtient-le-visa-du-cmf-pour-augmenter-son-capital_8065
21/10/15,11:00,AMS : Baisse de 16% du chiffre d'affaires à 18 millions de dinars à fin septembre,https://www.ilboursa.com/marches/ams-baisse-de-16-du-chiffre-d-affaires-a-18-millions-de-dinars-a-fin-septembre_7752
