date_str,time_str,headline,url
17/06/26,12:22,Des revenus en hausse et un bénéfice solide pour le groupe ARTES en 2025,https://www.ilboursa.com/marches/des-revenus-en-hausse-et-un-benefice-solide-pour-le-groupe-artes-en-2025_62336
22/04/26,10:46,ARTES : Retrait de 25 % du chiffre d'affaires au premier trimestre 2026,https://www.ilboursa.com/marches/artes-retrait-de-25-du-chiffre-d-affaires-au-premier-trimestre-2026_61251
10/02/26,13:19,Volants d’Or 2025 : ARTES-ADEV récompensé pour son engagement citoyen et son excellence,https://www.ilboursa.com/marches/volants-dor-2025-artes-adev-recompense-pour-son-engagement-citoyen-et-son-excellence_59683
27/01/26,12:29,NISSAN lance le nouveau MAGNITE en Tunisie et redéfinit le segment des SUV Compacts,https://www.ilboursa.com/marches/nissan-lance-le-nouveau-magnite-en-tunisie-et-redefinit-le-segment-des-suv-compacts_59324
22/01/26,10:18,Le concessionnaire ARTES atteint un niveau historique de chiffre d’affaires en 2025,https://www.ilboursa.com/marches/le-concessionnaire-artes-atteint-un-niveau-historique-de-chiffre-daffaires-en-2025_59194
20/11/25,08:31,Le concessionnaire automobile ARTES lance la 3ème édition des Journées Après-Vente,https://www.ilboursa.com/marches/le-concessionnaire-automobile-artes-lance-la-3eme-edition-des-journees-apres-vente_57798
21/10/25,17:07,ARTES voit ses revenus augmenter de 40% à fin septembre à 260 millions de dinars,https://www.ilboursa.com/marches/artes-voit-ses-revenus-augmenter-de-40-a-fin-septembre-a-260-millions-de-dinars_57009
05/09/25,09:22,ARTES confirme sa solidité financière au premier semestre 2025,https://www.ilboursa.com/marches/artes-confirme-sa-solidite-financiere-au-premier-semestre-2025_54863
30/07/25,08:09,ARTES : Réalisation d'une transaction de bloc pour 3 millions de dinars,https://www.ilboursa.com/marches/artes-realisation-d-une-transaction-de-bloc-pour-3-millions-de-dinars_54128
22/07/25,09:22,Le marché automobile sourit à ARTES au premier semestre 2025,https://www.ilboursa.com/marches/le-marche-automobile-sourit-a-artes-au-premier-semestre-2025_53957
17/07/25,12:57,Le Groupe ARTES-Renault renouvelle son partenariat avec le Festival International de Hammamet,https://www.ilboursa.com/marches/le-groupe-artes-renault-renouvelle-son-partenariat-avec-le-festival-international-de-hammamet_53878
16/06/25,11:14,"ADEV lance en Tunisie le Nissan Navara BVA, le nouveau pick-up tout-terrain",https://www.ilboursa.com/marches/adev-lance-en-tunisie-le-nissan-navara-bva-le-nouveau-pick-up-tout-terrain_53208
11/06/25,09:44,Marché automobile : Renault à la tête des marques les plus vendues en Tunisie à fin mai,https://www.ilboursa.com/marches/marche-automobile-renault-a-la-tete-des-marques-les-plus-vendues-en-tunisie-a-fin-mai_53121
23/05/25,14:15,ADEV Nissan ouvre ses portes pour révéler la nouvelle Qashqai e-Power et ses offres spéciales,https://www.ilboursa.com/marches/adev-nissan-ouvre-ses-portes-pour-reveler-la-nouvelle-qashqai-e-power-et-ses-offres-speciales_52828
23/04/25,10:31,Le concessionnaire ARTES voit ses revenus croître de 160% au premier trimestre,https://www.ilboursa.com/marches/le-concessionnaire-artes-voit-ses-revenus-croitre-de-160-au-premier-trimestre_52249
08/04/25,18:04,Le concessionnaire ARTES augmente de 50% son bénéfice en 2024 à 40 millions de dinars,https://www.ilboursa.com/marches/le-concessionnaire-artes-augmente-de-50-son-benefice-en-2024-a-40-millions-de-dinars_51975
07/03/25,10:50,Renault renouvèle son partenariat avec Casa Tarab pour le Festival Musical « Layali Ramadhan »,https://www.ilboursa.com/marches/renault-renouvele-son-partenariat-avec-casa-tarab-pour-le-festival-musical-layali-ramadhan-_51371
25/02/25,14:14,Les Volants d'Or : ARTES triplement récompensé,https://www.ilboursa.com/marches/les-volants-d-or-artes-triplement-recompense_51161
19/02/25,11:39,ADEV lance une opération de reboisement « Plant a tree because there's no Planet B »,https://www.ilboursa.com/marches/adev-lance-une-operation-de-reboisement-plant-a-tree-because-there-s-no-planet-b-_51026
07/02/25,09:19,ARTES organise sa convention réseau 2025 : « Ensemble nous atteignons de nouveaux horizons »,https://www.ilboursa.com/marches/artes-organise-sa-convention-reseau-2025--ensemble-nous-atteignons-de-nouveaux-horizons-_50789
22/01/25,08:39,Les revenus du concessionnaire automobile ARTES s’envolent de 80% en 2024,https://www.ilboursa.com/marches/les-revenus-du-concessionnaire-automobile-artes-senvolent-de-80-en-2024_50417
22/10/24,15:27,Le chiffre d'affaires du concessionnaire ARTES s'envole de 70% à fin septembre,https://www.ilboursa.com/marches/le-chiffre-d-affaires-du-concessionnaire-artes-s-envole-de-70-a-fin-septembre_48889
17/09/24,08:39,ARTES a plus que doublé son bénéfice au premier semestre à 20 millions de dinars,https://www.ilboursa.com/marches/artes-a-plus-que-double-son-benefice-au-premier-semestre-a-20-millions-de-dinars_48175
23/07/24,13:12,ARTES améliore de plus de 50% son chiffre d'affaires semestriel à 120 millions de dinars,https://www.ilboursa.com/marches/artes-ameliore-de-plus-de-50-son-chiffre-d-affaires-semestriel-a-120-millions-de-dinars_47376
12/07/24,11:45,Nissan lance le nouveau Qashqai e-POWER en Tunisie,https://www.ilboursa.com/marches/nissan-lance-le-nouveau-qashqai-e-power-en-tunisie_47200
03/06/24,19:18,Le concessionnaire ARTES soutient les actions caritatives de l’association Carthage Horizon,https://www.ilboursa.com/marches/le-concessionnaire-artes-soutient-les-actions-caritatives-de-lassociation-carthage-horizon_46585
28/05/24,09:27,ARTES améliore de 18% son bénéfice net en 2023 à 27 millions de dinars,https://www.ilboursa.com/marches/artes-ameliore-de-18-son-benefice-net-en-2023-a-27-millions-de-dinars_46459
27/05/24,10:14,ARTES lance la 2ème édition 2024 des « Journées Après-Vente »,https://www.ilboursa.com/marches/artes-lance-la-2eme-edition-2024-des- journees-apres-vente _46440
23/05/24,11:01,Le concessionnaire automobile ARTES organise la « Journée des Loueurs »,https://www.ilboursa.com/marches/le-concessionnaire-automobile-artes-organise-la-journee-des-loueurs-_46395
23/04/24,19:38,Le concessionnaire automobile ARTES améliore de 22 % ses revenus au premier trimestre,https://www.ilboursa.com/marches/le-concessionnaire-automobile-artes-ameliore-de-22-ses-revenus-au-premier-trimestre_45889
18/03/24,13:33,Renault partenaire de Casa Tarab pour le Festival Musical « Layali Ramadhan »,https://www.ilboursa.com/marches/renault-partenaire-de-casa-tarab-pour-le-festival-musical-layali-ramadhan-_45314
26/02/24,12:05,Les « Volants d’Or 2023 » : Mention spéciale ''Meilleure Opération Marketing'' à Myriam MZABI,https://www.ilboursa.com/marches/les-volants-dor-2023--mention-speciale--meilleure-operation-marketing--a-myriam-mzabi_44999
14/02/24,09:39,ARTES lance la 1ère édition 2024 des Journées Après-Vente,https://www.ilboursa.com/marches/artes-lance-la-1ere edition-2024-des-journees-apres-vente_44832
01/02/24,07:49,ARTES organise sa Convention Réseau pour l'année 2024,https://www.ilboursa.com/marches/artes-organise-sa-convention-reseau-pour-l-annee-2024_44666
20/01/24,13:55,Le concessionnaire automobile ARTES augmente de 7% ses revenus en 2023,https://www.ilboursa.com/marches/le-concessionnaire-automobile-artes-augmente-de-7-ses-revenus-en-2023_44459
10/01/24,14:10,Une année boursière 2023 fort concluante pour le concessionnaire ARTES,https://www.ilboursa.com/marches/une-annee-boursiere-2023-fort-concluante-pour-le-concessionnaire-artes_44302
23/10/23,12:17,ARTES améliore de 23% ses revenus à fin septembre à 110 millions de dinars,https://www.ilboursa.com/marches/artes-ameliore-de-23-ses-revenus-a-fin-septembre-a-110-millions-de-dinars_43231
04/09/23,09:27,Le concessionnaire ARTES dégage un bénéfice semestriel de plus de 9 millions de dinars,https://www.ilboursa.com/marches/le-concessionnaire-artes-degage-un-benefice-semestriel-de-plus-de-9-millions-de-dinars_42378
