date_str,time_str,headline,url
11/06/26,09:33,La Cour d’appel autorise le réexamen du dossier douanier de la société ASSAD,https://www.ilboursa.com/marches/la-cour-dappel-autorise-le-reexamen-du-dossier-douanier-de-la-societe-assad_62194
10/06/26,16:02,"ASSAD : Résultat net en hausse de 6,6 millions de dinars et fonds propres renforcés de 39 millions de dinars",https://www.ilboursa.com/marches/assad-resultat-net-en-hausse-de-6-6-millions-de-dinars-et-fonds-propres-renforces-de-39-millions-de-dinars_62182
04/06/26,11:34,Un désendettement structurel majeur pour ASSAD au premier trimestre,https://www.ilboursa.com/marches/un-desendettement-structurel-majeur-pour-assad-au-premier-trimestre_62068
24/03/26,13:43,ASSAD décroche la certification ISO 50001: 2018,https://www.ilboursa.com/marches/assad-decroche-la-certification-iso-50001-2018_60627
18/02/26,13:43,ASSAD va élire un administrateur représentant des actionnaires minoritaires,https://www.ilboursa.com/marches/assad-va-elire-un-administrateur-representant-des-actionnaires-minoritaires_59890
17/01/26,09:22,ASSAD améliore ses revenus et réduit son endettement en 2025,https://www.ilboursa.com/marches/assad-ameliore-ses-revenus-et-reduit-son-endettement-en-2025_59089
05/12/25,17:46,Régularisation Douanière : La société ASSAD bénéfice de l’amnistie douanière,https://www.ilboursa.com/marches/regularisation-douaniere-la-societe-assad-benefice-de-lamnistie-douaniere_58186
17/10/25,15:49,ASSAD réduit son endettement et affiche une croissance soutenue au troisième trimestre,https://www.ilboursa.com/marches/assad-reduit-son-endettement-et-affiche-une-croissance-soutenue-au-troisieme-trimestre_56908
17/09/25,16:45,"Myriam MOUAKHAR, nouvelle directrice générale de la société ASSAD",https://www.ilboursa.com/marches/myriam-mouakhar-nouvelle-directrice-generale-de-la-societe-assad_55173
16/09/25,18:01,La société ASSAD repasse dans le vert au premier semestre 2025,https://www.ilboursa.com/marches/la-societe-assad-repasse-dans-le-vert-au-premier-semestre-2025_55143
18/07/25,13:27,ASSAD affiche une solide croissance au premier semestre 2025,https://www.ilboursa.com/marches/assad-affiche-une-solide-croissance-au-premier-semestre-2025_53913
14/07/25,16:51,Assemblée Générale de ASSAD : Entre consolidation financière et ambitions internationales,https://www.ilboursa.com/marches/assemblee-generale-de-assad-entre-consolidation-financiere-et-ambitions-internationales_53807
19/06/25,11:12,Le Groupe ASSAD multiplie par 15 son résultat d’exploitation en 2024,https://www.ilboursa.com/marches/le-groupe-assad-multiplie-par-15-son-resultat-dexploitation-en-2024_53308
