date_str,time_str,headline,url
16/04/26,16:43,Un premier trimestre 2026 sous le signe de la croissance pour ATL Leasing,https://www.ilboursa.com/marches/un-premier-trimestre-2026-sous-le-signe-de-la-croissance-pour-atl-leasing_61117
06/04/26,11:51,Croissance à deux chiffres des bénéfices pour ATL Leasing en 2025,https://www.ilboursa.com/marches/croissance-a-deux-chiffres-des-benefices-pour-atl-leasing-en-2025_60881
20/01/26,10:49,Bourse : L'action ATL Leasing à son plus haut historique,https://www.ilboursa.com/marches/bourse-l-action-atl-leasing-a-son-plus-haut-historique_59132
19/01/26,16:38,Les Mises en Force de l'ATL Leasing dépassent les 410 millions de dinars en 2025,https://www.ilboursa.com/marches/les-mises-en-force-de-l-atl-leasing-depassent-les-410-millions-de-dinars-en-2025_59123
08/12/25,08:26,ATL Leasing émet un emprunt obligataire de 50 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-emet-un-emprunt-obligataire-de-50-millions-de-dinars_58202
14/10/25,17:58,ATL Leasing enregistre une croissance solide de son activité à fin septembre 2025,https://www.ilboursa.com/marches/atl-leasing-enregistre-une-croissance-solide-de-son-activite-a-fin-septembre-2025_55821
17/07/25,10:03,L'ATL Leasing annonce des Mises en Forces de plus de 200 millions de dinars à fin juin,https://www.ilboursa.com/marches/l-atl-leasing-annonce-des-mises-en-forces-de-plus-de-200-millions-de-dinars-a-fin-juin_53873
14/07/25,08:32,ATL Leasing émet un emprunt obligataire de 40 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-emet-un-emprunt-obligataire-de-40-millions-de-dinars_53792
21/04/25,07:02,ATL Leasing améliore de 15% son produit net de leasing au premier trimestre,https://www.ilboursa.com/marches/atl-leasing-ameliore-de-15-son-produit-net-de-leasing-au-premier-trimestre_52191
21/02/25,09:47,ATL Leasing dégage un bénéfice de 22 millions de dinars en 2024,https://www.ilboursa.com/marches/atl-leasing-degage-un-benefice-de-22-millions-de-dinars-en-2024_51075
17/01/25,08:14,ATL Leasing clôture l’année 2024 en croissance,https://www.ilboursa.com/marches/atl-leasing-cloture-lannee-2024-en-croissance_50315
16/12/24,11:26,ATL Leasing lève avec succès 40 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/atl-leasing-leve-avec-succes-40-millions-de-dinars-sur-le-marche-obligataire_49835
22/11/24,11:34,ATL Leasing émet un emprunt obligataire de 20 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-emet-un-emprunt-obligataire-de-20-millions-de-dinars_49437
23/10/24,16:57,ATL Leasing affiche un Produit Net de Leasing en hausse de 10% à fin septembre,https://www.ilboursa.com/marches/atl-leasing-affiche-un-produit-net-de-leasing-en-hausse-de-10-a-fin-septembre_48914
04/09/24,15:39,ATL Leasing voit son bénéfice semestriel progresser de 25% à plus de 10 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-voit-son-benefice-semestriel-progresser-de-25-a-plus-de-10-millions-de-dinars_47954
19/07/24,08:27,ATL Leasing améliore de 10% son produit net de leasing au premier semestre,https://www.ilboursa.com/marches/atl-leasing-ameliore-de-10-son-produit-net-de-leasing-au-premier-semestre_47296
21/03/24,12:25,ATL Leasing frôle les 20 millions de dinars de bénéfices en 2023,https://www.ilboursa.com/marches/atl-leasing-frole-les-20-millions-de-dinars-de-benefices-en-2023_45363
20/02/24,18:46,ATL Leasing émet un emprunt obligataire de 30 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-emet-un-emprunt-obligataire-de-30-millions-de-dinars_44935
22/01/24,11:29,ATL Leasing dépasse les 330 millions de dinars de Mises en Force en 2023,https://www.ilboursa.com/marches/atl-leasing-depasse-les-330-millions-de-dinars-de-mises-en-force-en-2023_44485
20/10/23,10:11,ATL Leasing affiche des Mises en Force de 255 millions de dinars à fin septembre,https://www.ilboursa.com/marches/atl-leasing-affiche-des-mises-en-force-de-255-millions-de-dinars-a-fin-septembre_43187
04/10/23,10:13,ATL Leasing en quête d'administrateurs indépendants et d'un représentant des petits porteurs,https://www.ilboursa.com/marches/atl-leasing-en-quete-d-administrateurs-independants-et-d-un-representant-des-petits-porteurs_42900
13/09/23,13:51,ATL Leasing lève avec succès 60 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/atl-leasing-leve-avec-succes-60-millions-de-dinars-sur-le-marche-obligataire_42554
04/09/23,09:08,ATL Leasing améliore de 50% son bénéfice net au premier semestre à 8 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-ameliore-de-50-son-benefice-net-au-premier-semestre-a-8-millions-de-dinars_42377
21/07/23,14:00,Les Mises en Force de l'ATL Leasing dépassent les 180 millions de dinars à fin juin,https://www.ilboursa.com/marches/les-mises-en-force-de-l-atl-leasing-depassent-les-180-millions-de-dinars-a-fin-juin_41769
25/04/23,08:15,La bonne santé de l’ATL Leasing se confirme au premier trimestre de 2023,https://www.ilboursa.com/marches/la-bonne-sante-de-latl-leasing-se-confirme-au-premier-trimestre-de-2023_40350
03/04/23,08:31,"ATL Leasing : L'Assemblée Générale approuve la distribution d'un dividende de 0,270 dinar",https://www.ilboursa.com/marches/atl-leasing-l-assemblee-generale-approuve-la-distribution-d-un-dividende-de-0-270-dinar_39998
16/03/23,13:31,ATL Leasing : Une année 2022 exceptionnelle et une année 2023 déjà prometteuse,https://www.ilboursa.com/marches/atl-leasing-une-annee-2022-exceptionnelle-et-une-annee-2023-deja-prometteuse_39721
15/03/23,15:19,L'ATL Leasing annonce un bénéfice net de plus de 16 millions de dinars en 2022,https://www.ilboursa.com/marches/l-atl-leasing-annonce-un-benefice-net-de-plus-de-16-millions-de-dinars-en-2022_39704
08/03/23,09:03,L'ATL Leasing lève avec succès 60 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/l-atl-leasing-leve-avec-succes-60-millions-de-dinars-sur-le-marche-obligataire_39587
25/01/23,09:27,ATL Leasing émet un emprunt obligataire de 40 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-emet-un-emprunt-obligataire-de-40-millions-de-dinars_38951
24/01/23,15:16,ATL Leasing clôture 2022 avec des Mises en Force de 315 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-cloture-2022-avec-des-mises-en-force-de-315-millions-de-dinars_38936
19/09/22,08:21,ATL Leasing : L’emprunt obligataire de 40 millions de dinars clôturé dès l'ouverture des souscriptions,https://www.ilboursa.com/marches/atl-leasing-lemprunt-obligataire-de-40-millions-de-dinars-cloture-des-l-ouverture-des-souscriptions_36644
09/09/22,11:57,ATL Leasing émet un emprunt obligataire de 20 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-emet-un-emprunt-obligataire-de-20-millions-de-dinars_36522
02/09/22,08:48,L'ATL Leasing améliore de 70% son bénéfice net au premier semestre,https://www.ilboursa.com/marches/l-atl-leasing-ameliore-de-70-son-benefice-net-au-premier-semestre_36375
20/07/22,09:08,ATL Leasing améliore de 20% son Produit Net de Leasing,https://www.ilboursa.com/marches/atl-leasing-ameliore-de-20-son-produit-net-de-leasing_35686
25/04/22,09:11,L'ATL Leasing améliore de 7% ses Mises en Force au premier trimestre à 69 millions de dinars,https://www.ilboursa.com/marches/l-atl-leasing-ameliore-de-7-ses-mises-en-force-au-premier-trimestre-a-69-millions-de-dinars_34193
23/03/22,09:21,Zouhaier Tamboura : « ATL Leasing a enregistré en 2021 le meilleur bénéfice de son histoire »,https://www.ilboursa.com/marches/zouhaier-tamboura--atl-leasing-a-enregistre-en-2021-le-meilleur-benefice-de-son-histoire-_33536
21/03/22,16:56,ATL Leasing double son bénéfice net en 2021 à plus de 11 millions de dinars,https://www.ilboursa.com/marches/atl-leasing-double-son-benefice-net-en-2021-a-plus-de-11-millions-de-dinars_33506
04/02/22,11:17,ATL Leasing : BNA Capitaux recommande de renforcer la position sur le titre,https://www.ilboursa.com/marches/atl-leasing-bna-capitaux-recommande-de-renforcer-la-position-sur-le-titre_32719
