date_str,time_str,headline,url
21/05/26,11:39,BH Leasing franchit un cap et annonce sa pleine conformité avec le nouveau dispositif de facturation électronique en Tunisie,https://www.ilboursa.com/marches/bh-leasing-franchit-un-cap-et-annonce-sa-pleine-conformite-avec-le-nouveau-dispositif-de-facturation-electronique-en-tunisie_61850
11/03/26,10:43,Le bénéfice de BH Leasing recule de 30% en 2025 sous le poids des nouvelles charges sociales,https://www.ilboursa.com/marches/le-benefice-de-bh-leasing-recule-de-30-en-2025-sous-le-poids-des-nouvelles-charges-sociales_60377
06/11/25,16:36,BH Leasing : Nomination de Thouraya Mzoughi à la tête de la direction générale par intérim,https://www.ilboursa.com/marches/bh-leasing-nomination-de-thouraya-mzoughi-a-la-tete-de-la-direction-generale-par-interim_57436
29/07/25,14:44,Brahim AMMAR nommé nouveau Directeur Général de BH Leasing,https://www.ilboursa.com/marches/brahim-ammar-nomme-nouveau-directeur-general-de-bh-leasing_54110
07/03/25,13:54,BH Leasing améliore de 26% son bénéfice net en 2024 à près de 4 millions de dinars,https://www.ilboursa.com/marches/bh-leasing-ameliore-de-26-son-benefice-net-en-2024-a-pres-de-4-millions-de-dinars_51382
28/02/25,08:07,BH Leasing tiendra une Assemblée Générale Elective le 25 mars 2025,https://www.ilboursa.com/marches/bh-leasing-tiendra-une-assemblee-generale-elective-le-25-mars-2025_51222
11/09/24,10:59,BH Leasing augmente de 55% ses bénéfices au premier semestre,https://www.ilboursa.com/marches/bh-leasing-augmente-de-55-ses-benefices-au-premier-semestre_48077
23/07/24,12:04,BH Leasing lève 15 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/bh-leasing-leve-15-millions-de-dinars-sur-le-marche-obligataire_47372
16/07/24,09:05,BH Leasing émet un emprunt obligataire de 15 millions de dinars,https://www.ilboursa.com/marches/bh-leasing-emet-un-emprunt-obligataire-de-15-millions-de-dinars_47237
03/06/24,16:26,Thouraya MZOUGHI nommée nouvelle Directrice Générale par intérim de BH Leasing,https://www.ilboursa.com/marches/thouraya-mzoughi-nommee-nouvelle-directrice-generale-par-interim-de-bh-leasing_46575
25/04/24,09:35,BH Leasing améliore de plus de 10% ses produits nets de leasing au premier trimestre,https://www.ilboursa.com/marches/bh-leasing-ameliore-de-plus-de-10-ses-produits-nets-de-leasing-au-premier-trimestre_45913
07/03/24,12:43,BH Leasing augmente de 60% son bénéfice net en 2023 à plus de 3 millions de dinars,https://www.ilboursa.com/marches/bh-leasing-augmente-de-60-son-benefice-net-en-2023-a-plus-de-3-millions-de-dinars_45175
06/11/23,18:17,Brahim AMMAR nommé Directeur Général par intérim de BH Leasing,https://www.ilboursa.com/marches/brahim-ammar-nomme-directeur-general-par-interim-de-bh-leasing_43446
13/09/23,14:02,BH Leasing multiplie par trois son bénéfice net au premier semestre,https://www.ilboursa.com/marches/bh-leasing-multiplie-par-trois-son-benefice-net-au-premier-semestre_42555
16/05/23,14:58,Le Groupe Alliance One monte à 5% du capital de BH Leasing,https://www.ilboursa.com/marches/le-groupe-alliance-one-monte-a-5-du-capital-de-bh-leasing_40749
16/05/23,08:54,BH Leasing lève 12 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/bh-leasing-leve-12-millions-de-dinars-sur-le-marche-obligataire_40732
05/05/23,12:34,BH Leasing émet un emprunt obligataire de 10 millions de dinars,https://www.ilboursa.com/marches/bh-leasing-emet-un-emprunt-obligataire-de-10-millions-de-dinars_40557
09/03/23,15:53,BH Leasing améliore de 70% son bénéfice net en 2022 à 2 millions de dinars,https://www.ilboursa.com/marches/bh-leasing-ameliore-de-70-son-benefice-net-en-2022-a-2-millions-de-dinars_39619
23/01/23,13:05,BH Leasing réalise des Mises en Force de plus de 120 millions de dinars en 2022,https://www.ilboursa.com/marches/bh-leasing-realise-des-mises-en-force-de-plus-de-120-millions-de-dinars-en-2022_38906
14/09/22,07:59,BH Leasing réalise un bénéfice net de 550 mille dinars au premier semestre,https://www.ilboursa.com/marches/bh-leasing-realise-un-benefice-net-de-550-mille-dinars-au-premier-semestre_36576
31/03/22,14:56,BH Leasing renoue avec les bénéfices en 2021,https://www.ilboursa.com/marches/bh-leasing-renoue-avec-les-benefices-en-2021_33727
28/02/22,12:24,BH Leasing lève avec succès 12 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/bh-leasing-leve-avec-succes-12-millions-de-dinars-sur-le-marche-obligataire_33103
21/02/22,08:35,BH Leasing émet un emprunt obligataire subordonné de 10 millions de dinars,https://www.ilboursa.com/marches/bh-leasing-emet-un-emprunt-obligataire-subordonne-de-10-millions-de-dinars_32978
14/09/21,09:04,BH Leasing renoue avec les bénéfices au premier semestre,https://www.ilboursa.com/marches/bh-leasing-renoue-avec-les-benefices-au-premier-semestre_30210
22/09/20,10:40,BH Leasing réduit de moitié sa perte nette au premier semestre,https://www.ilboursa.com/marches/bh-leasing-reduit-de-moitie-sa-perte-nette-au-premier-semestre_24232
30/03/20,13:43,Une nouvelle équipe prend la direction de la compagnie BH Leasing,https://www.ilboursa.com/marches/une-nouvelle-equipe-prend-la-direction-de-la-compagnie-bh-leasing_21515
19/03/20,09:55,BH Leasing essuie une perte de plus de 8 millions de dinars en 2019,https://www.ilboursa.com/marches/bh-leasing-essuie-une-perte-de-plus-de-8-millions-de-dinars-en-2019_21305
15/01/20,15:00,Moderne Leasing dévoile sa nouvelle identité visuelle,https://www.ilboursa.com/marches/moderne-leasing-devoile-sa-nouvelle-identite-visuelle_20378
28/10/19,13:19,BH Leasing (ex Modern Leasing) creuse ses pertes au premier semestre,https://www.ilboursa.com/marches/bh-leasing-ex-modern-leasing-creuse-ses-pertes-au-premier-semestre_19402
