date_str,time_str,headline,url
15/06/26,08:33,Mobilité électrique en Tunisie : BNA Assurances lance les « Rencontres de la Mobilité – Drive Green »,https://www.ilboursa.com/marches/mobilite-electrique-en-tunisie-bna-assurances-lance-les-rencontres-de-la-mobilite-–-drive-green-_62259
12/05/26,10:12,Une année 2025 historique pour BNA Assurances sous le signe de la transformation et de la croissance,https://www.ilboursa.com/marches/une-annee-2025-historique-pour-bna-assurances-sous-le-signe-de-la-transformation-et-de-la-croissance_61659
20/04/26,17:35,Croissance à deux chiffres pour BNA Assurances au premier trimestre de 2026,https://www.ilboursa.com/marches/croissance-a-deux-chiffres-pour-bna-assurances-au-premier-trimestre-de-2026_61189
14/04/26,13:46,Électromobilité : BNA Assurances installe ses premières bornes de recharge gratuites,https://www.ilboursa.com/marches/electromobilite-bna-assurances-installe-ses-premieres-bornes-de-recharge-gratuites_61039
07/04/26,17:38,BNA Assurances dégage un bénéfice net record de 17 millions de dinars en 2025,https://www.ilboursa.com/marches/bna-assurances-degage-un-benefice-net-record-de-17-millions-de-dinars-en-2025_60914
17/02/26,20:54,BNA Assurances lance un processus de recrutement d'un nouveau Directeur Général,https://www.ilboursa.com/marches/bna-assurances-lance-un-processus-de-recrutement-d-un-nouveau-directeur-general_59872
21/01/26,16:00,BNA Assurances boucle 2025 sur une croissance solide,https://www.ilboursa.com/marches/bna-assurances-boucle-2025-sur-une-croissance-solide_59178
22/10/25,13:32,BNA Assurances franchit les 136 millions de dinars de chiffre d’affaires à fin septembre,https://www.ilboursa.com/marches/bna-assurances-franchit-les-136-millions-de-dinars-de-chiffre-daffaires-a-fin-septembre_57025
07/10/25,15:19,BNA Assurances organise la 6ᵉ session de son séminaire sur l’électromobilité,https://www.ilboursa.com/marches/bna-assurances-organise-la-6ᵉ-session-de-son-seminaire-sur-lelectromobilite_55644
19/09/25,09:19,BNA Capitaux émet une recommandation positive sur le titre BNA Assurances,https://www.ilboursa.com/marches/bna-capitaux-emet-une-recommandation-positive-sur-le-titre-bna-assurances_55217
11/09/25,13:51,BNA Assurances dégage un bénéfice de plus de 7 millions de dinars au premier semestre,https://www.ilboursa.com/marches/bna-assurances-degage-un-benefice-de-plus-de-7-millions-de-dinars-au-premier-semestre_55017
14/08/25,12:38,BNA Assurances sonne la cloche et rejoint la cote de la Bourse de Tunis,https://www.ilboursa.com/marches/bna-assurances-sonne-la-cloche-et-rejoint-la-cote-de-la-bourse-de-tunis_54406
06/08/25,14:48,BNA Assurances obtient le visa du CMF pour s'introduire en Bourse,https://www.ilboursa.com/marches/bna-assurances-obtient-le-visa-du-cmf-pour-s-introduire-en-bourse_54277
03/07/25,16:23,BNA Assurances entame une nouvelle étape stratégique,https://www.ilboursa.com/marches/bna-assurances-entame-une-nouvelle-etape-strategique_53594
25/06/25,08:03,BNA Assurances obtient l'accord de principe pour s'introduire en bourse,https://www.ilboursa.com/marches/bna-assurances-obtient-l-accord-de-principe-pour-s-introduire-en-bourse_53420
24/06/25,12:00,Sécurité et performance énergétique : Deux jours d’expertise avec BNA Assurances,https://www.ilboursa.com/marches/securite-et-performance-energetique-deux-jours-dexpertise-avec-bna-assurances_53404
11/06/25,08:39,Faker RAIS nommé nouveau Directeur Général de BNA Assurances,https://www.ilboursa.com/marches/faker-rais-nomme-nouveau-directeur-general-de-bna-assurances_53120
12/05/25,09:36,BNA Assurances double ses bénéfices à plus de 16 millions de dinars en 2024,https://www.ilboursa.com/marches/bna-assurances-double-ses-benefices-a-plus-de-16-millions-de-dinars-en-2024_52588
22/04/25,10:50,BNA Assurances stabilise son chiffre d'affaires au premier trimestre à 45 millions de dinars,https://www.ilboursa.com/marches/bna-assurances-stabilise-son-chiffre-d-affaires-au-premier-trimestre-a-45-millions-de-dinars_52218
01/02/25,09:56,BNA Assurances lève le voile sur sa nouvelle identité et son nouveau logo,https://www.ilboursa.com/marches/bna-assurances-leve-le-voile-sur-sa-nouvelle-identite-et-son-nouveau-logo_50660
22/01/25,12:10,"BNA Assurances, anciennement AMI Assurances, réalise des revenus de 173 millions de dinars en 2024",https://www.ilboursa.com/marches/bna-assurances-anciennement-ami-assurances-realise-des-revenus-de-173-millions-de-dinars-en-2024_50435
18/11/24,17:50,AMI Assurances change de nom et devient BNA Assurances,https://www.ilboursa.com/marches/ami-assurances-change-de-nom-et-devient-bna-assurances_49358
13/11/24,09:03,AMI Assurances augmente de 75% son bénéfice net au premier semestre,https://www.ilboursa.com/marches/ami-assurances-augmente-de-75-son-benefice-net-au-premier-semestre_49267
24/10/24,09:43,AMI Assurances stabilise ses revenus à fin septembre à 124 millions de dinars,https://www.ilboursa.com/marches/ami-assurances-stabilise-ses-revenus-a-fin-septembre-a-124-millions-de-dinars_48923
29/07/24,17:44,AMI Assurances réalise un chiffre d'affaires de 84 millions de dinars au premier semestre,https://www.ilboursa.com/marches/ami-assurances-realise-un-chiffre-d-affaires-de-84-millions-de-dinars-au-premier-semestre_47469
17/05/24,15:51,AMI Assurances augmente de 50% ses bénéfices en 2023 à plus de 8 millions de dinars,https://www.ilboursa.com/marches/ami-assurances-augmente-de-50-ses-benefices-en-2023-a-plus-de-8-millions-de-dinars_46296
13/05/24,15:59,AMI Assurances réalise un chiffre d'affaires de 45 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/ami-assurances-realise-un-chiffre-d-affaires-de-45-millions-de-dinars-au-premier-trimestre_46199
