date_str,time_str,headline,url
15/06/26,10:07,"La BT à vos côtés à bord des ferries CTN, de Marseille et Gênes jusqu’à la Tunisie",https://www.ilboursa.com/marches/la-bt-a-vos-cotes-a-bord-des-ferries-ctn-de-marseille-et-genes-jusqua-la-tunisie_62262
29/04/26,07:55,"Banque de Tunisie : Une année 2025 de résilience, de performance et de transformation décisive",https://www.ilboursa.com/marches/banque-de-tunisie-une-annee-2025-de-resilience-de-performance-et-de-transformation-decisive_61379
23/04/26,12:23,La Banque de Tunisie améliore de 7% son PNB au premier trimestre,https://www.ilboursa.com/marches/la-banque-de-tunisie-ameliore-de-7-son-pnb-au-premier-trimestre_61270
24/03/26,18:37,Le Groupe Banque de Tunisie franchit le cap des 200 millions de dinars de bénéfice en 2025,https://www.ilboursa.com/marches/le-groupe-banque-de-tunisie-franchit-le-cap-des-200-millions-de-dinars-de-benefice-en-2025_60632
20/01/26,18:36,La Banque de Tunisie réalise un PNB de plus de 530 millions de dinars en 2025,https://www.ilboursa.com/marches/la-banque-de-tunisie-realise-un-pnb-de-plus-de-530-millions-de-dinars-en-2025_59155
22/12/25,10:32,La Banque de Tunisie distinguée par Euromoney “Best Transaction Bank Award 2025”,https://www.ilboursa.com/marches/la-banque-de-tunisie-distinguee-par-euromoney-best-transaction-bank-award-2025_58569
15/12/25,12:30,"Le Prix « Bank of the Year », une autre distinction pour la banque de Tunisie en 2025",https://www.ilboursa.com/marches/le-prix-bank-of-the-year--une-autre-distinction-pour-la-banque-de-tunisie-en-2025_58409
17/11/25,08:01,La Banque de Tunisie cède 20.000 actions Air Liquide Tunisie pour 3 millions de dinars,https://www.ilboursa.com/marches/la-banque-de-tunisie-cede-20000-actions-air-liquide-tunisie-pour-3-millions-de-dinars_57690
21/10/25,10:01,Le PNB de la Banque de Tunisie dépasse les 380 millions de dinars à fin septembre,https://www.ilboursa.com/marches/le-pnb-de-la-banque-de-tunisie-depasse-les-380-millions-de-dinars-a-fin-septembre_56985
07/10/25,18:08,"Bourse - Banque de Tunisie : Réalisation d'une transaction de bloc pour 5,4 millions de dinars",https://www.ilboursa.com/marches/bourse--banque-de-tunisie-realisation-d-une-transaction-de-bloc-pour-5-4-millions-de-dinars_55656
02/09/25,13:45,La Banque de Tunisie annonce un bénéfice net semestriel de 85 millions de dinars,https://www.ilboursa.com/marches/la-banque-de-tunisie-annonce-un-benefice-net-semestriel-de-85-millions-de-dinars_54815
23/07/25,11:39,Banque de Tunisie : Progression des dépôts et stabilité du PNB au premier semestre 2025,https://www.ilboursa.com/marches/banque-de-tunisie-progression-des-depots-et-stabilite-du-pnb-au-premier-semestre-2025_53991
14/07/25,12:12,La Banque de Tunisie obtient la certification MSI 20000®,https://www.ilboursa.com/marches/la-banque-de-tunisie-obtient-la-certification-msi-20000_53802
16/06/25,13:11,La Banque de Tunisie renforce sa proximité avec les Tunisiens de l’étranger à bord des ferries CTN,https://www.ilboursa.com/marches/la-banque-de-tunisie-renforce-sa-proximite-avec-les-tunisiens-de-letranger-a-bord-des-ferries-ctn_53217
03/06/25,09:22,La Banque de Tunisie primée par la BERD pour son rôle clé dans le commerce international,https://www.ilboursa.com/marches/la-banque-de-tunisie-primee-par-la-berd-pour-son-role-cle-dans-le-commerce-international_52990
21/05/25,15:21,La Banque de Tunisie lance un concours de création de trophée du Prix Abou El Kacem Chebbi,https://www.ilboursa.com/marches/la-banque-de-tunisie-lance-un-concours-de-creation-de-trophee-du-prix-abou-el-kacem-chebbi_52777
06/05/25,12:58,Tunisie Valeurs recommande le titre Banque de Tunisie à l'achat,https://www.ilboursa.com/marches/tunisie-valeurs-recommande-le-titre-banque-de-tunisie-a-l-achat_52500
05/05/25,08:40,"Assemblée Générale de la Banque de Tunisie : 2024, une année de consolidation et de performance",https://www.ilboursa.com/marches/assemblee-generale-de-la-banque-de-tunisie-2024-une-annee-de-consolidation-et-de-performance_52455
24/04/25,08:59,La Banque de Tunisie conforte sa dynamique de croissance au premier trimestre 2025,https://www.ilboursa.com/marches/la-banque-de-tunisie-conforte-sa-dynamique-de-croissance-au-premier-trimestre-2025_52272
22/04/25,10:08,La Banque de Tunisie obtient la certification AML 30000,https://www.ilboursa.com/marches/la-banque-de-tunisie-obtient-la-certification-aml-30000_52216
16/04/25,17:27,La Banque de Tunisie dégage un bénéfice net de 188 millions de dinars en 2024,https://www.ilboursa.com/marches/la-banque-de-tunisie-degage-un-benefice-net-de-188-millions-de-dinars-en-2024_52125
26/03/25,12:33,"La Banque de Tunisie propose la distribution d'un dividende de 0,350 dinar par action",https://www.ilboursa.com/marches/la-banque-de-tunisie-propose-la-distribution-d-un-dividende-de-0-350-dinar-par-action_51721
19/03/25,08:25,La Banque de Tunisie lance un appel à candidature pour le poste d'Administrateur Indépendant,https://www.ilboursa.com/marches/la-banque-de-tunisie-lance-un-appel-a-candidature-pour-le-poste-d-administrateur-independant_51582
21/01/25,20:14,La Banque de Tunisie voit son PNB croître de 7% à 510 millions de dinars en 2024,https://www.ilboursa.com/marches/la-banque-de-tunisie-voit-son-pnb-croitre-de-7-a-510-millions-de-dinars-en-2024_50416
07/01/25,11:03,"La SBT, filiale du groupe BT, se fait une place de choix dans le marché des OPCVM en 2024",https://www.ilboursa.com/marches/la-sbt-filiale-du-groupe-bt-se-fait-une-place-de-choix-dans-le-marche-des-opcvm-en-2024_50144
05/12/24,13:25,La Banque de Tunisie primée meilleure banque en Tunisie par ''The Banker'',https://www.ilboursa.com/marches/la-banque-de-tunisie-primee-meilleure-banque-en-tunisie-par--the-banker-_49660
18/10/24,11:26,La Banque de Tunisie améliore de 12% son PNB à fin septembre à 376 millions de dinars,https://www.ilboursa.com/marches/la-banque-de-tunisie-ameliore-de-12-son-pnb-a-fin-septembre-a-376-millions-de-dinars_48795
08/10/24,08:16,La Banque de Tunisie convoque ses actionnaires minoritaires en Assemblée Générale Elective,https://www.ilboursa.com/marches/la-banque-de-tunisie-convoque-ses-actionnaires-minoritaires-en-assemblee-generale-elective_48591
03/09/24,07:51,La Banque de Tunisie dégage un bénéfice de plus de 80 millions de dinars à fin juin,https://www.ilboursa.com/marches/la-banque-de-tunisie-degage-un-benefice-de-plus-de-80-millions-de-dinars-a-fin-juin_47928
22/07/24,10:06,La Banque de Tunisie annonce un PNB de 260 millions de dinars au premier semestre,https://www.ilboursa.com/marches/la-banque-de-tunisie-annonce-un-pnb-de-260-millions-de-dinars-au-premier-semestre_47336
23/05/24,14:52,Bourse de Tunis : Journée d'information avec les cadres de la Banque de Tunisie,https://www.ilboursa.com/marches/bourse-de-tunis-journee-d-information-avec-les-cadres-de-la-banque-de-tunisie_46398
19/04/24,18:09,La Banque de Tunisie augmente de 10% son PNB trimestriel à 122 millions de dinars,https://www.ilboursa.com/marches/la-banque-de-tunisie-augmente-de-10-son-pnb-trimestriel-a-122-millions-de-dinars_45812
18/04/24,10:04,La Banque de Tunisie définit sa nouvelle vision stratégique,https://www.ilboursa.com/marches/la-banque-de-tunisie-definit-sa-nouvelle-vision-strategique_45774
02/04/24,08:03,La Banque de Tunisie dégage un bénéfice net de 170 millions de dinars en 2023,https://www.ilboursa.com/marches/la-banque-de-tunisie-degage-un-benefice-net-de-170-millions-de-dinars-en-2023_45533
08/02/24,08:40,Administrateur représentant les petits porteurs: La Banque de Tunisie relance son appel à candidature,https://www.ilboursa.com/marches/administrateur-representant-les-petits-porteurs-la-banque-de-tunisie-relance-son-appel-a-candidature_44764
23/01/24,18:22,La Banque de Tunisie va élire un administrateur représentant les actionnaires minoritaires,https://www.ilboursa.com/marches/la-banque-de-tunisie-va-elire-un-administrateur-representant-les-actionnaires-minoritaires_44527
20/01/24,15:32,La Banque de Tunisie améliore son PNB de 13% à 478 millions de dinars en 2023,https://www.ilboursa.com/marches/la-banque-de-tunisie-ameliore-son-pnb-de-13-a-478-millions-de-dinars-en-2023_44460
19/10/23,17:26,La Banque de Tunisie réalise un PNB de 336 millions de dinars à fin septembre,https://www.ilboursa.com/marches/la-banque-de-tunisie-realise-un-pnb-de-336-millions-de-dinars-a-fin-septembre_43175
01/09/23,09:09,La Banque de Tunisie améliore de 16% ses bénéfices semestriels à 76 millions de dinars,https://www.ilboursa.com/marches/la-banque-de-tunisie-ameliore-de-16-ses-benefices-semestriels-a-76-millions-de-dinars_42352
18/07/23,14:52,La Banque de Tunisie améliore de 11% son PNB semestriel à 227 millions de dinars,https://www.ilboursa.com/marches/la-banque-de-tunisie-ameliore-de-11-son-pnb-semestriel-a-227-millions-de-dinars_41702
