date_str,time_str,headline,url
09/06/26,11:24,La BTE et Universal Motors (Volvo Tunisie) scellent un partenariat pour promouvoir la mobilité durable en Tunisie,https://www.ilboursa.com/marches/la-bte-et-universal-motors-volvo-tunisie-scellent-un-partenariat-pour-promouvoir-la-mobilite-durable-en-tunisie_62147
11/05/26,09:03,"ONU-Habitat en Tunisie, la BTE et la Municipalité de Kerkennah signent un protocole d’accord",https://www.ilboursa.com/marches/onu-habitat-en-tunisie-la-bte-et-la-municipalite-de-kerkennah-signent-un-protocole-daccord_61625
10/04/26,18:48,Une réduction drastique des pertes de la BTE en 2025,https://www.ilboursa.com/marches/une-reduction-drastique-des-pertes-de-la-bte-en-2025_60991
23/01/26,10:35,BTE Bank consolide sa dynamique de croissance en 2025,https://www.ilboursa.com/marches/bte-bank-consolide-sa-dynamique-de-croissance-en-2025_59230
20/01/26,13:57,La BTE et CnBees scellent un partenariat pour le développement du crowdfunding en Tunisie,https://www.ilboursa.com/marches/la-bte-et-cnbees-scellent-un-partenariat-pour-le-developpement-du-crowdfunding-en-tunisie_59137
30/12/25,07:31,La startup PayDay et la BTE lancent une nouvelle dynamique bancaire à fort impact RSE,https://www.ilboursa.com/marches/la-startup-payday-et-la-bte-lancent-une-nouvelle-dynamique-bancaire-a-fort-impact-rse_58688
11/11/25,17:20,La BTE finalise avec succès sa migration vers le standard SWIFT ISO 20022,https://www.ilboursa.com/marches/la-bte-finalise-avec-succes-sa-migration-vers-le-standard-swift-iso-20022_57566
22/10/25,09:32,La BTE Bank améliore de 6% son PNB à fin septembre à 52 millions de dinars,https://www.ilboursa.com/marches/la-bte-bank-ameliore-de-6-son-pnb-a-fin-septembre-a-52-millions-de-dinars_57018
14/10/25,13:30,"ONU-Habitat, la BTE et la FTED signent un protocole d’accord pour la résilience et le développement durable à Kerkennah",https://www.ilboursa.com/marches/onu-habitat-la-bte-et-la-fted-signent-un-protocole-daccord-pour-la-resilience-et-le-developpement-durable-a-kerkennah_55812
03/10/25,11:21,La BTE s’associe à FinConnect pour le déploiement de la solution innovante ALM,https://www.ilboursa.com/marches/la-bte-sassocie-a-finconnect-pour-le-deploiement-de-la-solution-innovante-alm_55560
14/09/25,15:24,La BTE relance la cession de son ancien siège social,https://www.ilboursa.com/marches/la-bte-relance-la-cession-de-son-ancien-siege-social_55097
13/09/25,15:21,La BTE relance la cession de son ancien siège social,https://www.ilboursa.com/marches/la-bte-relance-la-cession-de-son-ancien-siege-social_55096
02/09/25,12:23,La BTE réduit ses pertes au premier semestre et vise l'équilibre financier,https://www.ilboursa.com/marches/la-bte-reduit-ses-pertes-au-premier-semestre-et-vise-l-equilibre-financier_54813
26/07/25,10:40,"PNB et encours de crédits en progression, la BTE signe un premier semestre solide",https://www.ilboursa.com/marches/pnb-et-encours-de-credits-en-progression-la-bte-signe-un-premier-semestre-solide_54050
14/07/25,10:56,La BTE recrute un Directeur Central des Systèmes d'Information,https://www.ilboursa.com/marches/la-bte-recrute-un-directeur-central-des-systemes-d-information_53797
09/07/25,10:17,"La BTE lance « NEO BTE », la 1ère plateforme bancaire en Tunisie 100% digitale",https://www.ilboursa.com/marches/la-bte-lance- neo-bte -la-1ere-plateforme-bancaire-en-tunisie-100-digitale_53707
04/06/25,10:18,La BTE met en lumière son partenariat stratégique avec la fintech KAOUN autour de l’offre bancaire 100 % digitale,https://www.ilboursa.com/marches/la-bte-met-en-lumiere-son-partenariat-strategique-avec-la-fintech-kaoun-autour-de-loffre-bancaire-100-digitale_53029
05/05/25,14:29,Assemblée Générale de la BTE : Cap sur l'innovation digitale et la bancarisation inclusive,https://www.ilboursa.com/marches/assemblee-generale-de-la-bte-cap-sur-l-innovation-digitale-et-la-bancarisation-inclusive_52470
29/04/25,19:21,La BTE accroît de 6% son PNB au premier trimestre,https://www.ilboursa.com/marches/la-bte-accroit-de-6-son-pnb-au-premier-trimestre_52408
28/04/25,09:09,La BTE réduit ses pertes en 2024 et poursuit sa restructuration progressive,https://www.ilboursa.com/marches/la-bte-reduit-ses-pertes-en-2024-et-poursuit-sa-restructuration-progressive_52342
21/04/25,10:04,"La BTE, partenaire officiel de la ''UAE President Cup'' pour la 2ᵉ année consécutive",https://www.ilboursa.com/marches/la-bte-partenaire-officiel-de-la--uae-president-cup--pour-la-2ᵉ-annee-consecutive_52198
28/02/25,15:51,La BTE engage une campagne contre l’utilisation du plastique pendant le mois du Ramadan,https://www.ilboursa.com/marches/la-bte-engage-une-campagne-contre-lutilisation-du-plastique-pendant-le-mois-du-ramadan_51244
12/02/25,15:55,La BTE lance un appel d’offres pour l’acquisition d’une solution de Gestion de Risque ALM,https://www.ilboursa.com/marches/la-bte-lance-un-appel-doffres-pour-lacquisition-dune-solution-de-gestion-de-risque-alm_50895
11/02/25,10:05,La BTE met en vente un terrain aménagé destiné à la construction à El Manar III,https://www.ilboursa.com/marches/la-bte-met-en-vente-un-terrain-amenage-destine-a-la-construction-a-el-manar-iii_50846
10/02/25,17:46,La Banque de Tunisie et des Emirats relance la vente de son ancien siège social,https://www.ilboursa.com/marches/la-banque-de-tunisie-et-des-emirats-relance-la-vente-de-son-ancien-siege-social_50836
31/01/25,20:02,La BTE Bank met en vente un hôtel à Djerba,https://www.ilboursa.com/marches/la-bte-bank-met-en-vente-un-hotel-a-djerba_50659
29/01/25,10:03,Accord de partenariat entre la BTE et l’Agence Italienne pour la Coopération au Développement,https://www.ilboursa.com/marches/accord-de-partenariat-entre-la-bte-et-lagence-italienne-pour-la-cooperation-au-developpement_50585
24/01/25,10:24,La BTE lance un appel à candidature pour le choix du Directeur Général de la BTE SICAR,https://www.ilboursa.com/marches/la-bte-lance-un-appel-a-candidature-pour-le-choix-du-directeur-general-de-la-bte-sicar_50487
22/01/25,08:48,La BTE réalise un PNB en hausse de 5% en 2024 à 68 millions de dinars,https://www.ilboursa.com/marches/la-bte-realise-un-pnb-en-hausse-de-5-en-2024-a-68-millions-de-dinars_50418
13/01/25,17:24,La BTE lance un appel à candidature pour la désignation d’un administrateur indépendant,https://www.ilboursa.com/marches/la-bte-lance-un-appel-a-candidature-pour-la-designation-dun-administrateur-independant_50249
12/11/24,09:52,"La Banque de Tunisie et des Émirats inaugure son nouveau centre de formation intégré ""Skill-Up BTE""",https://www.ilboursa.com/marches/la-banque-de-tunisie-et-des-emirats-inaugure-son-nouveau-centre-de-formation-integre-skill-up-bte_49249
