date_str,time_str,headline,url
28/04/26,08:26,Carthage Cement va verser des dividendes pour le première fois de son histoire,https://www.ilboursa.com/marches/carthage-cement-va-verser-des-dividendes-pour-le-premiere-fois-de-son-histoire_61354
21/04/26,11:34,Carthage Cement : Une résilience à l’épreuve d’un marché en repli,https://www.ilboursa.com/marches/carthage-cement-une-resilience-a-lepreuve-dun-marche-en-repli_61204
21/01/26,08:44,Carthage Cement stabilise son activité en 2025 grâce au rebond des exportations,https://www.ilboursa.com/marches/carthage-cement-stabilise-son-activite-en-2025-grace-au-rebond-des-exportations_59158
15/12/25,08:07,"Carthage Cement : Réalisation de cinq transactions de bloc pour 7,5 millions de dinars",https://www.ilboursa.com/marches/carthage-cement-realisation-de-cinq-transactions-de-bloc-pour-7-5-millions-de-dinars_58392
10/12/25,09:26,Carthage Cement : Redressement réussi et perspectives de valeur,https://www.ilboursa.com/marches/carthage-cement-redressement-reussi-et-perspectives-de-valeur_58277
28/07/25,11:27,Carthage Cement redresse la barre au deuxième trimestre 2025,https://www.ilboursa.com/marches/carthage-cement-redresse-la-barre-au-deuxieme-trimestre-2025_54075
09/06/25,14:13,Carthage Cement va élire un Administrateur représentant des petits porteurs,https://www.ilboursa.com/marches/carthage-cement-va-elire-un-administrateur-representant-des-petits-porteurs_53089
14/05/25,18:30,Lazhar STA condamné à payer 28 millions d'euros à Carthage Cement,https://www.ilboursa.com/marches/lazhar-sta-condamne-a-payer-28-millions-d-euros-a-carthage-cement_52668
23/04/25,14:12,La nouvelle loi relative aux chèques affecte la dynamique commerciale de Carthage Cement,https://www.ilboursa.com/marches/la-nouvelle-loi-relative-aux-cheques-affecte-la-dynamique-commerciale-de-carthage-cement_52259
22/04/25,18:03,Carthage Cement dégage un bénéfice record de 70 millions de dinars en 2024,https://www.ilboursa.com/marches/carthage-cement-degage-un-benefice-record-de-70-millions-de-dinars-en-2024_52239
24/01/25,08:49,"Résiliente en 2024, Carthage Cement affiche des revenus de plus de 420 millions de dinars",https://www.ilboursa.com/marches/resiliente-en-2024-carthage-cement-affiche-des-revenus-de-plus-de-420-millions-de-dinars_50477
22/10/24,13:33,Carthage Cement affiche des revenus de 325 millions de dinars à fin septembre,https://www.ilboursa.com/marches/carthage-cement-affiche-des-revenus-de-325-millions-de-dinars-a-fin-septembre_48879
17/09/24,09:32,Carthage Cement améliore de 50% ses bénéfices semestriels à 35 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-ameliore-de-50-ses-benefices-semestriels-a-35-millions-de-dinars_48178
22/07/24,09:26,Carthage Cement réalise plus de 210 millions de dinars de revenus à fin juin,https://www.ilboursa.com/marches/carthage-cement-realise-plus-de-210-millions-de-dinars-de-revenus-a-fin-juin_47334
27/06/24,15:12,"Carthage Cement, un titre à fort potentiel de hausse",https://www.ilboursa.com/marches/carthage-cement-un-titre-a-fort-potentiel-de-hausse_46974
03/06/24,09:29,Carthage Cement va élire un Administrateur représentant des actionnaires minoritaires,https://www.ilboursa.com/marches/carthage-cement-va-elire-un-administrateur-representant-des-actionnaires-minoritaires_46555
23/05/24,17:25,Carthage Cement annonce un bénéfice historique de 55 millions de dinars en 2023,https://www.ilboursa.com/marches/carthage-cement-annonce-un-benefice-historique-de-55-millions-de-dinars-en-2023_46400
23/04/24,18:24,Carthage Cement stabilise son chiffre d'affaires à 112 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/carthage-cement-stabilise-son-chiffre-d-affaires-a-112-millions-de-dinars-au-premier-trimestre_45886
26/01/24,15:18,Carthage Cement : Le bon chemin se confirme,https://www.ilboursa.com/marches/carthage-cement-le-bon-chemin-se-confirme_44580
22/01/24,15:25,Carthage Cement réalise un chiffre d'affaires record de 430 millions de dinars en 2023,https://www.ilboursa.com/marches/carthage-cement-realise-un-chiffre-d-affaires-record-de-430-millions-de-dinars-en-2023_44496
17/10/23,09:23,Carthage Cement annonce un chiffre d’affaires de 322 millions de dinars à fin septembre,https://www.ilboursa.com/marches/carthage-cement-annonce-un-chiffre-daffaires-de-322-millions-de-dinars-a-fin-septembre_43113
01/09/23,16:20,"Carthage Cement dégage un bénéfice semestriel de 24 millions de dinars, en hausse de 57%",https://www.ilboursa.com/marches/carthage-cement-degage-un-benefice-semestriel-de-24-millions-de-dinars-en-hausse-de-57_42363
27/07/23,16:42,La société EL HANA monte à 5% au capital de Carthage Cement,https://www.ilboursa.com/marches/la-societe-el-hana-monte-a-5-au-capital-de-carthage-cement_41858
14/07/23,13:42,Carthage Cement améliore de 24% ses revenus au premier semestre à 208 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-ameliore-de-24-ses-revenus-au-premier-semestre-a-208-millions-de-dinars_41659
27/06/23,10:16,Carthage Cement décroche un marché d'un million de tonnes de ciment à l'export,https://www.ilboursa.com/marches/carthage-cement-decroche-un-marche-d-un-million-de-tonnes-de-ciment-a-l-export_41441
14/06/23,08:26,Carthage Cement bénéficiaire pour la troisième année consécutive,https://www.ilboursa.com/marches/carthage-cement-beneficiaire-pour-la-troisieme-annee-consecutive_41237
15/05/23,18:18,Carthage Cement annonce un bénéfice de plus de 35 millions de dinars en 2022,https://www.ilboursa.com/marches/carthage-cement-annonce-un-benefice-de-plus-de-35-millions-de-dinars-en-2022_40731
24/04/23,20:52,Carthage Cement augmente ses revenus trimestriels de 35% à 113 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-augmente-ses-revenus-trimestriels-de-35-a-113-millions-de-dinars_40349
20/01/23,09:22,Carthage Cement clôture 2022 avec un chiffre d'affaires record de 367 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-cloture-2022-avec-un-chiffre-d-affaires-record-de-367-millions-de-dinars_38851
11/10/22,16:23,Carthage Cement améliore de 10% ses revenus à fin septembre à 262 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-ameliore-de-10-ses-revenus-a-fin-septembre-a-262-millions-de-dinars_37089
28/09/22,10:34,Brahim SANAA : « Carthage Cement va sûrement concrétiser ses prévisions et respecter ses engagements »,https://www.ilboursa.com/marches/brahim-sanaa--carthage-cement-va-surement-concretiser-ses-previsions-et-respecter-ses-engagements-_36830
07/09/22,17:07,Carthage Cement annonce des bénéfices semestriels en baisse de 5% à 15 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-annonce-des-benefices-semestriels-en-baisse-de-5-a-15-millions-de-dinars_36482
26/08/22,10:34,"Réalisation de la vente judiciaire des 772.660 actions Carthage Cement pour 1,3 million de dinars",https://www.ilboursa.com/marches/realisation-de-la-vente-judiciaire-des-772660-actions-carthage-cement-pour-1-3-million-de-dinars_36263
21/07/22,09:00,Les revenus de Carthage Cement frôlent les 170 millions de dinars au premier semestre,https://www.ilboursa.com/marches/les-revenus-de-carthage-cement-frolent-les-170-millions-de-dinars-au-premier-semestre_35716
01/07/22,11:52,L'horizon semble s'éclaircir pour Carthage Cement,https://www.ilboursa.com/marches/l-horizon-semble-s-eclaircir-pour-carthage-cement_35403
24/06/22,09:33,Carthage Cement dévoile son Business Plan 2022-2026,https://www.ilboursa.com/marches/carthage-cement-devoile-son-business-plan-2022-2026_35289
10/06/22,09:08,Carthage Cement : Levée du sit-in et reprise de l'exploitation,https://www.ilboursa.com/marches/carthage-cement-levee-du-sit-in-et-reprise-de-l-exploitation_35050
09/06/22,10:08,L'usine de Carthage Cement bloquée par un sit-in,https://www.ilboursa.com/marches/l-usine-de-carthage-cement-bloquee-par-un-sit-in_35035
11/05/22,18:51,Carthage Cement améliore de 63% son bénéfice en 2021 à 32 millions de dinars,https://www.ilboursa.com/marches/carthage-cement-ameliore-de-63-son-benefice-en-2021-a-32-millions-de-dinars_34513
