date_str,time_str,headline,url
10/11/25,18:30,Cellcom : Une première moitié de 2025 déjà plus performante que toute l’année 2024,https://www.ilboursa.com/marches/cellcom-une-premiere-moitie-de-2025-deja-plus-performante-que-toute-lannee-2024_57515
23/06/25,17:26,CELLCOM affiche un bond significatif de son bénéfice en 2024,https://www.ilboursa.com/marches/cellcom-affiche-un-bond-significatif-de-son-benefice-en-2024_53387
26/09/24,10:58,Hamed Bougamra : « Nous étudions de nouveaux projets pour diversifier nos produits et faire redécoller CELLCOM »,https://www.ilboursa.com/marches/hamed-bougamra - nous-etudions-de-nouveaux-projets-pour-diversifier-nos-produits-et-faire-redecoller-cellcom _48382
09/09/24,15:42,CELLCOM renoue avec les bénéfices semestriels,https://www.ilboursa.com/marches/cellcom-renoue-avec-les-benefices-semestriels_48035
15/08/24,09:55,CELLCOM enregistre une ascension spectaculaire de ses indicateurs au deuxième trimestre 2024,https://www.ilboursa.com/marches/cellcom-enregistre-une-ascension-spectaculaire-de-ses-indicateurs-au-deuxieme-trimestre-2024_47708
24/06/24,15:28,Le groupe CELLCOM renoue avec les bénéfices en 2023,https://www.ilboursa.com/marches/le-groupe-cellcom-renoue-avec-les-benefices-en-2023_46916
23/04/24,09:19,CELLCOM a quasiment doublé son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/cellcom-a-quasiment-double-son-chiffre-d-affaires-au-premier-trimestre_45868
02/02/24,10:08,CELLCOM améliore ses revenus et sa rentabilité au quatrième trimestre de 2023,https://www.ilboursa.com/marches/cellcom-ameliore-ses-revenus-et-sa-rentabilite-au-quatrieme-trimestre-de-2023_44684
08/11/23,10:10,Cellcom annonce une perte de plus de 3 millions de dinars en 2022,https://www.ilboursa.com/marches/cellcom-annonce-une-perte-de-plus-de-3-millions-de-dinars-en-2022_43466
21/04/21,08:07,CELLCOM a plus que doublé son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/cellcom-a-plus-que-double-son-chiffre-d-affaires-au-premier-trimestre_27718
21/12/20,09:41,"CELLCOM annonce une perte nette de 1,5 million de dinars en 2019",https://www.ilboursa.com/marches/cellcom-annonce-une-perte-nette-de-1-5-million-de-dinars-en-2019_25711
20/10/20,14:04,La société CELLCOM améliore de 48% son chiffre d'affaires au troisième trimestre,https://www.ilboursa.com/marches/la-societe-cellcom-ameliore-de-48-son-chiffre-d-affaires-au-troisieme-trimestre_24705
19/08/20,14:26,"CELLCOM (Evertek) annonce une perte de 3,7 millions de dinars au premier semestre 2019",https://www.ilboursa.com/marches/cellcom-evertek-annonce-une-perte-de-3-7-millions-de-dinars-au-premier-semestre-2019_23729
19/12/19,15:20,Le nouveau Smartphone Hero by Evertek disponible à partir du 20 décembre,https://www.ilboursa.com/marches/le-nouveau-smartphone-hero-by-evertek-disponible-a-partir-du-20-decembre_20108
10/12/19,08:08,CELLCOM introduit en Tunisie la marque de Smartphones Neffos,https://www.ilboursa.com/marches/cellcom-introduit-en-tunisie-la-marque-de-smartphones-neffos_19972
01/11/19,09:46,CELLCOM (Evertek) a quasiment triplé ses pertes en 2018,https://www.ilboursa.com/marches/cellcom-evertek-a-quasiment-triple-ses-pertes-en-2018_19479
06/08/19,08:49,CELLCOM améliore de 4% son chiffre d'affaires semestriel à 12 millions de dinars,https://www.ilboursa.com/marches/cellcom-ameliore-de-4-son-chiffre-d-affaires-semestriel-a-12-millions-de-dinars_18339
02/04/19,15:39,Mohamed Amine Chouaieb remplace Mohamed Ben Rhouma à la tête de CELLCOM (Evertek),https://www.ilboursa.com/marches/mohamed-amine-chouaieb-remplace-mohamed-ben-rhouma-a-la-tete-de-cellcom-evertek_16808
26/03/19,09:46,CELLCOM (Evertek) voit son chiffre d'affaires baisser de 7% en 2018,https://www.ilboursa.com/marches/cellcom-evertek-voit-son-chiffre-d-affaires-baisser-de-7-en-2018_16693
14/02/19,10:11,"Evertek lance le V9+, son nouveau Smartphone ultra performant",https://www.ilboursa.com/marches/evertek-lance-le-v9-son-nouveau-smartphone-ultra-performant_16200
11/01/19,08:32,CELLCOM lance le nouveau Infinix Smart 2 en Tunisie,https://www.ilboursa.com/marches/cellcom-lance-le-nouveau-infinix-smart-2-en-tunisie_15716
12/12/18,13:52,Evertek lance sur le marché son nouveau Smartphone V5,https://www.ilboursa.com/marches/evertek-lance-sur-le-marche-son-nouveau-smartphone-v5_15442
29/10/18,10:31,CELLCOM (Evertek) améliore de 4% son chiffre d'affaires à fin septembre,https://www.ilboursa.com/marches/cellcom-evertek-ameliore-de-4-son-chiffre-d-affaires-a-fin-septembre_15173
25/10/18,14:58,Evertek lance une nouvelle gamme de barephones,https://www.ilboursa.com/marches/evertek-lance-une-nouvelle-gamme-de-barephones_15147
