date_str,time_str,headline,url
22/05/26,12:45,Kia EV4 et PV5 récompensés aux Red Dot Design Award 2026,https://www.ilboursa.com/marches/kia-ev4-et-pv5-recompenses-aux-red-dot-design-award-2026_61874
06/05/26,10:23,City Cars Kia et le Tennis Club de Tunis renouvellent leur alliance sportive,https://www.ilboursa.com/marches/city-cars-kia-et-le-tennis-club-de-tunis-renouvellent-leur-alliance-sportive_61516
27/04/26,08:36,"CITY CARS : Bénéfice en hausse de 17 % en 2025 et dividende maintenu à 1,250 dinar",https://www.ilboursa.com/marches/city-cars-benefice-en-hausse-de-17-en-2025-et-dividende-maintenu-a-1-250-dinar_61329
24/04/26,16:20,Kia Vision Meta Turismo : le futur du Grand Tourer dévoilé à la Milan Design Week,https://www.ilboursa.com/marches/kia-vision-meta-turismo- le-futur-du-grand-tourer-devoile-a-la-milan-design-week_61328
23/04/26,18:21,CITY CARS : Revenus trimestriels en progression malgré une pression sur la trésorerie,https://www.ilboursa.com/marches/city-cars-revenus-trimestriels-en-progression-malgre-une-pression-sur-la-tresorerie_61293
06/04/26,09:47,Kia sacrée « Meilleur Constructeur » lors  des TopGear.com EV Awards 2026,https://www.ilboursa.com/marches/kia-sacree-meilleur-constructeur-lors-des-topgearcom-ev-awards-2026_60878
30/03/26,10:54,Kia PV5 Cargo remporte la catégorie historique « VU »  des Trophées de L’argus 2026,https://www.ilboursa.com/marches/kia-pv5-cargo remporte-la-categorie-historique-vu- -des-trophees-de-largus-2026_60726
22/01/26,20:45,City Cars - Kia consolide sa position de leader sur le marché automobile tunisien en 2025,https://www.ilboursa.com/marches/city-cars--kia-consolide-sa-position-de-leader-sur-le-marche-automobile-tunisien en-2025_59231
21/01/26,09:52,City cars augmente de 6% ses revenus en 2025 à plus de 385 millions de dinars,https://www.ilboursa.com/marches/city-cars-augmente-de-6-ses-revenus-en-2025-a-plus-de-385-millions-de-dinars_59161
14/01/26,11:12,Kia accélère l’électrification en Tunisie avec le lancement du tout nouveau Kia EV3,https://www.ilboursa.com/marches/kia-accelere-lelectrification-en-tunisie-avec-le-lancement-du-tout-nouveau-kia-ev3_59005
