date_str,time_str,headline,url
19/06/26,10:28,Tunisie - Japon : l'avenir de notre sélection se joue maintenant,https://www.ilboursa.com/marches/tunisie--japon-l-avenir-de-notre-selection-se-joue-maintenant_62393
19/06/26,10:26,Meilleur casino en ligne retrait rapide : notre sélection,https://www.ilboursa.com/marches/meilleur-casino-en-ligne-retrait-rapide-notre-selection_62392
19/06/26,10:25,Comment gagner aux machines à sous au casino,https://www.ilboursa.com/marches/comment-gagner-aux-machines-a-sous-au-casino_62391
14/06/26,12:07,Duel de styles à Monterrey : pourquoi la discipline de fer tunisienne peut contenir l'attaque suédoise fulgurante à la CM 2026,https://www.ilboursa.com/marches/duel-de-styles-a-monterrey-pourquoi-la-discipline-de-fer-tunisienne-peut-contenir-l-attaque-suedoise-fulgurante-a-la-cm-2026_62258
10/06/26,09:08,"La Tunisie au Tournoi planétaire : renouvellement générationnel, noyau soudé et rôle de la diaspora",https://www.ilboursa.com/marches/la-tunisie-au-tournoi-planetaire-renouvellement-generationnel-noyau-soude-et-role-de-la-diaspora_62166
04/06/26,15:24,Percée arabe 2026 : pourquoi la Tunisie et 7 autres sélections peuvent écrire une nouvelle page de l'histoire du Trofeo del Mundo,https://www.ilboursa.com/marches/percee-arabe-2026-pourquoi-la-tunisie-et-7-autres-selections-peuvent-ecrire-une-nouvelle-page-de-l-histoire-du-trofeo-del-mundo_62078
03/06/26,14:28,UP AND CO ADVICE évolue et devient ALMAJD TCS,https://www.ilboursa.com/marches/up-and-co-advice-evolue-et-devient-almajd-tcs_62076
03/06/26,11:45,L’Association DREAM (Dynamique de Réflexions Economiques A Mahdia) tiendra son Assemblée Générale Ordinaire le samedi 20 juin 2026,https://www.ilboursa.com/marches/lassociation-dream-dynamique-de-reflexions-economiques-a-mahdia-tiendra-son-assemblee-generale-ordinaire-le-samedi-20-juin-2026_62042
29/05/26,06:26,Paris Saint-Germain - Arsenal : qui deviendra le roi d'Europe ?,https://www.ilboursa.com/marches/paris-saint-germain--arsenal-qui-deviendra-le-roi-d-europe-_61964
22/05/26,13:54,Les joueurs les plus chers de la sélection tunisienne,https://www.ilboursa.com/marches/les-joueurs-les-plus-chers-de-la-selection-tunisienne_61878
19/05/26,09:59,Quelles sont les assurances vie à choisir en 2026,https://www.ilboursa.com/marches/quelles-sont-les-assurances-vie-a-choisir-en-2026_61778
16/05/26,12:57,Ambitions dorées contre volonté de fer : aperçu du choc Métlaoui vs Espérance,https://www.ilboursa.com/marches/ambitions-dorees-contre-volonte-de-fer-apercu-du-choc-metlaoui-vs-esperance_61743
08/05/26,09:02,Barcelone - Real Madrid : le match que le monde entier attend,https://www.ilboursa.com/marches/barcelone--real-madrid-le-match-que-le-monde-entier-attend_61586
06/05/26,15:00,Prix du Bitcoin : ce qui peut faire monter ou chuter le BTC,https://www.ilboursa.com/marches/prix-du-bitcoin-ce-qui-peut-faire-monter-ou-chuter-le-btc_61529
04/05/26,07:23,Le dénouement de la Ligue des champions est proche : quel sera le second acte du Final Four ?,https://www.ilboursa.com/marches/le-denouement-de-la-ligue-des-champions-est-proche-quel-sera-le-second-acte-du-final-four-_61441
28/04/26,08:38,"Les Joueurs de la ""Double Culture"" : Pourquoi une génération de talents formés en france tourne le dos aux bleus pour embrasser les Lions de l'Atlas avec fierté et conviction",https://www.ilboursa.com/marches/les-joueurs-de-la-double-culture-pourquoi-une-generation-de-talents-formes-en-france-tourne-le-dos-aux-bleus-pour-embrasser-les-lions-de-l-atlas-avec-fierte-et-conviction_61355
22/04/26,08:05,"Camions-citernes incendie 4x4 de 3,5T et 5T pour la lutte contre les feux en terrains difficiles",https://www.ilboursa.com/marches/camions-citernes-incendie-4x4-de-3-5t-et-5t-pour-la-lutte-contre-les-feux-en-terrains-difficiles_61228
21/04/26,08:54,L'économie du triomphe : combien gagnent les clubs de l'UEFA Champions League ?,https://www.ilboursa.com/marches/l-economie-du-triomphe-combien-gagnent-les-clubs-de-l-uefa-champions-league-_61195
20/04/26,12:00,"La Méditerranée gère l’Arctic Metagaz, un problème venu d’ailleurs",https://www.ilboursa.com/marches/la-mediterranee-gere-larctic-metagaz-un-probleme-venu-dailleurs_61171
16/04/26,11:15,La volatilité des machines à sous pour les petits dépôts,https://www.ilboursa.com/marches/la-volatilite-des-machines-a-sous-pour-les-petits-depots_61095
16/04/26,01:31,"La route vers les demi-finales : Stratégie, passion et chiffres des premiers matchs des quarts de finale de la LDC",https://www.ilboursa.com/marches/la-route-vers-les-demi-finales-strategie-passion-et-chiffres-des-premiers-matchs-des-quarts-de-finale-de-la-ldc_61083
09/04/26,10:27,Partie d'échecs en demi-finale de la LDC CAF : Espérance vs Mamelodi Sundowns,https://www.ilboursa.com/marches/partie-d-echecs-en-demi-finale-de-la-ldc-caf-esperance-vs-mamelodi-sundowns_61052
06/04/26,15:33,"Le baroud entre le Real et le Bayern, la vengeance possible de Liverpool sur le PSG : annonce des premiers matchs des quarts de finale de la C1",https://www.ilboursa.com/marches/le-baroud-entre-le-real-et-le-bayern-la-vengeance-possible-de-liverpool-sur-le-psg-annonce-des-premiers-matchs-des-quarts-de-finale-de-la-c1_60884
02/04/26,14:46,Annonce du match : Étoile du Sahel affronte l'Espérance en championnat de Tunisie,https://www.ilboursa.com/marches/annonce-du-match-etoile-du-sahel-affronte-l-esperance-en-championnat-de-tunisie_60834
30/03/26,14:51,"Frais, services, cartes : duel entre deux leaders",https://www.ilboursa.com/marches/frais-services-cartes-duel-entre-deux-leaders_60737
28/03/26,08:08,Le football à la vitesse de la pensée : pourquoi la La Liga domine dans le monde entier,https://www.ilboursa.com/marches/le-football-a-la-vitesse-de-la-pensee-pourquoi-la-la-liga-domine-dans-le-monde-entier_60715
25/03/26,19:13,"Les succès du Real Madrid et du PSG, la revanche de Liverpool sur Galatasaray et une branlée au Camp Nou : voici les résultats des matchs retour des 8ᵉ de finale de la C1",https://www.ilboursa.com/marches/les-succes-du-real-madrid-et-du-psg-la-revanche-de-liverpool-sur-galatasaray-et-une-branlee-au-camp-nou-voici-les-resultats-des-matchs-retour-des-8ᵉ-de-finale-de-la-c1_60665
24/03/26,10:16,Avis sur l’application Winwin – L’expérience de jeu ultime en Côte d’Ivoire,https://www.ilboursa.com/marches/avis-sur-lapplication-winwin-–-lexperience-de-jeu-ultime-en-cote-divoire_60617
20/03/26,10:41,Real Madrid - Atlético Madrid : les « Merengues » peuvent-ils enfin s’offrir le derby en Liga ?,https://www.ilboursa.com/marches/real-madrid--atletico-madrid-les-merengues-peuvent-ils-enfin-soffrir-le-derby-en-liga-_60581
14/03/26,11:41,L'épreuve de résistance : guide des matchs décisifs des 1/8 de finale de l'UCL,https://www.ilboursa.com/marches/l-epreuve-de-resistance-guide-des-matchs-decisifs-des-18-de-finale-de-l-ucl_60468
13/03/26,12:34,Jeux casino en ligne argent réel : ce qui change selon le format choisi,https://www.ilboursa.com/marches/jeux-casino-en-ligne-argent-reel-ce-qui-change-selon-le-format-choisi_60447
12/03/26,12:16,Espérance - Al Ahly : la bagarre des cadors d'Afrique du Nord,https://www.ilboursa.com/marches/esperance--al-ahly-la-bagarre-des-cadors-d-afrique-du-nord_60415
10/03/26,14:46,"Types de paris populaires en Côte d'Ivoire : marchés du football, paris en direct et conseils stratégiques",https://www.ilboursa.com/marches/types-de-paris-populaires-en-cote-d-ivoire-marches-du-football-paris-en-direct-et-conseils-strategiques_60357
