date_str,time_str,headline,url
04/06/26,14:40,Assemblée générale d'ICF : Entre turbulences géopolitiques et ambitions stratégiques,https://www.ilboursa.com/marches/assemblee-generale-d-icf-entre-turbulences-geopolitiques-et-ambitions-strategiques_62077
15/05/26,13:22,Chute de 44 % des bénéfices d'ICF à 12 millions de dinars en 2025,https://www.ilboursa.com/marches/chute-de-44-des-benefices-d-icf-a-12-millions-de-dinars-en-2025_61733
10/04/25,08:36,ICF triple son bénéfice en 2024 à 21 millions de dinars,https://www.ilboursa.com/marches/icf-triple-son-benefice-en-2024-a-21-millions-de-dinars_51997
27/01/25,08:03,ICF améliore de 14% ses revenus en 2024 à plus de 166 millions de dinars,https://www.ilboursa.com/marches/icf-ameliore-de-14-ses-revenus-en-2024-a-plus-de-166-millions-de-dinars_50517
26/08/24,10:59,ICF augmente de 60 % ses bénéfices au premier semestre à 16 millions de dinars,https://www.ilboursa.com/marches/icf-augmente-de-60-ses-benefices-au-premier-semestre-a-16-millions-de-dinars_47813
21/05/24,07:05,"ICF approuve la distribution d'un dividende de 2,500 dinars par action",https://www.ilboursa.com/marches/icf-approuve-la-distribution-d-un-dividende-de-2-500-dinars-par-action_46331
30/04/24,13:16,Les bénéfices d'ICF chutent de plus de 70% en 2023,https://www.ilboursa.com/marches/les-benefices-d-icf-chutent-de-plus-de-70-en-2023_45990
22/01/24,10:04,Chute de plus de 35% des revenus de la société ICF en 2023,https://www.ilboursa.com/marches/chute-de-plus-de-35-des-revenus-de-la-societe-icf-en-2023_44477
07/09/23,08:18,Les bénéfices de la compagnie ICF chutent de 56% au premier semestre,https://www.ilboursa.com/marches/les-benefices-de-la-compagnie-icf-chutent-de-56-au-premier-semestre_42441
20/01/23,09:58,ICF améliore de plus de 50% ses revenus annuels à 230 millions de dinars,https://www.ilboursa.com/marches/icf-ameliore-de-plus-de-50-ses-revenus-annuels-a-230-millions-de-dinars_38855
18/10/22,13:32,ICF améliore de 65% ses revenus à fin septembre à plus de 160 millions de dinars,https://www.ilboursa.com/marches/icf-ameliore-de-65-ses-revenus-a-fin-septembre-a-plus-de-160-millions-de-dinars_37236
29/08/22,12:31,ICF multiplie ses bénéfices quasiment par quatre au premier semestre à 23 millions de dinars,https://www.ilboursa.com/marches/icf-multiplie-ses-benefices-quasiment-par-quatre-au-premier-semestre-a-23-millions-de-dinars_36290
31/03/22,13:23,"ICF : L'Assemblée Générale approuve le versement d'un dividende de 3,700 dinars par action",https://www.ilboursa.com/marches/icf-l-assemblee-generale-approuve-le-versement-d-un-dividende-de-3-700-dinars-par-action_33718
11/03/22,11:14,"Après une année 2020 dans le rouge, ICF renoue avec les bénéfices",https://www.ilboursa.com/marches/apres-une-annee-2020-dans-le-rouge-icf-renoue-avec-les-benefices_33330
21/04/21,12:41,La société ICF stabilise ses revenus trimestriels à 30 millions de dinars,https://www.ilboursa.com/marches/la-societe-icf-stabilise-ses-revenus-trimestriels-a-30-millions-de-dinars_27730
26/03/21,09:33,ICF accuse une perte nette de 11 millions de dinars en 2020,https://www.ilboursa.com/marches/icf-accuse-une-perte-nette-de-11-millions-de-dinars-en-2020_27283
