date_str,time_str,headline,url
08/06/26,10:40,Magasin général augmentera son capital de 50 millions de dinars,https://www.ilboursa.com/marches/magasin-general-augmentera-son-capital-de-50-millions-de-dinars_62127
06/05/26,09:19,MyMG : l’application de fidélité qui révolutionne l’expérience client en Tunisie,https://www.ilboursa.com/marches/mymg-lapplication-de fidelite qui-revolutionne-lexperience-client en tunisie_61510
05/05/26,17:18,Magasin Général renoue avec les bénéfices en 2025,https://www.ilboursa.com/marches/magasin-general-renoue-avec-les-benefices-en-2025_61499
23/04/26,13:11,Un premier trimestre 2026 dynamique pour Magasin Général,https://www.ilboursa.com/marches/un-premier-trimestre-2026-dynamique-pour-magasin-general_61284
08/04/26,14:39,"""MG J’aime"" élue Marque de Distributeur de l’Année 2026 en Tunisie pour la 3ème année consécutive",https://www.ilboursa.com/marches/mg-jaime-elue-marque-de-distributeur-de-lannee-2026-en-tunisie-pour-la-3eme-annee-consecutive_60932
24/01/26,08:41,Magasin Général consolide sa croissance en 2025,https://www.ilboursa.com/marches/magasin-general-consolide-sa-croissance-en-2025_59259
11/12/25,09:16,"Magasin Général : Réalisation d'une transaction de bloc de 3,6 millions de dinars",https://www.ilboursa.com/marches/magasin-general-realisation-d-une-transaction-de-bloc-de-3-6-millions-de-dinars_58321
23/10/25,16:44,Magasin Général renforce sa dynamique de croissance au troisième trimestre 2025,https://www.ilboursa.com/marches/magasin-general-renforce-sa-dynamique-de-croissance-au-troisieme-trimestre-2025_57083
20/10/25,11:34,Magasin Général Sousse accueille la première borne de recharge d’une enseigne de grande distribution,https://www.ilboursa.com/marches/magasin-general-sousse-accueille-la-premiere-borne-de-recharge-dune-enseigne-de-grande-distribution_56934
08/09/25,09:40,"Premier semestre positif pour Magasin Général, une première depuis 2019",https://www.ilboursa.com/marches/premier-semestre-positif-pour-magasin-general-une-premiere-depuis-2019_54909
24/07/25,13:53,"Magasin Général : Des revenus en hausse de 17 %, signe de la solidité du redressement",https://www.ilboursa.com/marches/magasin-general-des-revenus-en-hausse-de-17 -signe-de-la-solidite-du-redressement_54025
13/06/25,11:36,Magasin Général : Une année 2024 sous le signe du renouveau et de la performance,https://www.ilboursa.com/marches/magasin-general-une-annee-2024-sous-le-signe-du-renouveau-et-de-la-performance_53184
30/04/25,16:34,"Magasin Général change de cap, une dynamique de redressement confirmée en 2024",https://www.ilboursa.com/marches/magasin-general-change-de-cap-une-dynamique-de-redressement-confirmee-en-2024_52431
24/04/25,09:53,Magasin Général enregistre une croissance soutenue au premier trimestre 2025,https://www.ilboursa.com/marches/magasin-general-enregistre-une-croissance-soutenue-au-premier-trimestre-2025_52275
27/02/25,08:55,Magasin Général couronné « Produit de l’Année 2025 » par les consommateurs tunisiens,https://www.ilboursa.com/marches/magasin-general-couronne-produit-de-lannee-2025-par-les-consommateurs-tunisiens_51198
30/01/25,10:08,"Magasin Général : Réalisation de deux transactions de blocs pour 8,8 millions de dinars",https://www.ilboursa.com/marches/magasin-general-realisation-de-deux-transactions-de-blocs-pour-8-8-millions-de-dinars_50609
29/01/25,08:58,Les revenus de Magasin Général dépassent le milliard de dinars en 2024,https://www.ilboursa.com/marches/les-revenus-de-magasin-general-depassent-le-milliard-de-dinars-en-2024_50581
16/01/25,07:31,Magasin Général dévoile un teaser au style d'un film d'action hollywoodien,https://www.ilboursa.com/marches/magasin-general-devoile-un-teaser-au-style-d-un-film-d-action-hollywoodien_50304
18/11/24,15:20,"Le Maroc affiche un record de 14,6 millions de touristes à fin octobre",https://www.ilboursa.com/marches/le-maroc-affiche-un-record-de-14-6-millions-de-touristes-a-fin-octobre_49351
30/10/24,09:19,Magasin Général va émettre un emprunt obligataire de 50 millions de dinars,https://www.ilboursa.com/marches/magasin-general-va-emettre-un-emprunt-obligataire-de-50-millions-de-dinars_49032
28/10/24,09:53,Magasin Général décroche le Trophée « Élue Marque de l'Année 2025 »,https://www.ilboursa.com/marches/magasin-general-decroche-le-trophee- elue marque-de-l-annee-2025 _48985
22/10/24,16:14,Magasin Général réalise un chiffre d'affaires de 770 millions de dinars à fin septembre,https://www.ilboursa.com/marches/magasin-general-realise-un-chiffre-d-affaires-de-770-millions-de-dinars-a-fin-septembre_48891
16/09/24,09:51,"Avec des charges financières en baisse, Magasin Général réduit ses pertes au premier semestre",https://www.ilboursa.com/marches/avec-des-charges-financieres-en-baisse-magasin-general-reduit-ses-pertes-au-premier-semestre_48146
23/07/24,19:38,Magasin Général améliore de 7% ses revenus semestriels à 488 millions de dinars,https://www.ilboursa.com/marches/magasin-general-ameliore-de-7-ses-revenus-semestriels-a-488-millions-de-dinars_47385
15/06/24,15:05,"Endettement en baisse et EBITDA en hausse, la transformation de Mg en marche",https://www.ilboursa.com/marches/endettement-en-baisse-et-ebitda-en-hausse-la-transformation-de-mg-en-marche_46800
07/05/24,17:54,Les résultats de Magasin Général plombés par Founa,https://www.ilboursa.com/marches/les-resultats-de-magasin-general-plombes-par-founa_46110
24/04/24,09:30,Magasin Général réalise un chiffre d'affaires de 245 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/magasin-general-realise-un-chiffre-d-affaires-de-245-millions-de-dinars-au-premier-trimestre_45892
01/03/24,18:07,ÉLU PRODUIT DE L'ANNÉE 2024 : Les produits MDD de Magasin Général raflent 16 prix,https://www.ilboursa.com/marches/elu-produit-de-l-annee-2024-les-produits-mdd-de-magasin-general-raflent-16-prix_45082
22/01/24,16:22,Près d'un milliard de dinars de chiffre d'affaires pour Magasin Général en 2023,https://www.ilboursa.com/marches/pres-d-un-milliard-de-dinars-de-chiffre-d-affaires-pour-magasin-general-en-2023_44501
04/12/23,09:18,"Magasin Général signe un accord avec YASSIR, start-up la plus valorisée d’Afrique du Nord",https://www.ilboursa.com/marches/magasin-general-signe-un-accord-avec-yassir-start-up-la-plus-valorisee-dafrique-du-nord_43826
13/11/23,17:53,Ooredoo et Magasin Général signent un partenariat stratégique,https://www.ilboursa.com/marches/ooredoo-et-magasin-general-signent-un-partenariat-strategique_43547
30/10/23,09:13,Magasin Général désigne 2 administrateurs indépendants et un représentant des petits porteurs,https://www.ilboursa.com/marches/magasin-general-designe-2-administrateurs-independants-et-un-representant-des-petits-porteurs_43337
