date_str,time_str,headline,url
10/05/24,09:06,La SOTUMAG améliore de 23 % son bénéfice net en 2023,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-23-son-benefice-net-en-2023_46143
29/01/24,15:45,Sofiene TARMIZ nommé Président Directeur Général de la SOTUMAG,https://www.ilboursa.com/marches/sofiene-tarmiz-nomme-president-directeur-general-de-la-sotumag_44615
08/09/23,09:38,La SOTUMAG améliore de 12% ses bénéfices au premier semestre,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-12-ses-benefices-au-premier-semestre_42468
08/06/23,11:08,Tunisie Valeurs recommande un positionnement sur le titre SOTUMAG,https://www.ilboursa.com/marches/tunisie-valeurs-recommande-un-positionnement-sur-le-titre-sotumag_41140
11/05/23,16:05,La SOTUMAG dégage un bénéfice de plus de 6 millions de dinars en 2022,https://www.ilboursa.com/marches/la-sotumag-degage-un-benefice-de-plus-de-6-millions-de-dinars-en-2022_40666
28/10/22,09:02,SOTUMAG : Le Conseil d'administration délègue la gestion de la société à Yasser BEN KHLIFA,https://www.ilboursa.com/marches/sotumag-le-conseil-d-administration-delegue-la-gestion-de-la-societe-a-yasser-ben-khlifa_37455
30/08/22,10:08,La SOTUMAG améliore de 10% ses bénéfices nets au premier semestre,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-10-ses-benefices-nets-au-premier-semestre_36304
19/05/22,09:52,La SOTUMAG dégage un bénéfice net de près de 6 millions de dinars en 2021,https://www.ilboursa.com/marches/la-sotumag-degage-un-benefice-net-de-pres-de-6-millions-de-dinars-en-2021_34653
07/05/21,10:12,La SOTUMAG stabilise ses bénéfices nets en 2020,https://www.ilboursa.com/marches/la-sotumag-stabilise-ses-benefices-nets-en-2020_28030
12/11/20,08:56,La SOTUMAG améliore de 15% ses bénéfices nets au premier semestre,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-15-ses-benefices-nets-au-premier-semestre_25084
30/10/20,09:30,La SOTUMAG améliore de 9% ses revenus à fin septembre,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-9-ses-revenus-a-fin-septembre_24881
10/08/20,12:07,La SOTUMAG améliore de près de 50% son bénéfice net en 2019,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-pres-de-50-son-benefice-net-en-2019_23597
27/04/20,09:07,La SOTUMAG améliore de 10% son chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/la-sotumag-ameliore-de-10-son-chiffre-d-affaires-au-premier-trimestre_22054
02/05/19,10:09,"SOTUMAG : Bénéfice de 3,2 millions de dinars en 2018 et un dividende de 0,110 dinar",https://www.ilboursa.com/marches/sotumag-benefice-de-3-2-millions-de-dinars-en-2018-et-un-dividende-de-0-110-dinar_17242
