date_str,time_str,headline,url
22/05/26,19:28,Performance historique en 2025 pour MONOPRIX avec un bénéfice en hausse de 50%,https://www.ilboursa.com/marches/performance-historique-en-2025-pour-monoprix-avec-un-benefice-en-hausse-de-50_61890
31/03/26,11:23,Monoprix Tunisie : L’envolée boursière d’un géant de la distribution,https://www.ilboursa.com/marches/monoprix-tunisie-lenvolee-boursiere-dun-geant-de-la-distribution_60766
22/01/26,15:24,MONOPRIX Tunisie affiche une croissance à deux chiffres des revenus en 2025,https://www.ilboursa.com/marches/monoprix-tunisie-affiche-une-croissance-a-deux-chiffres-des-revenus-en-2025_59214
26/09/25,10:43,Monoprix lance un nouvel appel à candidature pour la désignation d’un Administrateur indépendant,https://www.ilboursa.com/marches/monoprix-lance-un-nouvel-appel-a-candidature-pour-la-designation-dun-administrateur-independant_55397
05/09/25,14:18,Monoprix s’installe à Sidi Bouzid et Redeyef,https://www.ilboursa.com/marches/monoprix-sinstalle-a-sidi-bouzid-et-redeyef_54879
23/07/25,11:27,Monoprix Tunisie accélère sa croissance au premier semestre 2025,https://www.ilboursa.com/marches/monoprix-tunisie-accelere-sa-croissance-au-premier-semestre-2025_53990
26/04/25,09:34,"Avec une rentabilité améliorée en 2024, Monoprix distribue un dividende de 0,150 dinar",https://www.ilboursa.com/marches/avec-une-rentabilite-amelioree-en-2024-monoprix-distribue-un-dividende-de-0-150-dinar_52334
22/04/25,16:06,Monoprix Tunisie affiche une croissance solide au premier trimestre 2025,https://www.ilboursa.com/marches/monoprix-tunisie-affiche-une-croissance-solide-au-premier-trimestre-2025_52235
17/03/25,12:17,Le paiement mobile débarque chez Monoprix Tunisie en partenariat avec Flouci,https://www.ilboursa.com/marches/le-paiement-mobile-debarque-chez-monoprix-tunisie-en-partenariat-avec-flouci_51535
22/01/25,17:28,Monoprix améliore de 7% ses revenus en 2024 à plus de 730 millions de dinars,https://www.ilboursa.com/marches/monoprix-ameliore-de-7-ses-revenus-en-2024-a-plus-de-730-millions-de-dinars_50440
23/12/24,17:50,Monoprix inaugure un nouveau magasin aux Jardins de Carthage et renforce sa stratégie de proximité,https://www.ilboursa.com/marches/monoprix-inaugure-un-nouveau-magasin-aux-jardins-de-carthage-et-renforce-sa-strategie-de-proximite_49964
28/10/24,09:41,Monoprix améliore de 8% ses revenus à fin septembre à 545 millions de dinars,https://www.ilboursa.com/marches/monoprix-ameliore-de-8-ses-revenus-a-fin-septembre-a-545-millions-de-dinars_48986
16/09/24,09:34,"Monoprix Tunisie lance une initiative innovante contre le gaspillage alimentaire, une première en Afrique",https://www.ilboursa.com/marches/monoprix-tunisie-lance-une-initiative-innovante-contre-le-gaspillage-alimentaire-une-premiere-en-afrique_48151
24/07/24,16:41,MONOPRIX augmente de 9% son chiffre d'affaires semestriel à 340 millions de dinars,https://www.ilboursa.com/marches/monoprix-augmente-de-9-son-chiffre-d-affaires-semestriel-a-340-millions-de-dinars_47407
14/06/24,15:23,Monoprix Tunisie scelle un partenariat avec le Comité National Paralympique,https://www.ilboursa.com/marches/monoprix-tunisie-scelle-un-partenariat-avec-le-comite-national-paralympique_46790
10/06/24,09:23,Monoprix relance son appel à candidature pour la désignation de deux administrateurs indépendants,https://www.ilboursa.com/marches/monoprix-relance-son-appel-a-candidature-pour-la-designation-de-deux-administrateurs-independants_46678
30/04/24,17:47,MONOPRIX enregistre son premier bénéfice annuel depuis 2018,https://www.ilboursa.com/marches/monoprix-enregistre-son-premier-benefice-annuel-depuis-2018_45998
23/04/24,13:45,MONOPRIX améliore de 7 % ses revenus au premier trimestre à 165 millions de dinars,https://www.ilboursa.com/marches/monoprix-ameliore-de-7-ses-revenus-au-premier-trimestre-a-165-millions-de-dinars_45877
22/01/24,16:11,Monoprix augmente son chiffre d'affaires de 9% en 2023 à 684 millions de dinars,https://www.ilboursa.com/marches/monoprix-augmente-son-chiffre-d-affaires-de-9-en-2023-a-684-millions-de-dinars_44500
23/10/23,09:38,MONOPRIX améliore de 9% ses revenus à fin septembre à plus de 500 millions de dinars,https://www.ilboursa.com/marches/monoprix-ameliore-de-9-ses-revenus-a-fin-septembre-a-plus-de-500-millions-de-dinars_43220
18/10/23,09:36,Monogros augmente son capital de 21 millions de dinars,https://www.ilboursa.com/marches/monogros-augmente-son-capital-de-21-millions-de-dinars_43139
06/10/23,07:38,Monoprix Tunisie célèbre le 12ème anniversaire de la Carte « Smiles »,https://www.ilboursa.com/marches/monoprix-tunisie-celebre-le-12eme-anniversaire-de-la-carte- smiles _42948
