date_str,time_str,headline,url
03/06/26,12:47,Poulina Group Holding : Une solidité financière éprouvée et un business plan offensif,https://www.ilboursa.com/marches/poulina-group-holding-une-solidite-financiere-eprouvee-et-un-business-plan-offensif_62047
20/05/26,13:02,"DataXion célèbre 10 ans d’excellence, de confiance et ouvre un nouveau chapitre de son développement",https://www.ilboursa.com/marches/dataxion-celebre-10-ans-dexcellence-de-confiance-et-ouvre-un-nouveau-chapitre-de-son-developpement_61822
23/04/26,12:53,Poulina maintient sa croissance avec plus d'un milliard de dinars de revenus à fin mars 2026,https://www.ilboursa.com/marches/poulina-maintient-sa-croissance-avec-plus-d-un-milliard-de-dinars-de-revenus-a-fin-mars-2026_61271
15/04/26,17:18,Plus de 200 millions de dinars de bénéfice pour le groupe Poulina en 2025,https://www.ilboursa.com/marches/plus-de-200-millions-de-dinars-de-benefice-pour-le-groupe-poulina-en-2025_61075
20/02/26,10:48,Poulina : Un carve-out qui illustre excellence stratégique et gouvernance,https://www.ilboursa.com/marches/poulina-un-carve-out-qui-illustre-excellence-strategique-et-gouvernance_59942
19/02/26,13:27,Poulina annonce un projet d’acquisition majoritaire dans le groupe LAND’OR,https://www.ilboursa.com/marches/poulina-annonce-un-projet-dacquisition-majoritaire-dans-le-groupe-landor_59927
24/01/26,15:22,"Le groupe Poulina réalise un chiffre d'affaires record de 4,2 milliards de dinars en 2025",https://www.ilboursa.com/marches/le-groupe-poulina-realise-un-chiffre-d-affaires-record-de-4-2-milliards-de-dinars-en-2025_59263
16/01/26,10:38,L'action Poulina atteint un niveau historique à plus de 20 dinars,https://www.ilboursa.com/marches/l-action-poulina-atteint-un-niveau-historique-a-plus-de-20-dinars_59067
18/11/25,19:17,Poulina atteint le cap des 30 transactions de bloc depuis le début de l’année,https://www.ilboursa.com/marches/poulina-atteint-le-cap-des-30-transactions-de-bloc-depuis-le-debut-de-lannee_57748
13/11/25,09:34,Les transactions de blocs se multiplient sur le titre Poulina,https://www.ilboursa.com/marches/les-transactions-de-blocs-se-multiplient-sur-le-titre-poulina_57606
