date_str,time_str,headline,url
17/02/26,11:35,"La France, l'Italie et le Maroc au cœur du plan « Horizon 2030 » d'Office Plast",https://www.ilboursa.com/marches/la-france-l-italie-et-le-maroc-au-cœur-du-plan-horizon-2030-d-office-plast_59850
22/01/26,12:22,Office Plast fait preuve de résilience et prépare sa relance en 2026,https://www.ilboursa.com/marches/office-plast-fait-preuve-de-resilience-et-prepare-sa-relance-en-2026_59204
30/07/25,09:21,Office Plast maintient la croissance de sa production au premier semestre malgré un sinistre,https://www.ilboursa.com/marches/office-plast-maintient-la-croissance-de-sa-production-au-premier-semestre-malgre-un-sinistre_54131
03/07/25,14:55,Visite d’usine chez Office Plast à Medjez Elbab : Production assurée et livraisons garanties,https://www.ilboursa.com/marches/visite-dusine-chez-office-plast-a-medjez-elbab-production-assuree-et-livraisons-garanties_53592
25/06/25,18:21,"Office Plast : Un profil discret, un avenir prometteur",https://www.ilboursa.com/marches/office-plast-un-profil-discret-un-avenir-prometteur_53439
19/06/25,10:45,Office Plast prépare une levée de fonds stratégique pour accélérer son expansion,https://www.ilboursa.com/marches/office-plast-prepare-une-levee-de-fonds-strategique-pour-accelerer-son-expansion_53306
03/02/25,09:23,Office Plast améliore de 11% son chiffre d'affaires en 2024 à 35 millions de dinars,https://www.ilboursa.com/marches/office-plast-ameliore-de-11-son-chiffre-d-affaires-en-2024-a-35-millions-de-dinars_50675
01/11/24,08:31,Office Plast stabilise quasiment son chiffre d'affaires à fin septembre,https://www.ilboursa.com/marches/office-plast-stabilise-quasiment-son-chiffre-d-affaires-a-fin-septembre_49082
22/03/24,09:10,Office Plast lance un projet industriel au Maroc,https://www.ilboursa.com/marches/office-plast-lance-un-projet-industriel-au-maroc_45371
29/09/23,12:57,MAXULA Bourse recommande d’Acheter le titre Office Plast,https://www.ilboursa.com/marches/maxula-bourse-recommande-dacheter-le-titre-office-plast_42840
03/10/22,08:07,Maigre bénéfice de 60 mille dinars pour Office Plast au premier semestre,https://www.ilboursa.com/marches/maigre-benefice-de-60-mille-dinars-pour-office-plast-au-premier-semestre_36903
