date_str,time_str,headline,url
11/05/26,08:44,La SIAME confirme sa solidité financière en 2025,https://www.ilboursa.com/marches/la-siame-confirme-sa-solidite-financiere-en-2025_61623
04/03/26,08:46,SIAME : Le nombre de mandataires de justice réduit à deux,https://www.ilboursa.com/marches/siame-le-nombre-de-mandataires-de-justice-reduit-a-deux_60215
21/01/26,14:21,La SIAME voit son chiffre d'affaires croître de 8% en 2025,https://www.ilboursa.com/marches/la-siame-voit-son-chiffre-d-affaires-croitre-de-8-en-2025_59172
14/11/25,14:37,La SIAME reporte la distribution des dividendes au titre de 2024 sous instruction judiciaire,https://www.ilboursa.com/marches/la-siame-reporte-la-distribution-des-dividendes-au-titre-de-2024-sous-instruction-judiciaire_57655
20/10/25,09:23,Les ventes à la STEG dopent la croissance de la SIAME à fin septembre,https://www.ilboursa.com/marches/les-ventes-a-la-steg-dopent-la-croissance-de-la-siame-a-fin-septembre_56922
15/09/25,17:36,La SIAME annonce la démission de ses deux commissaires aux comptes,https://www.ilboursa.com/marches/la-siame-annonce-la-demission-de-ses-deux-commissaires-aux-comptes_55102
26/07/25,09:57,SIAME : Des réalisations semestrielles en progression malgré un contexte contrasté,https://www.ilboursa.com/marches/siame-des-realisations-semestrielles-en-progression-malgre-un-contexte-contraste_54051
07/07/25,15:36,La SIAME placée sous contrôle judiciaire,https://www.ilboursa.com/marches/la-siame-placee-sous-controle-judiciaire_53660
08/05/25,16:40,La SIAME annonce la création d'une nouvelle filiale en Algérie,https://www.ilboursa.com/marches/la-siame-annonce-la-creation-d-une-nouvelle-filiale-en-algerie_52553
28/04/25,15:23,SIAME : Repli de 9% du chiffre d’affaires au premier trimestre 2025,https://www.ilboursa.com/marches/siame-repli-de-9-du-chiffre-daffaires-au-premier-trimestre-2025_52364
26/03/25,14:00,La SIAME améliore de 65% son bénéfice net en 2024,https://www.ilboursa.com/marches/la-siame-ameliore-de-65-son-benefice-net-en-2024_51731
23/01/25,08:01,La SIAME voit ses revenus croître de 7% en 2024,https://www.ilboursa.com/marches/la-siame-voit-ses-revenus-croitre-de-7-en-2024_50443
23/10/24,15:52,La SIAME annonce 32 millions de dinars de chiffre d’affaires à fin septembre,https://www.ilboursa.com/marches/la-siame-annonce-32-millions-de-dinars-de-chiffre-daffaires-a-fin-septembre_48913
13/09/24,10:03,La SIAME améliore de plus de 50% son bénéfice net au premier semestre,https://www.ilboursa.com/marches/la-siame-ameliore-de-plus-de-50-son-benefice-net-au-premier-semestre_48114
24/07/24,14:05,La SIAME améliore de 14% ses revenus à 23 millions de dinars au premier semestre,https://www.ilboursa.com/marches/la-siame-ameliore-de-14-ses-revenus-a-23-millions-de-dinars-au-premier-semestre_47398
30/05/24,11:48,L'avenir s'annonce prometteur pour le groupe SIAME,https://www.ilboursa.com/marches/l-avenir-s-annonce-prometteur-pour-le-groupe-siame_46505
10/05/24,15:27,La SIAME remporte trois lots d'un appel d'offres de la STEG pour plus de 4 millions de dinars,https://www.ilboursa.com/marches/la-siame-remporte-trois-lots-d-un-appel-d-offres-de-la-steg-pour-plus-de-4-millions-de-dinars_46156
23/04/24,13:13,Les revenus de la SIAME s'envolent de 37% au premier trimestre à 12 millions de dinars,https://www.ilboursa.com/marches/les-revenus-de-la-siame-s-envolent-de-37-au-premier-trimestre-a-12-millions-de-dinars_45875
28/02/24,10:41,Mongi JELASSI : « Je promets une rentabilité conforme aux attentes des actionnaires »,https://www.ilboursa.com/marches/mongi-jelassi--je-promets-une-rentabilite-conforme-aux-attentes-des-actionnaires-_45040
22/01/24,08:44,La SIAME augmente de 50% ses revenus en 2023 à plus de 40 millions de dinars,https://www.ilboursa.com/marches/la-siame-augmente-de-50-ses-revenus-en-2023-a-plus-de-40-millions-de-dinars_44472
12/09/23,17:19,La SIAME voit son bénéfice net baisser de 40% au premier semestre,https://www.ilboursa.com/marches/la-siame-voit-son-benefice-net-baisser-de-40-au-premier-semestre_42535
20/07/23,09:12,La SIAME réalise un chiffre d'affaires de 20 millions de dinars au premier semestre,https://www.ilboursa.com/marches/la-siame-realise-un-chiffre-d-affaires-de-20-millions-de-dinars-au-premier-semestre_41729
