date_str,time_str,headline,url
25/11/25,15:26,"Dettes, administration judiciaire et crédits bancaires : SOMOCER dévoile son plan de restructuration",https://www.ilboursa.com/marches/dettes-administration-judiciaire-et-credits-bancaires-somocer-devoile-son-plan-de-restructuration_57897
16/10/25,16:56,SOMOCER accuse en 2024 une perte historique de près de 29 millions de dinars,https://www.ilboursa.com/marches/somocer-accuse-en-2024-une-perte-historique-de-pres-de-29-millions-de-dinars_55874
24/01/25,09:15,SOMOCER Group célèbre son 40ème anniversaire,https://www.ilboursa.com/marches/somocer-group-celebre-son-40eme-anniversaire_50484
28/10/24,09:23,Chute de 34% des revenus de SOMOCER à fin septembre,https://www.ilboursa.com/marches/chute-de-34-des-revenus-de-somocer-a-fin-septembre_48981
25/09/24,09:10,SOMOCER accuse une perte nette de 15 millions de dinars au premier semestre,https://www.ilboursa.com/marches/somocer-accuse-une-perte-nette-de-15-millions-de-dinars-au-premier-semestre_48354
08/08/24,14:08,SOMOCER voit ses revenus chuter de 35 % au premier semestre,https://www.ilboursa.com/marches/somocer-voit-ses-revenus-chuter-de-35-au-premier-semestre_47621
30/07/24,15:16,Le Groupe SOMOCER accuse une perte nette de 25 millions de dinars en 2023,https://www.ilboursa.com/marches/le-groupe-somocer-accuse-une-perte-nette-de-25-millions-de-dinars-en-2023_47484
11/05/24,08:47,Le Tribunal de Monastir nomme un mandataire judiciaire pour SOMOCER,https://www.ilboursa.com/marches/le-tribunal-de-monastir-nomme-un-mandataire-judiciaire-pour-somocer_46165
06/05/24,19:09,Chute de 34 % des revenus de SOMOCER au premier trimestre,https://www.ilboursa.com/marches/chute-de-34-des-revenus-de-somocer-au-premier-trimestre_46086
04/04/24,08:35,SOMOCER va élire un Administrateur représentant des actionnaires minoritaires,https://www.ilboursa.com/marches/somocer-va-elire-un-administrateur-representant-des-actionnaires-minoritaires_45580
25/01/24,13:34,Le ralentissement économique mondial pèse sur les réalisations de SOMOCER en 2023,https://www.ilboursa.com/marches/le-ralentissement-economique-mondial-pese-sur-les-realisations-de-somocer-en-2023_44561
28/09/23,19:38,SOMOCER retourne presque à l'équilibre au premier semestre,https://www.ilboursa.com/marches/somocer-retourne-presque-a-l-equilibre-au-premier-semestre_42822
26/07/23,08:36,"L'export freine, SOMOCER voit ses revenus semestriels baisser de 7%",https://www.ilboursa.com/marches/l-export-freine-somocer-voit-ses-revenus-semestriels-baisser-de-7_41822
26/06/23,17:07,La guerre en Ukraine a pesé sur les marges de SOMOCER en 2022,https://www.ilboursa.com/marches/la-guerre-en-ukraine-a-pese-sur-les-marges-de-somocer-en-2022_41432
18/05/23,09:01,SOMOCER lance un appel à candidature pour élire un représentant des petits porteurs,https://www.ilboursa.com/marches/somocer-lance-un-appel-a-candidature-pour-elire-un-representant-des-petits-porteurs_40780
29/04/23,10:14,SOMOCER améliore de 12% ses revenus à 25 millions de dinars au premier trimestre,https://www.ilboursa.com/marches/somocer-ameliore-de-12-ses-revenus-a-25-millions-de-dinars-au-premier-trimestre_40458
13/04/23,09:36,SOMOCER lance un appel à candidatures pour désigner deux Administrateurs indépendants,https://www.ilboursa.com/marches/somocer-lance-un-appel-a-candidatures-pour-designer-deux-administrateurs-independants_40166
15/03/23,12:03,SOMOCER Group et SANIMED participent au Salon international ISH à Francfort,https://www.ilboursa.com/marches/somocer-group-et-sanimed-participent-au-salon-international-ish-a-francfort_39697
24/01/23,16:16,Les revenus de SOMOCER dépassent la barre des 100 millions de dinars en 2022,https://www.ilboursa.com/marches/les-revenus-de-somocer-depassent-la-barre-des-100-millions-de-dinars-en-2022_38940
25/10/22,09:52,SOMOCER améliore de 7% ses revenus à fin septembre à plus de 70 millions de dinars,https://www.ilboursa.com/marches/somocer-ameliore-de-7-ses-revenus-a-fin-septembre-a-plus-de-70-millions-de-dinars_37387
18/10/22,15:48,Participation fructueuse de SOMOCER Group au Salon International de CERSAIE,https://www.ilboursa.com/marches/participation-fructueuse-de-somocer-group-au-salon-international-de-cersaie_37240
16/09/22,08:58,La hausse des coûts pèse sur le résultat semestriel de SOMOCER,https://www.ilboursa.com/marches/la-hausse-des-couts-pese-sur-le-resultat-semestriel-de-somocer_36616
02/08/22,11:20,SOMOCER améliore de 12% ses revenus semestriels à 50 millions de dinars,https://www.ilboursa.com/marches/somocer-ameliore-de-12-ses-revenus-semestriels-a-50-millions-de-dinars_35895
13/06/22,09:51,SOMOCER a plus que doublé ses bénéfices en 2021,https://www.ilboursa.com/marches/somocer-a-plus-que-double-ses-benefices-en-2021_35091
04/05/22,10:46,SOMOCER annonce un chiffre d'affaires en baisse de 8% au premier trimestre,https://www.ilboursa.com/marches/somocer-annonce-un-chiffre-d-affaires-en-baisse-de-8-au-premier-trimestre_34365
25/01/22,10:03,SOMOCER annonce un chiffre d'affaires de 94 millions de dinars en 2021,https://www.ilboursa.com/marches/somocer-annonce-un-chiffre-d-affaires-de-94-millions-de-dinars-en-2021_32515
28/10/21,09:23,"SOMOCER annonce des revenus de 66 millions de dinars à fin septembre, en hausse de 19%",https://www.ilboursa.com/marches/somocer-annonce-des-revenus-de-66-millions-de-dinars-a-fin-septembre-en-hausse-de-19_31034
14/09/21,08:44,"SOMOCER réduit sa perte nette à 1,6 million de dinars au premier semestre",https://www.ilboursa.com/marches/somocer-reduit-sa-perte-nette-a-1-6-million-de-dinars-au-premier-semestre_30205
18/06/21,09:48,Le Groupe SOMOCER annonce une perte de 15 millions de dinars en 2020,https://www.ilboursa.com/marches/le-groupe-somocer-annonce-une-perte-de-15-millions-de-dinars-en-2020_28755
26/01/21,14:23,SOMOCER voit ses revenus baisser de 11% en 2020 à 82 millions de dinars,https://www.ilboursa.com/marches/somocer-voit-ses-revenus-baisser-de-11-en-2020-a-82-millions-de-dinars_26215
16/09/20,14:50,La société SOMOCER annonce une perte nette de 7 millions de dinars au premier semestre,https://www.ilboursa.com/marches/la-societe-somocer-annonce-une-perte-nette-de-7-millions-de-dinars-au-premier-semestre_24161
27/07/20,11:17,SOMOCER : Baisse de 25% des revenus au premier semestre,https://www.ilboursa.com/marches/somocer-baisse-de-25-des-revenus-au-premier-semestre_23426
12/06/20,08:53,"La société SOMOCER annonce un bénéfice net de 3,2 millions de dinars en 2019",https://www.ilboursa.com/marches/la-societe-somocer-annonce-un-benefice-net-de-3-2-millions-de-dinars-en-2019_22804
22/01/20,11:50,SOMOCER maintient le cap d'une solide croissance en 2019,https://www.ilboursa.com/marches/somocer-maintient-le-cap-d-une-solide-croissance-en-2019_20480
23/10/19,17:01,SOMOCER augmente de 12% ses revenus à fin septembre,https://www.ilboursa.com/marches/somocer-augmente-de-12-ses-revenus-a-fin-septembre_19335
25/09/19,15:09,Somocer Group au plus grand Salon International de la Céramique pour l'Architecture et la Construction,https://www.ilboursa.com/marches/somocer-group-au-plus-grand-salon-international-de-la-ceramique-pour-l-architecture-et-la-construction_18929
20/08/19,12:54,"SOMOCER réalise un bénéfice net de 2,2 millions de dinars au premier semestre",https://www.ilboursa.com/marches/somocer-realise-un-benefice-net-de-2-2-millions-de-dinars-au-premier-semestre_18461
07/08/19,08:52,SOMOCER monte à 70% du capital de la SOTEMAIL,https://www.ilboursa.com/marches/somocer-monte-a-70-du-capital-de-la-sotemail_18351
30/07/19,09:57,SOMOCER augmente de 15% ses revenus semestriels à 45 millions de dinars,https://www.ilboursa.com/marches/somocer-augmente-de-15-ses-revenus-semestriels-a-45-millions-de-dinars_18234
29/05/19,13:45,"Le Groupe SOMOCER augmente de 80% son bénéfice net consolidé à 6,8 millions de dinars",https://www.ilboursa.com/marches/le-groupe-somocer-augmente-de-80-son-benefice-net-consolide-a-6-8-millions-de-dinars_17599
20/05/19,13:44,SOMOCER dégage un bénéfice net de plus de 4 millions de dinars en 2018,https://www.ilboursa.com/marches/somocer-degage-un-benefice-net-de-plus-de-4-millions-de-dinars-en-2018_17471
23/04/19,15:57,"La société SOMOCER dégage un bénéfice net de 4,4 millions de dinars en 2018",https://www.ilboursa.com/marches/la-societe-somocer-degage-un-benefice-net-de-4-4-millions-de-dinars-en-2018_17112
23/04/19,09:21,"SOMOCER réalise des revenus de 22 millions de dinars à fin mars, en hausse de 18%",https://www.ilboursa.com/marches/somocer-realise-des-revenus-de-22-millions-de-dinars-a-fin-mars-en-hausse-de-18_17092
16/04/19,09:46,SOMOCER Group tiendra une communication financière le 23 avril,https://www.ilboursa.com/marches/somocer-group-tiendra-une-communication-financiere-le-23-avril_16990
21/03/19,09:39,Noureddine Taboubi inaugure le siège du syndicat de base de la société SOMOCER,https://www.ilboursa.com/marches/noureddine-taboubi-inaugure-le-siege-du-syndicat-de-base-de-la-societe-somocer_16638
18/02/19,08:27,SOMOCER Group : Journées Portes Ouvertes au profit des professionnels locaux et étrangers,https://www.ilboursa.com/marches/somocer-group-journees-portes-ouvertes-au-profit-des-professionnels-locaux-et-etrangers_16236
22/01/19,12:00,SOMOCER réalise un chiffre d’affaires de 87 millions de dinars en 2018,https://www.ilboursa.com/marches/somocer-realise-un-chiffre-daffaires-de-87-millions-de-dinars-en-2018_15856
26/10/18,07:37,SOMOCER affiche un chiffre d'affaires de plus de 58 millions de dinars à fin septembre,https://www.ilboursa.com/marches/somocer-affiche-un-chiffre-d-affaires-de-plus-de-58-millions-de-dinars-a-fin-septembre_15153
26/09/18,07:39,SOMOCER Group et SANIMED participent au salon de la céramique de Bologne,https://www.ilboursa.com/marches/somocer-group-et-sanimed-participent-au-salon-de-la-ceramique-de-bologne_14904
27/08/18,09:10,SOMOCER multiplie quasiment par deux son bénéfice semestriel,https://www.ilboursa.com/marches/somocer-multiplie-quasiment-par-deux-son-benefice-semestriel_14686
23/07/18,17:00,La SOMOCER table sur une envolée de 70% de son bénéfice semestriel,https://www.ilboursa.com/marches/la-somocer-table-sur-une-envolee-de-70-de-son-benefice-semestriel_14541
31/05/18,13:09,"Le Groupe SOMOCER annonce un bénéfice net de 3,3 millions de dinars",https://www.ilboursa.com/marches/le-groupe-somocer-annonce-un-benefice-net-de-3-3-millions-de-dinars_14266
21/05/18,09:11,SOMOCER multiplie par cinq son bénéfice net en 2017 à 4 millions de dinars,https://www.ilboursa.com/marches/somocer-multiplie-par-cinq-son-benefice-net-en-2017-a-4-millions-de-dinars_14222
24/04/18,14:40,SOMOCER : Baisse de 11% du chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/somocer-baisse-de-11-du-chiffre-d-affaires-au-premier-trimestre_14062
08/03/18,13:03,Abdennadher Bricolage Center lance la 2ème édition du ''Mois de la salle de bain'',https://www.ilboursa.com/marches/abdennadher-bricolage-center-lance-la-2eme-edition-du--mois-de-la-salle-de-bain-_13699
26/02/18,14:02,Somocer Group et Sanimed organisent deux journées portes ouvertes au profit des professionnels,https://www.ilboursa.com/marches/somocer-group-et-sanimed organisent-deux-journees-portes-ouvertes-au-profit-des-professionnels_13634
15/01/18,08:14,SOMOCER augmente son chiffre d'affaires de 27% en 2017,https://www.ilboursa.com/marches/somocer-augmente-son-chiffre-d-affaires-de-27-en-2017_13345
16/10/17,16:43,SOMOCER accélère sa croissance au troisième trimestre,https://www.ilboursa.com/marches/somocer-accelere-sa-croissance-au-troisieme-trimestre_12636
26/09/17,09:54,Somocer Group et Sanimed participent au salon Cersaie 2017,https://www.ilboursa.com/marches/somocer-group-et-sanimed-participent-au-salon-cersaie-2017_12495
08/09/17,08:43,SOMOCER augmente son bénéfice net de 35% au premier semestre,https://www.ilboursa.com/marches/somocer-augmente-son-benefice-net-de-35-au-premier-semestre_12386
06/09/17,10:03,SOMOCER Group participe au Salon des Fournisseurs 2017 de Leroy Merlin,https://www.ilboursa.com/marches/somocer-group-participe-au-salon-des-fournisseurs-2017-de-leroy-merlin_12371
27/07/17,09:10,SOMOCER : Chiffre d'affaires en hausse de 21% au premier semestre à 41 millions de dinars,https://www.ilboursa.com/marches/somocer-chiffre-d-affaires-en-hausse-de-21-au-premier-semestre-a-41-millions-de-dinars_12165
04/07/17,09:08,"SOMOCER remet le cap sur l’export, une stratégie doublement bénéfique",https://www.ilboursa.com/marches/somocer-remet-le-cap-sur-lexport-une-strategie-doublement-benefique_12007
15/06/17,07:57,Bilan financier dans le rouge pour le Groupe SOMOCER en 2016,https://www.ilboursa.com/marches/bilan-financier-dans-le-rouge-pour-le-groupe-somocer-en-2016_11909
02/06/17,10:28,Les charges financières pèsent sur les résultats 2016 de SOMOCER,https://www.ilboursa.com/marches/les-charges-financieres-pesent-sur-les-resultats-2016-de-somocer_11843
11/05/17,08:19,SOMOCER Group au Salon Project QATAR 2017 : Un leadership à consolider,https://www.ilboursa.com/marches/somocer-group-au-salon-project-qatar-2017 -un-leadership-a-consolider_11660
25/04/17,16:52,SOMOCER : Les exportations dopent l'activité au premier trimestre,https://www.ilboursa.com/marches/somocer-les-exportations-dopent-l-activite-au-premier-trimestre_11524
03/03/17,12:35,La société ABC fête son 21ème anniversaire et lance le mois de la Salle de Bain,https://www.ilboursa.com/marches/la-societe-abc-fete-son-21eme-anniversaire-et-lance-le-mois-de-la-salle-de-bain_11125
24/02/17,18:29,SANIMED : Démarrage de cotation le mercredi 1er mars 2017,https://www.ilboursa.com/marches/sanimed-demarrage-de-cotation-le-mercredi-1er-mars-2017_11076
06/02/17,15:38,Le Groupe SOMOCER organise une Journée Portes Ouvertes au profit des professionnels,https://www.ilboursa.com/marches/le-groupe-somocer-organise-une-journee-portes-ouvertes-au-profit-des-professionnels_10944
25/01/17,16:41,"SOMOCER stabilise son chiffre d'affaires en 2016, les exportations s'envolent",https://www.ilboursa.com/marches/somocer-stabilise-son-chiffre-d-affaires-en-2016-les-exportations-s-envolent_10867
23/01/17,11:47,SANIMED : Accroissement de 13% des revenus à 32 millions de dinars en 2016,https://www.ilboursa.com/marches/sanimed-accroissement-de-13-des-revenus-a-32-millions-de-dinars-en-2016_10830
11/01/17,11:01,"L'OPF de la société SANIMED souscrite 1,33 fois",https://www.ilboursa.com/marches/l-opf-de-la-societe-sanimed-souscrite-1-33-fois_10728
06/01/17,22:01,Abdennadher Bricolage Center (ABC) inaugure son 10ème Showroom à Mnihla,https://www.ilboursa.com/marches/abdennadher-bricolage-center-abc-inaugure-son-10eme-showroom-a-mnihla_10711
22/12/16,15:23,SOMOCER conclut un partenariat commercial avec l'enseigne française Leroy Merlin,https://www.ilboursa.com/marches/somocer-conclut-un-partenariat-commercial-avec-l-enseigne-francaise-leroy-merlin_10619
19/12/16,16:27,SANIMED en Bourse : Prorogation de la période de souscription au 6 janvier 2017,https://www.ilboursa.com/marches/sanimed-en-bourse-prorogation-de-la-periode-de-souscription-au-6-janvier-2017_10597
13/12/16,14:31,"SANIMED en Bourse : MAC SA recommande de souscrire à l'OPF, mais sous conditions",https://www.ilboursa.com/marches/sanimed-en-bourse-mac-sa-recommande-de-souscrire-a-l-opf-mais-sous-conditions_10558
13/12/16,12:44,SANIMED en Bourse : BNA Capitaux recommande de souscrire à l'OPF,https://www.ilboursa.com/marches/sanimed-en-bourse-bna-capitaux-recommande-de-souscrire-a-l-opf_10555
08/12/16,08:10,SANIMED en Bourse : Les détails de l'opération,https://www.ilboursa.com/marches/sanimed-en-bourse-les-details-de-l-operation_10538
06/12/16,11:52,SANIMED tiendra sa première communication financière ce mardi,https://www.ilboursa.com/marches/sanimed-tiendra-sa-premiere-communication-financiere-ce-mardi_10523
28/11/16,07:23,"SOMOCER : Les exportations s'envolent de 240% à fin octobre à 5,1 millions de dinars",https://www.ilboursa.com/marches/somocer-les-exportations-s-envolent-de-240-a-fin-octobre-a-5-1-millions-de-dinars_10459
