date_str,time_str,headline,url
25/09/24,10:39,La SOTEMAIL annonce une perte semestrielle de 7 millions de dinars,https://www.ilboursa.com/marches/la-sotemail-annonce-une-perte-semestrielle-de-7-millions-de-dinars_48360
06/08/24,10:53,Chute de 40 % des revenus de la SOTEMAIL au premier semestre,https://www.ilboursa.com/marches/chute-de-40-des-revenus-de-la-sotemail-au-premier-semestre_47592
07/05/24,09:53,La SOTEMAIL voit ses revenus baisser de 33 % à fin mars,https://www.ilboursa.com/marches/la-sotemail-voit-ses-revenus-baisser-de-33-a-fin-mars_46088
30/01/24,12:58,La SOTEMAIL voit son chiffre d'affaires baisser de 12% en 2023,https://www.ilboursa.com/marches/la-sotemail-voit-son-chiffre-d-affaires-baisser-de-12-en-2023_44622
25/10/23,09:00,La SOTEMAIL annonce des revenus de 43 millions de dinars à fin septembre,https://www.ilboursa.com/marches/la-sotemail-annonce-des-revenus-de-43-millions-de-dinars-a-fin-septembre_43281
02/10/23,10:19,La SOTEMAIL réduit de 40% ses pertes au premier semestre,https://www.ilboursa.com/marches/la-sotemail-reduit-de-40-ses-pertes-au-premier-semestre_42857
28/07/23,13:29,La SOTEMAIL augmente de 4% ses revenus semestriels à plus de 32 millions de dinars,https://www.ilboursa.com/marches/la-sotemail-augmente-de-4-ses-revenus-semestriels-a-plus-de-32-millions-de-dinars_41871
23/06/23,09:54,Les charges financières pèsent sur les résultats de la SOTEMAIL en 2022,https://www.ilboursa.com/marches/les-charges-financieres-pesent-sur-les-resultats-de-la-sotemail-en-2022_41376
26/04/23,15:37,La SOTEMAIL voit son chiffre d'affaires accroître de 64% au premier trimestre,https://www.ilboursa.com/marches/la-sotemail-voit-son-chiffre-d-affaires-accroitre-de-64-au-premier-trimestre_40390
27/01/23,09:37,La SOTEMAIL annonce un chiffre d'affaires record de près de 65 millions de dinars en 2022,https://www.ilboursa.com/marches/la-sotemail-annonce-un-chiffre-d-affaires-record-de-pres-de-65-millions-de-dinars-en-2022_38987
26/10/22,11:57,La SOTEMAIL améliore de 9% ses revenus à fin septembre à plus de 42 millions de dinars,https://www.ilboursa.com/marches/la-sotemail-ameliore-de-9-ses-revenus-a-fin-septembre-a-plus-de-42-millions-de-dinars_37420
13/09/22,15:42,La SOTEMAIL accuse une perte nette de plus de 3 millions de dinars au premier semestre,https://www.ilboursa.com/marches/la-sotemail-accuse-une-perte-nette-de-plus-de-3-millions-de-dinars-au-premier-semestre_36570
04/05/22,12:00,La SOTEMAIL voit ses revenus chuter de 25% au premier trimestre,https://www.ilboursa.com/marches/la-sotemail-voit-ses-revenus-chuter-de-25-au-premier-trimestre_34372
16/09/21,10:50,La SOTEMAIL divise par trois ses pertes au premier semestre,https://www.ilboursa.com/marches/la-sotemail-divise-par-trois-ses-pertes-au-premier-semestre_30257
16/06/21,10:20,La SOTEMAIL accuse une perte nette de 6 millions de dinars en 2020,https://www.ilboursa.com/marches/la-sotemail-accuse-une-perte-nette-de-6-millions-de-dinars-en-2020_28712
27/04/21,11:08,La SOTEMAIL améliore de 55% son chiffre d'affaires au premier trimestre à plus de 14 millions de dinars,https://www.ilboursa.com/marches/la-sotemail-ameliore-de-55-son-chiffre-d-affaires-au-premier-trimestre-a-plus-de-14-millions-de-dinars_27834
15/02/21,13:41,La SOTEMAIL annonce la réalisation de l'augmentation de son capital,https://www.ilboursa.com/marches/la-sotemail-annonce-la-realisation-de-l-augmentation-de-son-capital_26602
01/02/21,14:05,La SOTEMAIL annonce un chiffre d'affaires en repli de 17% en 2020 à 47 millions de dinars,https://www.ilboursa.com/marches/la-sotemail-annonce-un-chiffre-d-affaires-en-repli-de-17-en-2020-a-47-millions-de-dinars_26342
16/09/20,09:28,"La SOTEMAIL accuse une perte nette de 6,6 millions de dinars au premier semestre",https://www.ilboursa.com/marches/la-sotemail-accuse-une-perte-nette-de-6-6-millions-de-dinars-au-premier-semestre_24149
11/06/20,08:43,"SOTEMAIL réalise un bénéfice net de 2,3 millions de dinars en 2019 et augmente son capital",https://www.ilboursa.com/marches/sotemail-realise-un-benefice-net-de-2-3-millions-de-dinars-en-2019-et-augmente-son-capital_22777
04/05/20,08:59,"Impacté par la crise sanitaire, les revenus trimestriels de la SOTEMAIL baissent de 37%",https://www.ilboursa.com/marches/impacte-par-la-crise-sanitaire-les-revenus-trimestriels-de-la-sotemail-baissent-de-37_22182
29/01/20,12:03,La SOTEMAIL voit ses revenus augmenter de 11% en 2019 à plus de 57 millions de dinars,https://www.ilboursa.com/marches/la-sotemail-voit-ses-revenus-augmenter-de-11-en-2019-a-plus-de-57-millions-de-dinars_20577
28/10/19,09:05,SOTEMAIL : Hausse de 17% des revenus à fin septembre à 41 millions de dinars,https://www.ilboursa.com/marches/sotemail-hausse-de-17-des-revenus-a-fin-septembre-a-41-millions-de-dinars_19395
