date_str,time_str,headline,url
09/10/25,15:39,La SOTIPAPIER annonce la reprise de l’activité de son site industriel de Belli,https://www.ilboursa.com/marches/la-sotipapier-annonce-la-reprise-de-lactivite-de-son-site-industriel-de-belli_55727
24/04/25,13:00,La SOTIPAPIER améliore de 7% ses revenus à fin mars à 28 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-ameliore-de-7-ses-revenus-a-fin-mars-a-28-millions-de-dinars_52288
22/04/25,16:38,Sofiene Mahjoub nommé nouveau Directeur Général de la SOTIPAPIER,https://www.ilboursa.com/marches/sofiene-mahjoub-nomme-nouveau-directeur-general-de-la-sotipapier_52237
18/03/25,13:13,Slim ZEGHAL nommé Président du Conseil d'administration de la SOTIPAPIER,https://www.ilboursa.com/marches/slim-zeghal-nomme-president-du-conseil-d-administration-de-la-sotipapier_51570
29/11/24,09:05,"La SOTIPAPIER propose la distribution d'un dividende de 0,320 dinar au titre de 2023",https://www.ilboursa.com/marches/la-sotipapier-propose-la-distribution-d-un-dividende-de-0-320-dinar-au-titre-de-2023_49566
01/10/24,16:40,La SOTIPAPIER met en œuvre un programme de rachat de ses propres actions,https://www.ilboursa.com/marches/la-sotipapier-met-en-œuvre-un-programme-de-rachat-de-ses-propres-actions_48482
23/05/24,11:08,"La SOTIPAPIER acquiert 70% du capital de Eco-Gad, pionnier de la collecte des déchets recyclables",https://www.ilboursa.com/marches/la-sotipapier-acquiert-70-du-capital-de-eco-gad-pionnier-de-la-collecte-des-dechets-recyclables_46390
09/05/24,08:26,Le groupe SOTIPAPIER voit ses bénéfices chuter de 90 % en 2023,https://www.ilboursa.com/marches/le-groupe-sotipapier-voit-ses-benefices-chuter-de-90-en-2023_46130
12/04/24,15:03,Raphaël Poullain nommé nouveau Directeur Général de la SOTIPAPIER,https://www.ilboursa.com/marches/raphaël-poullain-nomme-nouveau-directeur-general-de-la-sotipapier_45697
30/01/24,09:26,Baisse de près de 40% du chiffre d'affaires de la SOTIPAPIER en 2023,https://www.ilboursa.com/marches/baisse-de-pres-de-40-du-chiffre-d-affaires-de-la-sotipapier-en-2023_44618
23/10/23,13:45,Chute de 40% des revenus de la SOTIPAPIER à fin septembre,https://www.ilboursa.com/marches/chute-de-40-des-revenus-de-la-sotipapier-a-fin-septembre_43242
28/09/23,09:50,"Incendie dans l'usine de SOTIPAPIER, cotation suspendue à la Bourse de Tunis",https://www.ilboursa.com/marches/incendie-dans-l-usine-de-sotipapier-cotation-suspendue-a-la-bourse-de-tunis_42802
08/09/23,16:49,La SOTIPAPIER propose le report de la mise en paiement des dividendes au titre de 2022,https://www.ilboursa.com/marches/la-sotipapier-propose-le-report-de-la-mise-en-paiement-des-dividendes-au-titre-de-2022_42485
06/09/23,11:12,La SOTIPAPIER voit ses bénéfices chuter de plus de 60% au premier semestre,https://www.ilboursa.com/marches/la-sotipapier-voit-ses-benefices-chuter-de-plus-de-60-au-premier-semestre_42430
02/08/23,12:36,SOTIPAPIER : Chute de 35% des revenus au premier semestre,https://www.ilboursa.com/marches/sotipapier-chute-de-35-des-revenus-au-premier-semestre_41944
16/06/23,09:34,SOTIPAPIER : Reprise confirmée en 2022 et de bonnes perspectives sur le moyen terme,https://www.ilboursa.com/marches/sotipapier-reprise-confirmee-en-2022-et-de-bonnes-perspectives-sur-le-moyen-terme_41272
22/05/23,13:55,"La SOTIPAPIER propose de verser un dividende de 0,470 dinar par action",https://www.ilboursa.com/marches/la-sotipapier-propose-de-verser-un-dividende-de-0-470-dinar-par-action_40831
18/04/23,09:07,SOTIPAPIER : Baisse de 17% du chiffre d'affaires au premier trimestre,https://www.ilboursa.com/marches/sotipapier-baisse-de-17-du-chiffre-d-affaires-au-premier-trimestre_40243
10/04/23,10:28,La société SANGO ELLIS achète pour plus de 4 millions de dinars d'actions SOTIPAPIER,https://www.ilboursa.com/marches/la-societe-sango-ellis-achete-pour-plus-de-4-millions-de-dinars-d-actions-sotipapier_40113
13/03/23,10:55,SOTIPAPIER et Tetra Pak lancent le recyclage des emballages alimentaires en carton,https://www.ilboursa.com/marches/sotipapier-et-tetra-pak-lancent-le-recyclage-des-emballages-alimentaires-en-carton_39651
09/03/23,15:44,SOTIPAPIER : Aucun dépôt de pli à la Bourse en réponse à l'OPA obligatoire,https://www.ilboursa.com/marches/sotipapier-aucun-depot-de-pli-a-la-bourse-en-reponse-a-l-opa-obligatoire_39618
10/02/23,15:23,"SOTIPAPIER : Le prix de l'Offre Publique d'Achat fixé à 6,340 dinars l'action",https://www.ilboursa.com/marches/sotipapier-le-prix-de-l-offre-publique-d-achat-fixe-a-6-340-dinars-l-action_39231
24/01/23,08:42,La SOTIPAPIER augmente de 25% son chiffre d'affaires en 2022 à 160 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-augmente-de-25-son-chiffre-d-affaires-en-2022-a-160-millions-de-dinars_38925
19/01/23,18:53,La holding mauricienne S&S ELLIS autorisée à acquérir 52% de la SOTIPAPIER,https://www.ilboursa.com/marches/la-holding-mauricienne-ss-ellis-autorisee-a-acquerir-52-de-la-sotipapier_38848
20/10/22,11:21,La SOTIPAPIER augmente de 42% ses revenus à fin septembre à 122 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-augmente-de-42-ses-revenus-a-fin-septembre-a-122-millions-de-dinars_37295
06/09/22,08:26,La SOTIPAPIER a plus que doublé ses bénéfices semestriels à 16 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-a-plus-que-double-ses-benefices-semestriels-a-16-millions-de-dinars_36435
17/08/22,10:23,SOTIPAPIER : Une reprise bien confirmée,https://www.ilboursa.com/marches/sotipapier-une-reprise-bien-confirmee_36101
12/08/22,15:01,Sango Capital va acquérir 52% du capital de la SOTIPAPIER pour plus de 90 millions de dinars,https://www.ilboursa.com/marches/sango-capital-va-acquerir-52-du-capital-de-la-sotipapier-pour-plus-de-90-millions-de-dinars_36048
14/06/22,09:26,La SOTIPAPIER retrouve en 2021 les années de croissance à deux chiffres,https://www.ilboursa.com/marches/la-sotipapier-retrouve-en-2021-les-annees-de-croissance-a-deux-chiffres_35113
16/05/22,15:44,Le groupe SOTIPAPIER multiplie par 11 ses bénéfices en 2021 à plus de 18 millions de dinars,https://www.ilboursa.com/marches/le-groupe-sotipapier-multiplie-par-11-ses-benefices-en-2021-a-plus-de-18-millions-de-dinars_34582
31/01/22,14:43,La SOTIPAPIER améliore de 55% ses revenus en 2021 à 127 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-ameliore-de-55-ses-revenus-en-2021-a-127-millions-de-dinars_32626
20/10/21,14:07,La SOTIPAPIER voit ses revenus progresser de 56% à fin septembre à 86 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-voit-ses-revenus-progresser-de-56-a-fin-septembre-a-86-millions-de-dinars_30876
15/04/21,13:00,"SOTIPAPIER : Chiffre d'affaires en hausse de 11% au premier trimestre à 25,5 millions de dinars",https://www.ilboursa.com/marches/sotipapier-chiffre-d-affaires-en-hausse-de-11-au-premier-trimestre-a-25-5-millions-de-dinars_27638
02/02/21,09:12,SOTIPAPIER : Chute de 34% des revenus en 2020 à 82 millions de dinars,https://www.ilboursa.com/marches/sotipapier-chute-de-34-des-revenus-en-2020-a-82-millions-de-dinars_26371
11/09/20,10:26,SOTIPAPIER attaque en  justice  le Ministère de l’Industrie et des Petites et Moyennes Entreprises,https://www.ilboursa.com/marches/sotipapier-attaque-en-justice-le-ministere-de-lindustrie-et-des-petites-et-moyennes-entreprises_24084
02/09/20,11:51,Les bénéfices nets de la SOTIPAPIER chutent de 98% au premier semestre,https://www.ilboursa.com/marches/les-benefices-nets-de-la-sotipapier-chutent-de-98-au-premier-semestre_23935
07/05/20,10:22,Le Groupe SOTIPAPIER augmente de 60% son bénéfice en 2019 à plus de 21 millions de dinars,https://www.ilboursa.com/marches/le-groupe-sotipapier-augmente-de-60-son-benefice-en-2019-a-plus-de-21-millions-de-dinars_22263
24/04/20,08:27,SOTIPAPIER : Chiffre d'affaires en repli de 34% au premier trimestre à 23 millions de dinars,https://www.ilboursa.com/marches/sotipapier-chiffre-d-affaires-en-repli-de-34-au-premier-trimestre-a-23-millions-de-dinars_22024
02/09/19,10:08,La SOTIPAPIER augmente de 57% son bénéfice net semestriel à 13 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-augmente-de-57-son-benefice-net-semestriel-a-13-millions-de-dinars_18607
15/05/19,10:34,"SOTIPAPIER propose la distribution d’un dividende de 0,330 dinar par action au titre de 2018",https://www.ilboursa.com/marches/sotipapier-propose-la-distribution-dun-dividende-de-0-330-dinar-par-action-au-titre-de-2018_17421
06/05/19,08:34,Le Groupe SOTIPAPIER voit ses bénéfices croître de 42% en 2018 à 13 millions de dinars,https://www.ilboursa.com/marches/le-groupe-sotipapier-voit-ses-benefices-croitre-de-42-en-2018-a-13-millions-de-dinars_17286
18/04/19,09:50,La SOTIPAPIER améliore de 49% ses revenus au premier trimestre à 35 millions de dinars,https://www.ilboursa.com/marches/la-sotipapier-ameliore-de-49-ses-revenus-au-premier-trimestre-a-35-millions-de-dinars_17033
18/01/19,09:32,La SOTIPAPIER annonce un chiffre d'affaires de 106 millions de dinars en 2018,https://www.ilboursa.com/marches/la-sotipapier-annonce-un-chiffre-d-affaires-de-106-millions-de-dinars-en-2018_15799
08/10/18,16:45,"La SOTIPAPIER redémarre sa production, reprise de cotation mardi 9 octobre",https://www.ilboursa.com/marches/la-sotipapier-redemarre-sa-production-reprise-de-cotation-mardi-9-octobre_14990
24/09/18,10:49,"Inondations à Nabeul : L'usine de la SOTIPAPIER inondée, cotation suspendue",https://www.ilboursa.com/marches/inondations-a-nabeul-l-usine-de-la-sotipapier-inondee-cotation-suspendue_14887
31/08/18,11:26,SOTIPAPIER : Résultat net en hausse de 73% au premier semestre,https://www.ilboursa.com/marches/sotipapier-resultat-net-en-hausse-de-73-au-premier-semestre_14726
19/07/18,12:31,Les revenus de la SOTIPAPIER augmentent de 44% au premier semestre,https://www.ilboursa.com/marches/les-revenus-de-la-sotipapier-augmentent-de-44-au-premier-semestre_14502
