date_str,time_str,headline,url
29/04/26,09:48,Tunis Re valide sa stratégie de diversification et de rigueur technique,https://www.ilboursa.com/marches/tunis-re-valide-sa-strategie-de-diversification-et-de-rigueur-technique_61381
22/04/26,11:45,Tunis Re renforce sa rentabilité technique et financière au premier trimestre,https://www.ilboursa.com/marches/tunis-re-renforce-sa-rentabilite-technique-et-financiere-au-premier-trimestre_61238
26/03/26,18:31,Une année 2025 historique pour Tunis Re,https://www.ilboursa.com/marches/une-annee-2025-historique-pour-tunis-re_60686
23/02/26,15:52,Tunis Re décide de doubler son capital à 200 millions de dinars,https://www.ilboursa.com/marches/tunis-re-decide-de-doubler-son-capital-a-200-millions-de-dinars_59991
20/01/26,17:54,Tunis Re affiche des fondamentaux robustes en 2025,https://www.ilboursa.com/marches/tunis-re-affiche-des-fondamentaux-robustes-en-2025_59156
17/01/26,07:47,Tunis Re lance sa nouvelle solution « Cyber Assurance » dédiée aux PME,https://www.ilboursa.com/marches/tunis-re-lance-sa-nouvelle-solution- cyber-assurance -dediee-aux-pme_59090
22/10/25,09:13,Tunis Re confirme sa solidité au troisième trimestre 2025,https://www.ilboursa.com/marches/tunis-re-confirme-sa-solidite-au-troisieme-trimestre-2025_57016
01/09/25,09:07,Tunis Re augmente de 35% ses bénéfices semestriels à plus de 17 millions de dinars,https://www.ilboursa.com/marches/tunis-re-augmente-de-35-ses-benefices-semestriels-a-plus-de-17-millions-de-dinars_54771
29/08/25,08:02,Tunis Re publie son premier Rapport de Durabilité au titre de l'année 2024,https://www.ilboursa.com/marches/tunis-re-publie-son-premier-rapport-de-durabilite-au-titre-de-l-annee-2024_54730
22/07/25,11:37,Tunis Re améliore de 4% son chiffre d'affaires semestriel à 123 millions de dinars,https://www.ilboursa.com/marches/tunis-re-ameliore-de-4-son-chiffre-d-affaires-semestriel-a-123-millions-de-dinars_53963
16/06/25,14:40,Fitch Ratings confirme la note ''AA(tun)'' de Tunis Re avec perspective stable,https://www.ilboursa.com/marches/fitch-ratings-confirme-la-note--aatun- de-tunis-re-avec-perspective-stable_53222
29/04/25,09:43,Assemblée Générale de Tunis Re : Croissance robuste et stratégie claire face aux défis,https://www.ilboursa.com/marches/assemblee-generale-de-tunis-re-croissance-robuste-et-strategie-claire-face-aux-defis_52382
21/04/25,08:40,Tunis Re augmente de 8% ses revenus au premier trimestre à 76 millions de dinars,https://www.ilboursa.com/marches/tunis-re-augmente-de-8-ses-revenus-au-premier-trimestre-a-76-millions-de-dinars_52189
27/03/25,12:36,Tunis Re améliore de 15% son bénéfice en 2024 à plus de 21 millions de dinars,https://www.ilboursa.com/marches/tunis-re-ameliore-de-15-son-benefice-en-2024-a-plus-de-21-millions-de-dinars_51753
12/02/25,09:44,"Tunis Re : Performance, résilience et vision stratégique dans un marché sous pression",https://www.ilboursa.com/marches/tunis-re-performance-resilience-et-vision-strategique-dans-un-marche-sous-pression_50883
20/01/25,09:08,Tunis Re annonce un chiffre d'affaires record de 235 millions de dinars en 2024,https://www.ilboursa.com/marches/tunis-re-annonce-un-chiffre-d-affaires-record-de-235-millions-de-dinars-en-2024_50350
23/10/24,19:55,COFICERT reconduit la certification MSI 20000 de TUNIS RE pour un sixième cycle consécutif,https://www.ilboursa.com/marches/coficert-reconduit-la-certification-msi-20000-de-tunis-re-pour-un-sixieme-cycle-consecutif_48917
21/10/24,09:30,Tunis Re voit son chiffre d’affaires croître de 15% à fin septembre à 175 millions de dinars,https://www.ilboursa.com/marches/tunis-re-voit-son-chiffre-daffaires-croitre-de-15-a-fin-septembre-a-175-millions-de-dinars_48831
