date_str,time_str,headline,url
17/06/26,09:06,L’UBCI lance la campagne قريتش حسابك pour annoncer sa nouvelle gamme de produits d’Epargne en Assurance,https://www.ilboursa.com/marches/lubci-lance-la-campagne-قريتش-حسابك-pour-annoncer-sa-nouvelle-gamme-de-produits-depargne-en-assurance_62324
29/04/26,08:14,Assemblées Générales de l’UBCI : Des fondamentaux solides et une stratégie en marche,https://www.ilboursa.com/marches/assemblees-generales-de-lubci-des-fondamentaux-solides-et-une-strategie-en-marche_61383
23/04/26,15:42,Croissance solide et une rentabilité en hausse pour l’UBCI en 2025,https://www.ilboursa.com/marches/croissance-solide-et-une-rentabilite-en-hausse-pour-lubci-en-2025_61282
31/03/26,17:32,L'UBCI améliore de 22% son bénéfice à plus de 65 millions de dinars en 2025,https://www.ilboursa.com/marches/l-ubci-ameliore-de-22-son-benefice-a-plus-de-65-millions-de-dinars-en-2025_60782
26/03/26,15:36,Fitch confirme la solidité financière de l’UBCI et réaffirme sa position de premier plan,https://www.ilboursa.com/marches/fitch-confirme-la-solidite-financiere-de-lubci-et-reaffirme-sa-position-de-premier-plan_60677
20/01/26,16:30,L'UBCI améliore de 10% son PNB à plus de 350 millions de dinars en 2025,https://www.ilboursa.com/marches/l-ubci-ameliore-de-10-son-pnb-a-plus-de-350-millions-de-dinars-en-2025_59149
07/01/26,08:16,L'UBCI lève avec succès 60 millions de dinars sur le marché obligataire,https://www.ilboursa.com/marches/l-ubci-leve-avec-succes-60-millions-de-dinars-sur-le-marche-obligataire_58829
22/12/25,18:42,Programme GEFF : La BERD accorde un prêt de 10 millions d’euros à l'UBCI,https://www.ilboursa.com/marches/programme-geff-la-berd-accorde-un-pret-de-10-millions-deuros-a-l-ubci_58586
18/12/25,16:35,UBCI à la première édition de « Le Bridge 25 » organisée par la CCITF : Un engagement fort pour l’innovation,https://www.ilboursa.com/marches/ubci-a-la-premiere-edition-de-le-bridge-25-organisee-par-la-ccitf-un-engagement-fort-pour-linnovation_58546
15/12/25,15:49,L'UBCI émet un emprunt obligataire subordonné de 60 millions de dinars,https://www.ilboursa.com/marches/l-ubci-emet-un-emprunt-obligataire-subordonne-de-60-millions-de-dinars_58423
19/11/25,16:10,L'UBCI partenaire du Global AI Congress Africa 2025 : un engagement stratégique pour l'IA,https://www.ilboursa.com/marches/l-ubci-partenaire-du-global-ai-congress-africa-2025-un-engagement-strategique-pour-l-ia_57772
21/10/25,18:19,UBCI : Une solide dynamique de croissance au troisième trimestre 2025,https://www.ilboursa.com/marches/ubci-une-solide-dynamique-de-croissance-au-troisieme-trimestre-2025_57006
17/10/25,16:21,L'UBCI lève 60 millions de dinars sur le marché obligataire en une seule journée,https://www.ilboursa.com/marches/l-ubci-leve-60-millions-de-dinars-sur-le-marche-obligataire-en-une-seule-journee_56911
13/10/25,19:15,L’UBCI et la BERD signent une lettre de mandat pour la mise en place d’une ligne de crédit verte,https://www.ilboursa.com/marches/lubci-et-la-berd-signent-une-lettre-de-mandat-pour-la-mise-en-place-dune-ligne-de-credit-verte_55793
03/10/25,09:14,"UBCI, 1ère banque doublement labellisée pour son engagement citoyen et durable",https://www.ilboursa.com/marches/ubci-1ere-banque-doublement-labellisee-pour-son-engagement-citoyen-et-durable_55551
09/09/25,11:11,L’UBCI améliore de 18% son bénéfice net semestriel à 27 millions de dinars,https://www.ilboursa.com/marches/lubci-ameliore-de-18-son-benefice-net-semestriel-a-27-millions-de-dinars_54948
09/09/25,08:03,L'UBCI dévoile son rapport RSE 2024,https://www.ilboursa.com/marches/l-ubci-devoile-son-rapport-rse-2024_54936
21/07/25,15:29,UBCI : Une dynamique de croissance solide au premier semestre 2025,https://www.ilboursa.com/marches/ubci-une-dynamique-de-croissance-solide-au-premier-semestre-2025_53948
10/07/25,13:29,UBCI renforce son engagement pour l’inclusion financière avec l’acquisition de DAAM,https://www.ilboursa.com/marches/ubci-renforce-son-engagement-pour-linclusion-financiere-avec-lacquisition-de-daam_53741
29/05/25,16:58,"La BEI, l'UE et l’UBCI s’unissent pour accélérer l’internationalisation des PME régionales",https://www.ilboursa.com/marches/la-bei-l-ue-et-lubci-sunissent-pour-accelerer-linternationalisation-des-pme-regionales_52926
27/05/25,13:31,L'UBCI soutient la 7ème édition du festival international Handy Music,https://www.ilboursa.com/marches/l-ubci-soutient-la-7eme-edition-du-festival-international-handy-music_52871
12/05/25,11:46,"L’UBCI, première banque tunisienne à rejoindre le programme Trade Finance de Proparco",https://www.ilboursa.com/marches/lubci-premiere-banque-tunisienne-a-rejoindre-le-programme-trade-finance-de-proparco_52594
09/05/25,08:03,"Kia Tunis Open : l’UBCI, partenaire fidèle d’un rendez-vous sportif porteur de valeurs",https://www.ilboursa.com/marches/kia-tunis-open-lubci-partenaire-fidele-dun-rendez-vous-sportif-porteur-de-valeurs_52565
29/04/25,16:02,"L’UBCI dévoile sa vision stratégique ""Émergence 2029""",https://www.ilboursa.com/marches/lubci-devoile-sa-vision-strategique-emergence-2029_52398
22/04/25,09:48,L’UBCI augmente de 14% son PNB au premier trimestre 2025,https://www.ilboursa.com/marches/lubci-augmente-de-14-son-pnb-au-premier-trimestre-2025_52213
17/04/25,16:13,L'UBCI poursuit sa dynamique de croissance en 2024 avec un bénéfice de 54 millions de dinars,https://www.ilboursa.com/marches/l-ubci-poursuit-sa-dynamique-de-croissance-en-2024-avec-un-benefice-de-54-millions-de-dinars_52146
14/02/25,10:40,L'UBCI lance FLEXPAY en partenariat avec la PayTech BACTEKSYS,https://www.ilboursa.com/marches/l-ubci-lance-flexpay-en-partenariat-avec-la-paytech-bacteksys_50933
21/01/25,13:33,UBCI : Hausse de 6% du PNB à 322 millions de dinars en 2024,https://www.ilboursa.com/marches/ubci-hausse-de-6-du-pnb-a-322-millions-de-dinars-en-2024_50403
14/01/25,14:10,Fitch Ratings affirme la solidité financière de l'UBCI,https://www.ilboursa.com/marches/fitch-ratings-affirme-la-solidite-financiere-de-l-ubci_50266
03/12/24,10:44,L’UBCI s’engage avec la startup Kumulus pour répondre aux défis de l’eau et la réduction de la consommation du plastique,https://www.ilboursa.com/marches/lubci-sengage-avec-la-startup-kumulus-pour-repondre-aux-defis-de-leau-et-la-reduction-de-la-consommation-du-plastique_49615
22/11/24,08:08,Awled Ghodwa : Quand la jeunesse tunisienne donne espoir à l’avenir,https://www.ilboursa.com/marches/awled-ghodwa-quand-la-jeunesse-tunisienne-donne-espoir-a-lavenir_49430
21/10/24,09:41,L’UBCI améliore de 5% son PNB à fin septembre à 235 millions de dinars,https://www.ilboursa.com/marches/lubci-ameliore-de-5-son-pnb-a-fin-septembre-a-235-millions-de-dinars_48833
17/09/24,11:15,L'UBCI réitère ses actions de soutien scolaire,https://www.ilboursa.com/marches/l-ubci-reitere-ses-actions-de-soutien-scolaire_48188
03/09/24,14:23,L'UBCI dégage un bénéfice net de plus de 23 millions de dinars au premier semestre,https://www.ilboursa.com/marches/l-ubci-degage-un-benefice-net-de-plus-de-23-millions-de-dinars-au-premier-semestre_47934
29/07/24,10:45,Noureddine Tarhouni nommé Directeur Général Adjoint de l'UBCI,https://www.ilboursa.com/marches/noureddine-tarhouni-nomme-directeur-general-adjoint-de-l-ubci_47456
22/07/24,13:27,L'UBCI affiche un PNB de 153 millions de dinars au premier semestre de 2024,https://www.ilboursa.com/marches/l-ubci-affiche-un-pnb-de-153-millions-de-dinars-au-premier-semestre-de-2024_47350
01/07/24,08:26,"L'UBCI, partenaire officiel du Festival International de Hammamet",https://www.ilboursa.com/marches/l-ubci-partenaire-officiel-du-festival-international-de-hammamet_47017
